Entity,Year,Deaths per TWh (Sovacool et al.)
Biofuels,2014,0.0048
Biomass,2014,0.0164
Hydropower,2014,0.0235
Nuclear,2014,0.0097
Solar,2014,0.019
Wind,2014,0.035
