Entity,Year,HYDE Estimates 1750-1950
World,1750,736113314.2
World,1760,774158723.7
World,1770,816847710.9
World,1780,892997970.5
World,1790,937242014.4
World,1800,952501465.7
World,1810,1029961401
World,1820,1057376526
World,1830,1139943549
World,1840,1199990593
World,1850,1276316991
World,1860,1333548003
World,1870,1333547793
World,1880,1412555032
World,1890,1530867717
World,1900,1650611158
World,1910,1773272443
World,1920,1907636821
World,1930,2087279751
World,1940,2302820941
World,1950,2529333653
