Entity,Year,Prison population rate (World Prison Brief 2018)
Afghanistan,2018,88
Albania,2018,193
Algeria,2018,146
American Samoa,2018,337
Andorra,2018,69
Angola,2018,93
Anguilla,2018,307
Antigua and Barbuda,2018,321
Argentina,2018,186
Armenia,2018,131
Aruba,2018,165
Australia,2018,167
Austria,2018,98
Azerbaijan,2018,235
Bahamas,2018,438
Bahrain,2018,234
Bangladesh,2018,53
Barbados,2018,300
Belarus,2018,364
Belgium,2018,91
Belize,2018,356
Benin,2018,68
Bermuda,2018,319
Bhutan,2018,145
Bolivia,2018,156
Bosnia and Herzegovina,2018,73
Bosnia and Herzegovina: Republika Srpska	,2018,66
Botswana,2018,208
Brazil,2018,323
British Virgin Islands,2018,470
Brunei,2018,134
Bulgaria,2018,125
Burkina Faso,2018,41
Burundi,2018,84
Cambodia,2018,176
Cameroon,2018,121
Canada,2018,114
Cape Verde,2018,298
Cayman Islands,2018,393
Central African Republic,2018,16
Chad,2018,59
Chile,2018,230
China,2018,118
Colombia,2018,238
Comoros,2018,23
Congo,2018,27
Cook Islands,2018,229
Costa Rica,2018,374
Cote d'Ivoire,2018,66
Croatia,2018,78
Cuba,2018,510
Curacao,2018,236
Cyprus,2018,83
Czech Republic,2018,206
Democratic Republic of Congo,2018,29
Denmark,2018,59
Djibouti,2018,66
Dominica,2018,289
Dominican Republic,2018,241
Ecuador,2018,222
Egypt,2018,116
El Salvador,2018,605
England and Wales,2018,140
Equatorial Guinea,2018,63
Estonia,2018,197
Ethiopia,2018,127
Faeroe Islands,2018,12
Fiji,2018,158
Finland,2018,52
France,2018,104
French Guiana,2018,251
French Polynesia,2018,191
Gabon,2018,191
Gambia,2018,58
Georgia,2018,263
Germany,2018,78
Ghana,2018,50
Gibraltar,2018,165
Greece,2018,95
Greenland,2018,225
Grenada,2018,435
Guadeloupe,2018,221
Guam,2018,404
Guatemala,2018,136
Guernsey,2018,138
Guinea,2018,25
Guinea-Bissau,2018,10
Guyana,2018,283
Haiti,2018,96
Honduras,2018,216
Hong Kong,2018,112
Hungary,2018,184
Iceland,2018,38
India,2018,33
Indonesia,2018,93
Iran,2018,284
Iraq,2018,126
Ireland,2018,79
Isle of Man,2018,108
Israel,2018,236
Italy,2018,97
Jamaica,2018,138
Japan,2018,45
Jersey,2018,133
Jordan,2018,197
Kazakhstan,2018,186
Kenya,2018,111
Kiribati,2018,113
Kosovo,2018,106
Kuwait,2018,157
Kyrgyzstan,2018,171
Laos,2018,119
Latvia,2018,218
Lebanon,2018,126
Lesotho,2018,92
Liberia,2018,47
Libya,2018,99
Liechtenstein,2018,27
Lithuania,2018,235
Luxembourg,2018,115
Macao,2018,203
Macedonia,2018,134
Madagascar,2018,82
Malawi,2018,80
Malaysia,2018,177
Maldives,2018,499
Mali,2018,33
Malta,2018,133
Marshall Islands,2018,66
Martinique,2018,214
Mauritania,2018,46
Mauritius,2018,194
Mayotte,2018,117
Mexico,2018,164
Micronesia (country),2018,127
Moldova,2018,215
Monaco,2018,85
Mongolia,2018,262
Montenegro,2018,174
Morocco,2018,232
Mozambique,2018,61
Myanmar,2018,145
Namibia,2018,295
Nauru,2018,140
Nepal,2018,65
Netherlands,2018,59
New Caledonia,2018,200
New Zealand,2018,219
Nicaragua,2018,276
Niger,2018,53
Nigeria,2018,37
Northern Ireland,2018,75
Northern Mariana Islands,2018,482
Norway,2018,74
Oman,2018,36
Pakistan,2018,43
Palau,2018,373
Panama,2018,390
Papua New Guinea,2018,63
Paraguay,2018,199
Peru,2018,269
Philippines,2018,172
Poland,2018,194
Portugal,2018,127
Puerto Rico,2018,313
Qatar,2018,53
Reunion,2018,129
Romania,2018,115
Russia,2018,405
Rwanda,2018,464
Saint Kitts and Nevis,2018,393
Saint Lucia,2018,279
Saint Vincent and the Grenadines,2018,378
Samoa,2018,204
Sao Tome and Principe,2018,117
Saudi Arabia,2018,197
Scotland,2018,143
Senegal,2018,76
Serbia,2018,152
Seychelles,2018,437
Sierra Leone,2018,64
Singapore,2018,201
Sint Maarten (Dutch part),2018,153
Slovakia,2018,191
Slovenia,2018,64
Solomon Islands,2018,73
South Africa,2018,280
South Korea,2018,109
South Sudan,2018,52
Spain,2018,128
Sri Lanka,2018,94
Sudan,2018,46
Suriname,2018,183
Swaziland,2018,282
Sweden,2018,57
Switzerland,2018,81
Syria,2018,60
Taiwan,2018,263
Tajikistan,2018,121
Tanzania,2018,58
Thailand,2018,520
Timor,2018,51
Togo,2018,64
Tonga,2018,166
Trinidad and Tobago,2018,270
Tunisia,2018,180
Turkey,2018,287
Turkmenistan,2018,552
Tuvalu,2018,110
Uganda,2018,129
Ukraine,2018,157
United Arab Emirates,2018,104
United States,2018,655
United States Virgin Islands,2018,542
Uruguay,2018,321
Uzbekistan,2018,150
Vanuatu,2018,71
Venezuela,2018,178
Vietnam,2018,137
Yemen,2018,53
Zambia,2018,146
Zimbabwe,2018,120
