Entity,Year,total_passenger_vehicle_sales,share_european_car_sales,vehicle_price_eur,diesel_share,gas_share,full_hybrid_share,plugin_hybrid_share,mild_hybrid_share,battery_electric_share,petrol_share,co2_per_km,fuel_efficiency_per_km,diesel_number,gas_number,full_hybrid_number,plugin_hybrid_number,mild_hybrid_number,battery_electric_number,petrol_number,all_hybrid_share,all_hybrid_number,full_mild_hybrid_share,diesel_gas_share,full_mild_hybrid_number,diesel_gas_number,battery_plugin_electric_share,battery_plugin_electric_number
Austria,2001,293527,0.019102084,22765.77081,65.66142127,0,0.013286682,0,0,0,34.32529205,166.0405543,6.467103471,192734,0,39,0,0,0,100754,0.013286682,39,0.013286682,65.66142127,39,192734,0,0
Austria,2002,279493,0.018615708,23506.64577,69.60997234,0,0.006082442,0,0,0.000357791,30.38358742,163.9467583,6.352749889,194555,0,17,0,0,1,84920,0.006082442,17,0.006082442,69.60997234,17,194555,0.000357791,1
Austria,2003,300119,0.020092965,23646.90333,71.37901966,0,0.002665609,0,0,0,28.61831474,163.2174606,6.310281078,214222,0,8,0,0,0,85889,0.002665609,8,0.002665609,71.37901966,8,214222,0,0
Austria,2004,311292,0.020429262,23713.5226,68.99356542,0,0.042725845,0,0,0,30.96370873,162.3965748,6.287207585,214771.4497,0,133.0021363,0,0,0,96387.54819,0.042725845,133.0021363,0.042725845,68.99356542,133.0021363,214771.4497,0,0
Austria,2005,307905,0.020157245,24499.0576,60.99706078,0,0.14939673,0,0,0,38.85354249,163.6956435,6.423411034,187813,0,460,0,0,0,119632,0.14939673,460,0.14939673,60.99706078,460,187813,0,0
Austria,2006,308595,0.019982748,25245.48378,62.13678122,0.007129085,0.189568852,0,0,0,37.66652084,161.877698,6.340184716,191751,22,585,0,0,0,116237,0.189568852,585,0.189568852,62.1439103,585,191773,0,0
Austria,2007,298181,0.019118653,25711.58344,59.27473581,0.045274514,0.256890949,0,0,0,40.42309872,162.0381741,6.37484302,176746,135,766,0,0,0,120534,0.256890949,766,0.256890949,59.32001033,766,176881,0,0
Austria,2008,293696,0.020483607,25765.02455,54.63676727,0.194078231,0.226424602,0,0,0.000680976,44.94204892,159.0665738,6.305435569,160466,570,665,0,0,2,131993,0.226424602,665,0.226424602,54.8308455,665,161036,0.000680976,2
Austria,2009,319228,0.022653772,24091.48358,45.99972433,0.496823587,0.331111306,0,0,0.012216973,53.1601238,152.0084463,6.10128962,146844,1586,1057,0,0,39,169702,0.331111306,1057,0.331111306,46.49654792,1057,148430,0.012216973,39
Austria,2010,328013,0.024652476,24790.66056,50.76552077,0.548455544,0.380473885,0,0,0.034145092,48.2714047,146.5040375,5.882296667,166517.5077,1799.005485,1248.003805,0,0,112.0003415,158336.4827,0.380473885,1248.003805,0.380473885,51.31397632,1248.003805,168316.5131,0.034145092,112.0003415
Austria,2011,356144,0.027150947,25970.18035,54.64418887,0.407981041,0.366144032,0,0,0.177737095,44.40394896,141.0088371,5.672130007,194612,1453,1304,0,0,633,158142,0.366144032,1304,0.366144032,55.05216991,1304,196065,0.177737095,633
Austria,2012,336010,0.027981603,26679.46648,56.39713104,0.347906312,0.589863397,0,0,0.184220708,42.48087855,137.3834747,5.52394829,189500,1169,1982,0,0,619,142740,0.589863397,1982,0.589863397,56.74503735,1982,190669,0.184220708,619
Austria,2013,319035,0.026978791,27237.93583,56.70255615,0.021941166,0.755403012,0,0,0.262980551,42.25711912,132.0565674,5.323163371,180901,70,2410,0,0,839,134815,0.755403012,2410,0.755403012,56.72449731,2410,180971,0.262980551,839
Austria,2014,303318,0.024238932,28003.96149,56.8347411,0.002307809,0.632339657,0.103521716,0,0.462880541,41.96420918,128.4700211,5.192724946,172390,7,1918,314,0,1404,127285,0.735861373,2232,0.632339657,56.83704891,1918,172397,0.566402258,1718
Austria,2015,308555,0.022523236,28888.59193,58.39898884,0.002268639,0.661146311,0.33413816,0,0.569104374,40.03435368,123.2772514,4.990399263,180193,7,2040,1031,0,1756,123528,0.995284471,3071,0.661146311,58.40125747,2040,180200,0.903242534,2787
Austria,2016,329604,0.022505994,30419.83922,57.3154452,0.002123761,0.991796216,0.512433102,0,1.025169597,40.15303212,119.8568799,4.898187242,188914,7,3269,1689,0,3379,132346,1.504229318,4958,0.991796216,57.31756896,3269,188921,1.537602699,5068
Austria,2017,353320,0.023303844,30710.11706,49.66121363,0.001132118,1.605909657,0.474357523,0,1.537699536,46.71968754,119.8978968,4.965058306,175463,4,5674,1676,0,5433,165070,2.08026718,7350,1.605909657,49.66234575,5674,175467,2.012057059,7109
Austria,2018,341068,0.022607293,31221.92824,41.11790024,0.00967549,1.412328333,0.659692495,0.335416984,1.983182239,54.48180421,120.7593606,5.097042479,140240,33,4817,2250,1144,6764,185820,2.407437813,8211,1.747745318,41.12757573,5961,140273,2.642874735,9014
Austria,2019,329363,0.0212941,32468.29085,39.59886205,0.002428931,1.766743684,0.650953507,2.026335684,2.698845954,53.25583019,121.8353321,5.306353531,130424,8,5819,2144,6674,8889,175405,4.444032876,14637,3.793079368,39.60129098,12493,130432,3.349799461,11033
