Entity,Year,Cost of calorie sufficient diet (2017 USD per day),Cost of nutrient adequate diet (2017 USD per day),Cost of healthy diet (2017 USD per day),Calorie sufficient diet cost (% of $1.20 poverty line),Nutrient adequate diet cost (% of $1.20 poverty line),Healthy diet cost (% of $1.20 poverty line),Calorie sufficient diet cost (% of average food expenditure),Nutrient adequate diet cost (% of average food expenditure),Healthy diet cost (% of average food expenditure),Calorie sufficient diet cost (% cannot afford),Nutrient adequate diet cost  (% cannot afford),Healthy diet cost  (% cannot afford),Calorie sufficient diet cost (number cannot afford),Nutrient adequate diet cost  (number cannot afford),Healthy diet cost  (number cannot afford)
Africa,2017,,,,,,,,,,12.3,56.4,80,148640000,680590000,964840000
Albania,2017,0.759638581,2.547919852,4.326015243,63.46186972,212.8588014,361.4047822,63.46186972,212.8588014,361.4047822,0,14.85025,43.91226,0,426715.5481,1261799.909
Algeria,2017,0.772870191,2.130311437,4.143244167,64.56726742,177.9708803,346.1356865,64.56726742,177.9708803,346.1356865,0.1080873,2.027914,27.88832,44736.46661,839337.3407,11542751.98
Angola,2017,0.972924396,3.218073087,4.86995492,81.28023362,268.8448694,406.8466934,81.28023362,268.8448694,406.8466934,35.37905,82.52828,92.19114,10548882.18,24607249.28,27488399.89
Anguilla,2017,1.307936031,2.310228516,4.548355051,109.2678388,193.0015469,379.9795365,109.2678388,193.0015469,379.9795365,,,,,,
Antigua and Barbuda,2017,0.932927877,2.782364668,4.904799711,77.93883683,232.4448344,409.7577035,77.93883683,232.4448344,409.7577035,,,,,,
Argentina,2017,0.652093912,2.298989637,3.725623755,54.47735271,192.0626263,311.2467632,54.47735271,192.0626263,311.2467632,0.223316,3.345543,9.225032,98359.11013,1473538.091,4063147.909
Armenia,2017,1.013010424,2.08984233,3.855974305,84.62910807,174.5900025,322.1365334,84.62910807,174.5900025,322.1365334,0.7791018,11.19132,51.71289,22943.05993,329562.9986,1522845.839
Aruba,2017,1.129429054,2.61397973,3.821283371,94.35497528,218.3775881,319.2383768,94.35497528,218.3775881,319.2383768,,,,,,
Asia,2017,,,,,,,,,,0.5,18.2,46.7,21570000,754480000,1933930000
Australia,2017,0.313935579,1.630674951,2.378957751,26.2268654,136.2301546,198.7433376,26.2268654,136.2301546,198.7433376,0.2439287,0.4984838,0.7444149,60010.99727,122636.2866,183139.9115
Austria,2017,0.349012635,2.259617329,2.843826548,29.15727948,188.7733775,237.5794944,29.15727948,188.7733775,237.5794944,0.1970276,0.3982924,0.5436182,17333.63315,35040.03676,47825.16993
Azerbaijan,2017,0.788297947,1.792844969,2.899066028,65.85613589,149.7781929,242.1943214,65.85613589,149.7781929,242.1943214,0,0,0,0,0,0
Bahamas,2017,1.048048051,4.077998187,4.21503166,87.55622813,340.6848945,352.1329708,87.55622813,340.6848945,352.1329708,,,,,,
Bahrain,2017,0.791638235,2.53405,4.311382077,66.13519092,211.7000835,360.1822955,66.13519092,211.7000835,360.1822955,,,,,,
Bangladesh,2017,0.643520024,1.632362946,3.540452466,53.76107138,136.3711735,295.7771484,53.76107138,136.3711735,295.7771484,0.1182988,18.8911,74.57983,188888.3955,30163531.39,119082056.8
Barbados,2017,0.895259384,2.070022353,3.513340864,74.79192851,172.9341983,293.5121858,74.79192851,172.9341983,293.5121858,,,,,,
Belarus,2017,0.799425284,2.006961102,4.203570463,66.78573798,167.6659233,351.1754773,66.78573798,167.6659233,351.1754773,0,0.02201219,0.7478383,0,2090.775918,71031.65603
Belgium,2017,0.266243314,2.440526627,2.873331942,22.24254917,203.8869363,240.0444396,22.24254917,203.8869363,240.0444396,0.05185871,0.2185893,0.2641663,5899.010199,24864.87825,30049.33401
Belize,2017,1.12991063,2.673814489,2.806990184,94.39520716,223.3763149,234.5021039,94.39520716,223.3763149,234.5021039,12.06967,36.99006,39.30041,45354.07826,138997.1786,147678.7577
Benin,2017,0.651227469,1.944787585,4.27170103,54.40496818,162.4718116,356.867254,54.40496818,162.4718116,356.867254,18.94092,66.39929,91.02573,2116686.449,7420256.112,10172311.02
Bermuda,2017,1.098266497,4.093565355,3.486604829,91.75158709,341.9854098,291.2785989,91.75158709,341.9854098,291.2785989,,,,,,
Bhutan,2017,1.046312396,2.558207971,4.87261141,87.41122775,213.7182933,407.0686224,87.41122775,213.7182933,407.0686224,0.220543,12.85759,45.77168,1644.298034,95862.07661,341258.9991
Bolivia,2017,1.418274119,3.008736983,3.763097814,118.4857243,251.3564731,314.3774281,118.4857243,251.3564731,314.3774281,5.177281,16.64947,23.00887,579485.5035,1863550.869,2575349.226
Bonaire,2017,0.745992734,2.866252463,3.786143481,62.32186583,239.4530044,316.3027135,62.32186583,239.4530044,316.3027135,,,,,,
Bosnia and Herzegovina,2017,0.705741816,2.999673913,4.102340546,58.95921603,250.5993244,342.7185084,58.95921603,250.5993244,342.7185084,0,1.004661,2.84763,0,33671.48467,95439.08831
Botswana,2017,0.505090038,2.042287882,4.334595254,42.19632731,170.6171998,362.1215751,42.19632731,170.6171998,362.1215751,0.7873453,33.1482,64.51981,17361.97167,730960.2397,1422744.396
Brazil,2017,0.818279759,2.448357112,3.02753662,68.36088215,204.5411121,252.9270359,68.36088215,204.5411121,252.9270359,1.97906,10.62733,14.48513,4113156.216,22087187.07,30105000.6
British Virgin Islands,2017,1.562592153,2.747182482,4.364978717,130.5423687,229.5056376,364.6598761,130.5423687,229.5056376,364.6598761,,,,,,
Brunei,2017,0.761474462,2.314892396,4.204729411,63.61524327,193.3911776,351.2722984,63.61524327,193.3911776,351.2722984,,,,,,
