Entity,Year,Year of the last reported Rinderpest case
Afghanistan,0,1995
Algeria,0,Never reported
Andorra,0,Never reported
Angola,0,1972
Argentina,0,Never reported
Australia,0,1923
Austria,0,1881
Azerbaijan,0,1928
Bahrain,0,1980
Barbados,0,Never reported
Belarus,0,Never reported
Belgium,0,1920
Belize,0,Never reported
Benin,0,1987
Bhutan,0,1971
Bolivia,0,Never reported
Bosnia and Herzegovina,0,1883
Botswana,0,1899
Brazil,0,1921
British Virgin Islands,0,Never reported
Bulgaria,0,1913
Burkina Faso,0,1988
Burundi,0,1934
Cameroon,0,1986
Canada,0,Never reported
Cape Verde,0,Never reported
Cayman Islands,0,Never reported
Central African Republic,0,1983
Chad,0,1983
Chile,0,Never reported
China,0,1955
Colombia,0,Never reported
Comoros,0,Never reported
Congo,0,Never reported
Costa Rica,0,Never reported
Cote d'Ivoire,0,1986
Croatia,0,1883
Cuba,0,Never reported
Cyprus,0,Never reported
Czech Republic,0,1881
Democratic Republic of Congo,0,1961
Denmark,0,1782
Djibouti,0,1985
Dominican Republic,0,Never reported
Ecuador,0,Never reported
Egypt,0,1986
El Salvador,0,Never reported
Eritrea,0,1995
Estonia,0,Never reported
Ethiopia,0,1995
Falkland Islands,0,Never reported
Fiji,0,Never reported
Finland,0,1877
France,0,1870
French Guiana,0,Never reported
French Polynesia,0,Never reported
Georgia,0,1989
Germany,0,1870
Ghana,0,1988
Greece,0,1926
Guadeloupe,0,Never reported
Guatemala,0,Never reported
Guinea,0,1967
Guyana,0,Never reported
Haiti,0,Never reported
Honduras,0,Never reported
Hong Kong,0,1950
Hungary,0,1881
Iceland,0,Never reported
India,0,1995
Indonesia,0,1907
Iran,0,1994
Iraq,0,1996
Ireland,0,1866
Israel,0,1983
Italy,0,1947
Jamaica,0,Never reported
Japan,0,1922
Jordan,0,197
Kazakhstan,0,1928
Kenya,0,2001
Kosovo,0,Never reported
Kuwait,0,1985
Kyrgyzstan,0,Never reported
Laos,0,1966
Latvia,0,1921
Lebanon,0,1982
Libya,0,1963
Lithuania,0,Never reported
Luxembourg,0,Never reported
Macedonia,0,Never reported
Madagascar,0,Never reported
Malawi,0,Never reported
Malaysia,0,1935
Mali,0,1986
Malta,0,Never reported
Martinique,0,Never reported
Mauritania,0,2003
Mauritius,0,Never reported
Mexico,0,Never reported
Moldova,0,Never reported
Mongolia,0,1992
Morocco,0,Never reported
Mozambique,0,1896
Myanmar,0,1957
Namibia,0,1905
Nepal,0,1990
Netherlands,0,1869
New Caledonia,0,Never reported
New Zealand,0,Never reported
Nicaragua,0,Never reported
Niger,0,1986
Nigeria,0,1987
North Korea,0,1931
Norway,0,Never reported
Oman,0,1995
Pakistan,0,2000
Panama,0,Never reported
Paraguay,0,Never reported
Peru,0,Never reported
Philippines,0,1955
Poland,0,1921
Portugal,0,Never reported
Qatar,0,1987
Reunion,0,1902
Romania,0,1886
Russia,0,1998
Saint Kitts and Nevis,0,Never reported
Saint Vincent and the Grenadines,0,Never reported
Samoa,0,Never reported
Saudi Arabia,0,1999
Senegal,0,1978
Serbia,0,1883
Seychelles,0,Never reported
Singapore,0,1930
Slovakia,0,1881
Slovenia,0,1883
South Africa,0,1904
South Korea,0,1948
Spain,0,Never reported
Sri Lanka,0,1994
Sudan,0,1998
Swaziland,0,1898
Sweden,0,1700
Switzerland,0,1871
Syria,0,1983
Taiwan,0,1950
Tajikistan,0,1949
Tanzania,0,1997
Thailand,0,1959
Togo,0,1986
Trinidad and Tobago,0,Never reported
Tunisia,0,Never reported
Turkey,0,1996
Turkmenistan,0,Never reported
Uganda,0,1994
Ukraine,0,Never reported
United Arab Emirates,0,1995
United Kingdom,0,1900
United States,0,Never reported
Uruguay,0,Never reported
Uzbekistan,0,Never reported
Vanuatu,0,Never reported
Venezuela,0,Never reported
Vietnam,0,1977
Yemen,0,1995
Zambia,0,1896
Zimbabwe,0,1898
