Entity,Year,"Missing Females (Bongaarts & Guilmoto, 2015)","Excess female deaths (Bongaarts & Guilmoto, 2015)","Missing female births (Bongaarts & Guilmoto, 2015)"
China,1970,27200000,,
China,1975,29000000,320000,0
China,1980,31800000,420000,0
China,1985,33200000,500000,170000
China,1990,39200000,570000,470000
China,1995,44300000,540000,680000
China,2000,49500000,450000,660000
China,2005,55700000,590000,750000
China,2010,62300000,590000,890000
China,2015,68400000,590000,870000
China,2020,72300000,620000,730000
China,2025,74900000,670000,590000
China,2030,76400000,740000,490000
China,2035,76900000,820000,420000
China,2040,76600000,900000,360000
China,2045,75100000,970000,290000
China,2050,73400000,1020000,220000
India,1970,21800000,,
India,1975,24800000,1010000,0
India,1980,27100000,900000,0
India,1985,30200000,950000,130000
India,1990,33200000,960000,200000
India,1995,36100000,820000,440000
India,2000,38900000,720000,550000
India,2005,41100000,590000,620000
India,2010,43300000,430000,630000
India,2015,44900000,380000,630000
India,2020,45800000,360000,590000
India,2025,46300000,340000,540000
India,2030,46000000,320000,470000
India,2035,45100000,290000,390000
India,2040,43600000,280000,320000
India,2045,42000000,300000,260000
India,2050,40300000,280000,250000
Rest of World,1970,12100000,,
Rest of World,1975,12500000,460000,0
Rest of World,1980,13300000,540000,0
Rest of World,1985,14600000,450000,70000
Rest of World,1990,15200000,440000,90000
Rest of World,1995,16300000,570000,110000
Rest of World,2000,17400000,550000,150000
Rest of World,2005,19500000,590000,180000
Rest of World,2010,20100000,640000,190000
Rest of World,2015,22800000,670000,190000
Rest of World,2020,24500000,720000,170000
Rest of World,2025,26100000,790000,160000
Rest of World,2030,27100000,860000,140000
Rest of World,2035,27900000,950000,140000
Rest of World,2040,28300000,1040000,140000
Rest of World,2045,28400000,1130000,130000
Rest of World,2050,28300000,1210000,130000
World,1970,61000000,,
World,1975,66400000,1790000,0
World,1980,72200000,1860000,0
World,1985,79300000,1900000,370000
World,1990,87600000,1970000,760000
World,1995,96700000,1930000,1230000
World,2000,105900000,1710000,1360000
World,2005,116400000,1780000,1550000
World,2010,125600000,1660000,1710000
World,2015,136200000,1650000,1690000
World,2020,142600000,1710000,1500000
World,2025,147200000,1800000,1280000
World,2030,149500000,1920000,1090000
World,2035,149900000,2060000,950000
World,2040,148600000,2210000,810000
World,2045,145400000,2390000,680000
World,2050,142000000,2520000,600000
