Entity,Year,Deaths per TWh energy production (Markandya & Wilkinson; Sovacool et al.)
Biofuels,2014,0.0048
Biomass (excl. air pollution),2014,0.0164
Biomass (incl. air pollution),2014,4.63
Brown coal,2014,32.72
Coal,2014,24.62
Gas,2014,2.821
Hydropower,2014,0.0235
Nuclear (excl. mining & occupational incidents),2014,0.0097
Nuclear (incl. mining & occupational incidents),2014,0.074
Oil,2014,18.43
Solar,2014,0.019
Wind,2014,0.035
