Entity,Year,Estimated HIV resource availability for low- and middle-income countries (million US$),Estimated resource needs for fast-track targets (million US$)
Asia and the Pacific,2006,2086,
Asia and the Pacific,2007,2634,
Asia and the Pacific,2008,2774,
Asia and the Pacific,2009,2769,
Asia and the Pacific,2010,2631,
Asia and the Pacific,2011,3316,
Asia and the Pacific,2012,3204,
Asia and the Pacific,2013,3484,
Asia and the Pacific,2014,3280,
Asia and the Pacific,2015,3478,
Asia and the Pacific,2016,3578,
Asia and the Pacific,2018,,5796
Asia and the Pacific,2019,,5976
Asia and the Pacific,2020,,5980
Asia and the Pacific,2021,,5964
Asia and the Pacific,2022,,6015
Asia and the Pacific,2023,,6058
Asia and the Pacific,2024,,6093
Asia and the Pacific,2025,,6121
Asia and the Pacific,2026,,6108
Asia and the Pacific,2027,,6052
Asia and the Pacific,2028,,6085
Asia and the Pacific,2029,,6008
Asia and the Pacific,2030,,5953
Caribbean,2006,309,
Caribbean,2007,309,
Caribbean,2008,399,
Caribbean,2009,427,
Caribbean,2010,377,
Caribbean,2011,418,
Caribbean,2012,414,
Caribbean,2013,389,
Caribbean,2014,378,
Caribbean,2015,367,
Caribbean,2016,367,
Caribbean,2018,,491
Caribbean,2019,,545
Caribbean,2020,,604
Caribbean,2021,,585
Caribbean,2022,,578
Caribbean,2023,,572
Caribbean,2024,,566
Caribbean,2025,,559
Caribbean,2026,,552
Caribbean,2027,,538
Caribbean,2028,,545
Caribbean,2029,,530
Caribbean,2030,,523
East and Southern Africa,2006,4591,
East and Southern Africa,2007,5626,
East and Southern Africa,2008,7596,
East and Southern Africa,2009,7939,
East and Southern Africa,2010,8006,
East and Southern Africa,2011,8921,
East and Southern Africa,2012,9363,
East and Southern Africa,2013,9660,
East and Southern Africa,2014,9828,
East and Southern Africa,2015,9435,
East and Southern Africa,2016,9618,
East and Southern Africa,2018,,10314
East and Southern Africa,2019,,10110
East and Southern Africa,2020,,10045
East and Southern Africa,2021,,9339
East and Southern Africa,2022,,9331
East and Southern Africa,2023,,9349
East and Southern Africa,2024,,9387
East and Southern Africa,2025,,9440
East and Southern Africa,2026,,9163
East and Southern Africa,2027,,8678
East and Southern Africa,2028,,8910
East and Southern Africa,2029,,8465
East and Southern Africa,2030,,8267
Eastern Europe and Central Asia,2006,463,
Eastern Europe and Central Asia,2007,544,
Eastern Europe and Central Asia,2008,641,
Eastern Europe and Central Asia,2009,498,
Eastern Europe and Central Asia,2010,557,
Eastern Europe and Central Asia,2011,629,
Eastern Europe and Central Asia,2012,695,
Eastern Europe and Central Asia,2013,685,
Eastern Europe and Central Asia,2014,659,
Eastern Europe and Central Asia,2015,626,
Eastern Europe and Central Asia,2016,639,
Eastern Europe and Central Asia,2018,,1190
Eastern Europe and Central Asia,2019,,1409
Eastern Europe and Central Asia,2020,,1649
Eastern Europe and Central Asia,2021,,1591
Eastern Europe and Central Asia,2022,,1585
Eastern Europe and Central Asia,2023,,1575
Eastern Europe and Central Asia,2024,,1562
Eastern Europe and Central Asia,2025,,1545
Eastern Europe and Central Asia,2026,,1522
Eastern Europe and Central Asia,2027,,1465
Eastern Europe and Central Asia,2028,,1495
Eastern Europe and Central Asia,2029,,1431
Eastern Europe and Central Asia,2030,,1394
Latin America,2006,1082,
Latin America,2007,1304,
Latin America,2008,1565,
Latin America,2009,1458,
Latin America,2010,1833,
Latin America,2011,2062,
Latin America,2012,2038,
Latin America,2013,2240,
Latin America,2014,2282,
Latin America,2015,2445,
Latin America,2016,2585,
Latin America,2018,,3219
Latin America,2019,,3180
Latin America,2020,,3154
Latin America,2021,,3101
Latin America,2022,,3117
Latin America,2023,,3128
Latin America,2024,,3135
Latin America,2025,,3138
Latin America,2026,,3128
Latin America,2027,,3092
Latin America,2028,,3112
Latin America,2029,,3068
Latin America,2030,,3038
Middle East and North Africa,2006,192,
Middle East and North Africa,2007,210,
Middle East and North Africa,2008,245,
Middle East and North Africa,2009,182,
Middle East and North Africa,2010,262,
Middle East and North Africa,2011,260,
Middle East and North Africa,2012,237,
Middle East and North Africa,2013,236,
Middle East and North Africa,2014,226,
Middle East and North Africa,2015,219,
Middle East and North Africa,2016,220,
Middle East and North Africa,2018,,585
Middle East and North Africa,2019,,669
Middle East and North Africa,2020,,759
Middle East and North Africa,2021,,739
Middle East and North Africa,2022,,753
Middle East and North Africa,2023,,766
Middle East and North Africa,2024,,778
Middle East and North Africa,2025,,790
Middle East and North Africa,2026,,793
Middle East and North Africa,2027,,795
Middle East and North Africa,2028,,794
Middle East and North Africa,2029,,793
Middle East and North Africa,2030,,790
West and Central Africa,2006,1277,
West and Central Africa,2007,1362,
West and Central Africa,2008,2059,
