Entity,Year,Tin,Iron,Coal,Wool/Textiles,Leather,Foodstuffs,Construction,Printed books
England,1270,,,,32.62,48.33,10.01,15.87,
England,1271,,,,30.93,47.69,9.92,15.89,
England,1272,,,,29.84,46.96,10.73,15.91,
England,1273,,,,30.61,46.92,9.56,15.93,
England,1274,,,,31.36,46.49,9.44,15.95,
England,1275,,,,31.94,46.51,12.01,15.98,
England,1276,,,,29.25,45.76,9.75,16.00,
England,1277,,,,27.56,46.86,11.15,16.02,
England,1278,,,,23.75,46.29,12.18,16.04,
England,1279,,,,20.77,46.86,8.94,16.07,
England,1280,,,,18.61,47.48,9.39,16.71,
England,1281,,,,16.48,47.77,10.69,16.81,
England,1282,,,,15.68,48.20,10.27,16.90,
England,1283,,,,16.31,48.56,9.33,16.99,
England,1284,,,,13.23,48.01,10.21,17.09,
England,1285,,,,11.20,47.74,10.66,17.19,
England,1286,,,,12.80,46.28,10.30,17.28,
England,1287,,,,12.59,44.85,12.08,17.38,
England,1288,,,,11.09,44.05,11.62,17.48,
England,1289,,,,9.66,43.98,10.26,17.58,
England,1290,,,,10.32,45.38,10.41,17.57,
England,1291,,,,12.03,46.95,10.25,17.56,
England,1292,,,,15.42,47.77,10.89,17.56,
England,1293,,,,18.75,49.83,11.03,17.55,
England,1294,,,,20.56,50.37,10.75,17.55,
England,1295,,,,23.76,51.17,11.79,17.54,
England,1296,,,,25.42,51.63,12.45,17.54,
England,1297,,,,23.59,51.87,11.58,17.53,
England,1298,,,,19.09,51.63,13.04,17.53,
England,1299,,,,21.80,52.71,11.99,17.53,
England,1300,,,,22.16,53.65,11.77,17.08,
England,1301,19.54,,,17.81,54.06,12.29,17.07,
England,1302,23.10,,,24.93,54.15,12.12,17.07,
England,1303,27.31,,,27.14,54.22,12.60,17.07,
England,1304,24.23,,,20.80,54.91,10.89,17.06,
England,1305,26.61,,,14.89,55.86,11.74,17.06,
England,1306,26.96,,,12.63,55.17,11.33,17.05,
England,1307,26.49,,,16.28,54.92,12.18,17.05,
England,1308,26.02,,,20.25,55.07,12.21,17.04,
England,1309,25.56,,,22.87,55.03,12.64,17.04,
England,1310,25.62,,,25.12,54.20,12.11,17.59,
England,1311,25.68,,,26.58,53.46,12.75,17.58,
England,1312,25.74,,,24.82,52.74,12.26,17.58,
England,1313,25.81,,,24.74,52.02,12.68,17.57,
England,1314,25.81,,,33.38,51.08,12.25,17.57,
England,1315,25.14,,,36.06,50.21,9.85,17.56,
England,1316,23.11,,,34.44,49.14,8.96,17.37,
England,1317,16.67,,,36.92,48.44,9.81,17.18,
England,1318,18.21,,,33.97,48.17,11.88,16.99,
England,1319,19.77,,,35.83,47.84,11.83,16.80,
England,1320,21.41,,,31.96,46.79,11.20,17.05,
England,1321,23.14,,,24.38,45.90,8.53,16.87,
England,1322,24.97,,,27.91,45.56,9.19,16.69,
England,1323,26.90,,,25.87,45.18,9.80,16.51,
England,1324,30.95,,,20.59,44.36,8.41,16.33,
England,1325,32.98,,,17.96,42.58,9.81,16.16,
England,1326,35.14,,,18.71,41.61,10.12,16.26,
England,1327,37.44,,,20.09,42.29,9.77,16.35,
England,1328,39.89,,,20.87,42.78,8.53,16.45,
England,1329,42.50,,,18.23,42.69,9.53,16.55,
England,1330,45.28,,,13.18,42.45,9.42,16.31,
England,1331,48.24,,,10.64,42.94,8.77,16.41,
England,1332,51.40,,,6.37,43.21,9.90,16.51,
England,1333,44.61,,,8.27,43.61,10.65,16.61,
England,1334,40.76,,,10.02,44.93,10.16,16.71,
England,1335,46.64,,,5.98,43.81,9.56,16.82,
England,1336,46.57,,,14.48,45.47,10.08,16.92,
England,1337,43.14,,,29.21,47.39,11.51,17.02,
England,1338,38.38,,,31.21,49.44,11.96,17.13,
England,1339,32.88,,,16.09,50.62,8.96,17.23,
England,1340,32.88,,,17.04,51.60,11.15,17.12,
England,1341,36.20,,,29.01,53.05,10.65,17.22,
England,1342,36.20,,,29.83,53.66,11.65,17.33,
England,1343,33.01,,,33.52,55.50,11.09,17.44,
England,1344,29.81,,,35.26,55.01,12.68,17.55,
England,1345,26.61,,,32.15,55.39,11.48,17.66,
England,1346,23.41,,,32.83,57.63,10.52,17.77,
England,1347,20.21,,,31.72,58.05,11.59,17.88,
England,1348,17.02,,,32.85,58.52,12.31,17.99,
England,1349,13.82,,,33.85,57.40,7.05,15.05,
England,1350,10.62,,,33.97,56.45,5.93,11.99,
England,1351,7.42,,,32.49,55.93,5.05,10.04,
England,1352,10.85,,,33.94,55.20,5.32,10.02,
England,1353,11.90,,,40.84,54.69,5.08,10.01,
England,1354,13.24,,,29.51,53.55,4.94,10.00,
England,1355,15.55,,,21.81,52.88,5.47,9.99,
England,1356,16.46,,,33.00,55.22,4.91,9.98,
England,1357,16.88,,,31.08,55.70,5.11,9.97,
England,1358,17.12,,,28.70,55.15,5.24,9.96,
England,1359,17.36,,,31.58,54.26,5.25,9.94,
England,1360,17.61,,,31.11,53.79,5.16,10.04,
England,1361,17.86,,,31.98,53.37,4.80,10.03,
England,1362,11.76,,,27.21,52.61,4.81,10.02,
England,1363,12.68,,,24.01,51.37,4.68,10.01,
England,1364,13.68,,,33.18,49.22,5.33,10.00,
England,1365,14.74,,,32.41,49.92,4.88,9.99,
England,1366,15.90,,,26.65,49.82,5.33,9.98,
England,1367,18.03,,,27.33,49.77,4.67,9.97,
England,1368,20.45,,,28.61,48.97,4.55,9.96,
England,1369,19.57,,,25.44,48.29,4.11,9.94,
England,1370,18.74,,,26.30,48.94,5.07,9.93,
England,1371,17.93,,,22.57,47.88,4.90,9.92,
England,1372,17.17,,,15.43,47.08,4.33,9.91,
England,1373,16.43,,,14.37,46.15,5.01,9.90,
England,1374,15.73,,,13.47,46.06,4.35,9.89,
England,1375,15.06,,,12.38,46.66,4.07,9.88,
England,1376,17.99,,,13.86,46.60,5.13,9.87,
England,1377,21.50,,,18.31,45.71,5.18,9.86,
England,1378,25.21,,,15.55,45.30,4.95,9.81,
England,1379,26.25,,,14.19,44.53,4.23,9.77,
England,1380,27.34,,,18.64,43.82,4.32,9.51,
England,1381,28.47,,,17.98,43.85,4.44,9.46,
England,1382,29.65,,,17.44,43.73,4.66,9.42,
England,1383,30.88,,,20.61,44.67,4.10,9.38,
England,1384,32.70,,,20.69,46.07,4.98,9.34,
England,1385,33.89,,,20.23,47.34,4.13,9.29,
England,1386,40.76,,,22.11,46.82,4.82,9.25,
England,1387,42.44,,,18.79,47.54,4.87,9.21,
England,1388,41.64,,,18.55,46.68,4.17,9.17,
England,1389,40.85,,,23.65,46.89,4.26,9.13,
England,1390,40.08,,,21.78,46.84,3.73,9.09,
England,1391,39.33,,,23.45,46.52,4.60,9.05,
England,1392,38.59,,,29.03,46.52,5.42,9.01,
England,1393,38.59,,,24.43,46.52,3.88,8.97,
England,1394,40.76,,,23.83,47.67,4.55,8.93,
England,1395,41.95,,,25.49,48.03,4.07,8.89,
England,1396,41.46,,,26.27,47.49,4.05,8.85,
England,1397,45.03,,,26.36,47.14,3.80,8.81,
England,1398,44.68,,,26.22,46.74,4.30,8.77,
England,1399,47.30,,,26.85,47.21,3.86,8.73,
England,1400,50.07,,,27.07,46.86,3.60,8.25,
England,1401,49.21,,,26.41,48.02,3.54,8.26,
