Entity,Year,Total tax (% of GDP) (OECD (2018)),"Taxes on income, profits, and capital gains (% of GDP) (OECD (2018))",Social security contributions (SSC) (% of GDP) (OECD (2018),Taxes on payroll and workforce (% of GDP) (OECD (2018)),Taxes on property (% of GDP) (OECD (2018)),Taxes on goods and services (% of GDP) (OECD (2018)),Other tax (% of GDP) (OECD (2018))
Africa,2000,13.1477242,3.6049061,1.3482860,0.1878750,0.3780090,7.8649650,0.1263040
Africa,2001,13.8327541,3.8850999,1.2584310,0.1855700,0.3652140,8.3332062,0.1278310
Africa,2002,14.2578602,4.0449109,1.3972811,0.1739750,0.4115470,8.4418211,0.1295130
Africa,2003,14.5789213,4.1803212,1.4322270,0.2023370,0.3634690,8.6227646,0.1187680
Africa,2004,15.1098709,4.5439849,1.4043890,0.1803030,0.3765030,8.7975378,0.1284420
Africa,2005,15.4434061,4.8751531,1.3774110,0.1619810,0.4069420,8.8072100,0.1352070
Africa,2006,15.6489868,5.1285510,1.4232310,0.1607640,0.3989840,8.6996584,0.1658870
Africa,2007,16.1339684,5.2839522,1.4166350,0.1682050,0.4476710,8.9817829,0.1674590
Africa,2008,16.5681019,5.6957722,1.4044250,0.1606620,0.4632360,9.0067205,0.1709720
Africa,2009,16.2561836,5.6294298,1.4898140,0.1732520,0.4150360,8.7265711,0.1651450
Africa,2010,16.2622356,5.3925462,1.5696970,0.1703130,0.3936700,8.9091473,0.1633430
Africa,2011,16.8105335,5.6929102,1.6057010,0.1718400,0.3829040,9.1218739,0.1776200
Africa,2012,17.1422024,5.7611680,1.6042770,0.1989660,0.3925510,9.2637634,0.1880460
Africa,2013,17.6876163,6.3346410,1.6638960,0.2009320,0.3970580,9.1691103,0.1974950
Africa,2014,17.6880245,6.2211199,1.6432960,0.2068720,0.4135370,9.2856989,0.1916410
Africa,2015,18.2119904,6.1662912,1.6623110,0.2119700,0.4137480,9.8176098,0.2169380
Africa,2016,18.1930447,6.1796551,1.7000160,0.2108560,0.4275490,9.7985678,0.1599800
Argentina,1990,13.6755838,0.7252430,3.4573760,,1.5583810,7.5435700,0.3910150
Argentina,1991,15.5856133,1.0647310,3.9522979,,1.9041359,8.0062819,0.6581660
Argentina,1992,18.1993923,1.3679750,4.5740538,,1.3898309,10.2606573,0.6068760
Argentina,1993,19.9519043,1.8729120,5.1454000,,1.0984780,11.1190920,0.7160240
Argentina,1994,19.7948341,2.2499249,4.9826288,,1.0223050,10.9583244,0.5816510
Argentina,1995,18.6699009,2.3118401,4.3741040,,0.9983850,10.3996792,0.5858930
Argentina,1996,18.2077465,2.3669291,3.6455309,,1.0930001,10.7816963,0.3205910
Argentina,1997,19.0222149,2.6721971,3.4964361,,1.0645810,11.3957911,0.3932080
Argentina,1998,19.3940907,2.9629290,3.3978009,,1.1686890,11.4443827,0.4202880
Argentina,1999,19.5076180,3.2766111,3.2687020,,1.2135520,11.2227163,0.5260380
Argentina,2000,19.8008175,3.6641021,3.1345811,,1.2536500,11.1960735,0.5524110
Argentina,2001,19.2898273,3.6742980,2.9762349,,2.1443400,10.0338659,0.4610860
Argentina,2002,18.4126873,2.8155100,2.6163011,,2.3377111,10.1392498,0.5039160
Argentina,2003,21.6256638,3.9689369,2.6086521,,2.6727059,11.9659042,0.4094640
Argentina,2004,24.3266029,4.8565311,2.8031571,,2.7674770,13.4327126,0.4667250
Argentina,2005,24.5315647,5.0130448,2.9869931,,2.7460599,13.3826208,0.4028450
Argentina,2006,25.0792313,4.8559060,3.4567750,,2.6722789,13.6046267,0.4896450
Argentina,2007,26.3680782,4.9305072,4.0816798,,2.6732349,14.3068237,0.3758330
Argentina,2008,27.6239643,4.7599101,4.5722599,,2.6841731,15.2418289,0.3657920
Argentina,2009,28.9240246,4.5584922,6.1887188,,2.6578000,15.0925388,0.4264760
Argentina,2010,29.0670719,4.7196212,6.1658921,,2.6200600,15.2307186,0.3307790
Argentina,2011,29.2988281,5.0535488,6.2957649,,2.6405089,15.0094471,0.2995580
Argentina,2012,30.6352444,5.3113151,6.8151021,,2.7436070,15.4559898,0.3092310
Argentina,2013,31.1789455,5.5457320,7.0504770,,2.8873930,15.4582920,0.2370500
Argentina,2014,31.1093292,5.8921962,6.7187281,,2.8185761,15.3890352,0.2907930
Argentina,2015,31.4537182,6.4579010,6.9763918,,2.7908559,14.9352894,0.2932810
Argentina,2016,30.8087826,5.3357029,6.7906232,,2.7378180,14.3652830,1.5793570
Argentina,2017,30.3322372,5.3014688,6.9472651,,2.8733461,14.4867048,0.7234530
Australia,1990,28.1035080,16.0520477,,1.7163640,2.5153241,7.8197708,
Australia,1991,26.6675186,14.9273624,,1.7292440,2.6067669,7.4041462,
Australia,1992,26.1351738,14.4895439,,1.6293460,2.6147580,7.4015260,
Australia,1993,26.6048584,14.4069033,,1.6152720,2.7337019,7.8489809,
Australia,1994,27.5070915,14.9411507,,1.9051009,2.5547600,8.1060810,
Australia,1995,28.2845497,15.6586733,,1.9304430,2.4886320,8.2068014,
Australia,1996,28.9235725,16.2860546,,1.9523100,2.5998981,8.0853100,
Australia,1997,28.6656799,16.2162018,,1.9175410,2.6364701,7.8954659,
Australia,1998,29.4480000,17.3594437,,1.3773780,2.6505280,8.0606518,
Australia,1999,29.8183117,17.8898983,,1.3695810,2.7438531,7.8149800,
Australia,2000,30.4713917,17.6550808,,1.3655601,2.6710989,8.7796516,
Australia,2001,28.9389248,16.2701950,,1.3035470,2.5471420,8.8180408,
Australia,2002,29.8124714,16.7421074,,1.3003540,2.6750250,9.0949850,
Australia,2003,29.9913387,16.8899632,,1.3042090,2.8356860,8.9614811,
Australia,2004,30.3043785,17.6390781,,1.3344520,2.6337380,8.6971102,
Australia,2005,29.9962139,17.6450386,,1.3521889,2.5790410,8.4199457,
Australia,2006,29.4293385,17.2636833,,1.3555790,2.7019429,8.1081333,
Australia,2007,29.5597572,17.5323219,,1.3954650,2.6499121,7.9820571,
Australia,2008,26.8663635,15.7878628,,1.3751870,2.2195780,7.4837360,
Australia,2009,25.5740414,14.1918240,,1.3320210,2.4577410,7.5924559,
Australia,2010,25.3113556,14.2965126,,1.3075770,2.3706369,7.3366289,
Australia,2011,25.9341927,15.2232103,,1.3566940,2.2455909,7.1086988,
Australia,2012,26.9516163,15.5702333,,1.3972390,2.3495290,7.6346159,
Australia,2013,27.1555653,15.4202719,,1.3917990,2.5669639,7.7765298,
Australia,2014,27.3250217,15.7866888,,1.4047090,2.7934430,7.3401818,
Australia,2015,27.9193115,15.8084097,,1.4072030,2.9911349,7.7125630,
Australia,2016,27.7580986,15.8864870,,1.3562820,2.9967680,7.5185609,
Austria,1990,39.2875557,10.0305843,12.9136972,2.3695641,1.0710030,12.3837156,0.5189910
Austria,1991,39.7481461,10.5561237,13.0010347,2.3976991,1.0890750,12.1962662,0.5079460
Austria,1992,41.2820053,11.0929251,13.6186876,2.4237900,1.1179690,12.4708643,0.5577720
Austria,1993,41.6879425,11.2410612,14.1648102,2.4374809,1.0828580,12.2314348,0.5302980
Austria,1994,41.4206238,10.3241224,14.6177015,2.7258339,0.6536720,12.9031086,0.1961830
Austria,1995,41.2714996,10.7837181,14.7128019,2.8409319,0.6121390,11.9842768,0.3376300
Austria,1996,42.6408195,11.7871094,14.7390203,2.8034689,0.6065140,12.3714600,0.3332460
Austria,1997,43.4401512,12.3782244,14.6931162,2.7885640,0.5762530,12.6509676,0.3530260
Austria,1998,43.4466095,12.5137243,14.6082306,2.7664471,0.5717700,12.4143009,0.3997850
Austria,1999,43.0904427,12.1508989,14.5634212,2.7576079,0.5725350,12.5374269,0.3489230
Austria,2000,42.2852707,11.9628162,14.2833261,2.7095399,0.5647870,12.2376900,0.3603480
Austria,2001,43.8859062,13.6182613,14.2435083,2.7199330,0.5704570,12.2290354,0.3595670
Austria,2002,42.6972809,12.5250130,14.0582638,2.7067480,0.5318370,12.3691607,0.3706830
Austria,2003,42.4088936,12.3544416,14.0898008,2.6991920,0.5446740,12.2350893,0.3489030
Austria,2004,41.9577484,12.1347971,14.0152082,2.6321449,0.5401940,12.1311293,0.3702260
Austria,2005,41.0118332,11.6197186,13.8968410,2.5875151,0.5413730,11.8984613,0.3399680
