Entity,Year,Estimated percent of women who are married or in a union
Australia/ New Zealand,1970,58.099998
Australia/ New Zealand,1980,58.5
Australia/ New Zealand,1990,59.799999
Australia/ New Zealand,2000,58.400002
Australia/ New Zealand,2010,54
Australia/ New Zealand,2020,52.799999
Australia/ New Zealand,2030,52.5
Caribbean,1970,58.799999
Caribbean,1980,56.400002
Caribbean,1990,56.900002
Caribbean,2000,57.099998
Caribbean,2010,56.299999
Caribbean,2020,56.099998
Caribbean,2030,55.900002
Central America,1970,61.799999
Central America,1980,59.400002
Central America,1990,58
Central America,2000,59
Central America,2010,58.200001
Central America,2020,56.900002
Central America,2030,55.900002
Eastern Africa,1970,70.5
Eastern Africa,1980,69.599998
Eastern Africa,1990,67.900002
Eastern Africa,2000,64.5
Eastern Africa,2010,61.799999
Eastern Africa,2020,58.5
Eastern Africa,2030,54.400002
Eastern Asia,1970,65
Eastern Asia,1980,65.800003
Eastern Asia,1990,65.300003
Eastern Asia,2000,69.900002
Eastern Asia,2010,68.199997
Eastern Asia,2020,70.599998
Eastern Asia,2030,65.300003
Eastern Europe,1970,68
Eastern Europe,1980,69
Eastern Europe,1990,68.199997
Eastern Europe,2000,61.400002
Eastern Europe,2010,57.200001
Eastern Europe,2020,56.5
Eastern Europe,2030,54
Melanesia,1970,67.199997
Melanesia,1980,67.400002
Melanesia,1990,65.900002
Melanesia,2000,66.099998
Melanesia,2010,65.900002
Melanesia,2020,62.900002
Melanesia,2030,58.700001
Micronesia,1970,55
Micronesia,1980,56
Micronesia,1990,50.400002
Micronesia,2000,45.700001
Micronesia,2010,48.200001
Micronesia,2020,47.5
Micronesia,2030,50.900002
Middle Africa,1970,71.300003
Middle Africa,1980,69.900002
Middle Africa,1990,67.900002
Middle Africa,2000,65.699997
Middle Africa,2010,63.299999
Middle Africa,2020,60.099998
Middle Africa,2030,55.200001
Northern Africa,1970,67.400002
Northern Africa,1980,64.099998
Northern Africa,1990,61.099998
Northern Africa,2000,56.900002
Northern Africa,2010,55.799999
Northern Africa,2020,56.5
Northern Africa,2030,52.700001
Northern America,1970,66.699997
Northern America,1980,63.5
Northern America,1990,63.299999
Northern America,2000,59.200001
Northern America,2010,53.900002
Northern America,2020,51.599998
Northern America,2030,52.400002
Northern Europe,1970,69.099998
Northern Europe,1980,64.599998
Northern Europe,1990,62.400002
Northern Europe,2000,59
Northern Europe,2010,53.5
Northern Europe,2020,50.700001
Northern Europe,2030,50.900002
Polynesia,1970,53
Polynesia,1980,49.099998
Polynesia,1990,46.900002
Polynesia,2000,45.799999
Polynesia,2010,42.599998
Polynesia,2020,41.299999
Polynesia,2030,45.599998
South America,1970,56.700001
South America,1980,55.099998
South America,1990,55.599998
South America,2000,54.900002
South America,2010,54.799999
South America,2020,54.400002
South America,2030,55
South-Central Asia,1970,81
South-Central Asia,1980,78.300003
South-Central Asia,1990,76.099998
South-Central Asia,2000,73.400002
South-Central Asia,2010,71.699997
South-Central Asia,2020,69.800003
South-Central Asia,2030,64.800003
South-Eastern Asia,1970,65.5
South-Eastern Asia,1980,63.099998
South-Eastern Asia,1990,63.299999
South-Eastern Asia,2000,64
South-Eastern Asia,2010,64.699997
South-Eastern Asia,2020,64.300003
South-Eastern Asia,2030,61.5
Southern Africa,1970,50.299999
Southern Africa,1980,49.700001
Southern Africa,1990,44.599998
Southern Africa,2000,41
Southern Africa,2010,35.299999
Southern Africa,2020,35.099998
Southern Africa,2030,40.799999
Southern Europe,1970,64.400002
Southern Europe,1980,60.299999
Southern Europe,1990,56.599998
Southern Europe,2000,55.5
Southern Europe,2010,54.799999
Southern Europe,2020,53.400002
Southern Europe,2030,51.099998
Western Africa,1970,77.199997
Western Africa,1980,76.400002
Western Africa,1990,74.699997
Western Africa,2000,70.800003
Western Africa,2010,67.900002
Western Africa,2020,62.900002
Western Africa,2030,56.099998
Western Asia,1970,69.699997
Western Asia,1980,66.800003
Western Asia,1990,65
Western Asia,2000,62.400002
Western Asia,2010,60.099998
Western Asia,2020,58.799999
Western Asia,2030,54.400002
Western Europe,1970,64.099998
Western Europe,1980,61.599998
Western Europe,1990,62.799999
Western Europe,2000,63.200001
Western Europe,2010,60.5
Western Europe,2020,58.299999
Western Europe,2030,57.299999
World,1970,68.800003
World,1980,67.5
World,1990,66.5
World,2000,66.199997
World,2010,64.5
World,2020,63.700001
World,2030,59.799999
