Entity,Year,Energy imports (World Bank (2014))
Albania,1971,-41.6994117
Albania,1972,-53.63423469
Albania,1973,-72.51852533
Albania,1974,-49.21827292
Albania,1975,-47.19517469
Albania,1976,-41.39046544
Albania,1977,-37.40696475
Albania,1978,-34.85332288
Albania,1979,-50.54397482
Albania,1980,-12.25824557
Albania,1981,-0.076429153
Albania,1982,1.129029561
Albania,1983,0.851841943
Albania,1984,-2.264095057
Albania,1985,-3.815861525
Albania,1986,-3.311195772
Albania,1987,-2.519563775
Albania,1988,0.420610678
Albania,1989,-0.656852073
Albania,1990,7.965058353
Albania,1991,-2.783623831
Albania,1992,-3.376250651
Albania,1993,-0.097755971
Albania,1994,9.330732278
Albania,1995,6.635916345
Albania,1996,6.291302509
Albania,1997,8.699857038
Albania,1998,18.41290294
Albania,1999,40.24967243
Albania,2000,45.00240915
Albania,2001,51.68878421
Albania,2002,53.04410092
Albania,2003,49.01463468
Albania,2004,46.00381618
Albania,2005,47.76617095
Albania,2006,42.37700384
Albania,2007,47.99839144
Albania,2008,45.21932653
Albania,2009,41.66724584
Albania,2010,23.71398494
Albania,2011,33.26028862
Albania,2012,16.29786861
Albania,2013,12.32070533
Albania,2014,13.7979709
Algeria,1971,-1098.052973
Algeria,1972,-1261.354294
Algeria,1973,-1071.409722
Algeria,1974,-927.0573108
Algeria,1975,-860.7418129
Algeria,1976,-833.0055444
Algeria,1977,-780.2669342
Algeria,1978,-700.4775059
Algeria,1979,-588.9017018
Algeria,1980,-486.65327
Algeria,1981,-451.4989066
Algeria,1982,-324.3414982
Algeria,1983,-332.1059394
Algeria,1984,-353.2310338
Algeria,1985,-355.1175547
Algeria,1986,-319.6258387
Algeria,1987,-348.6527442
Algeria,1988,-335.3553572
Algeria,1989,-357.4440542
Algeria,1990,-351.2125637
Algeria,1991,-337.1058026
Algeria,1992,-333.7602801
Algeria,1993,-335.2170179
Algeria,1994,-332.9506001
Algeria,1995,-340.144542
Algeria,1996,-379.8625014
Algeria,1997,-405.6179006
Algeria,1998,-410.4515636
Algeria,1999,-415.3847592
Algeria,2000,-426.8035428
Algeria,2001,-405.6069841
Algeria,2002,-394.6625119
Algeria,2003,-405.0418018
Algeria,2004,-407.1157857
Algeria,2005,-414.0453466
Algeria,2006,-375.0793199
Algeria,2007,-345.94472
Algeria,2008,-334.7024625
Algeria,2009,-275.42561
Algeria,2010,-275.4634861
Algeria,2011,-248.7348236
Algeria,2012,-212.7659318
Algeria,2013,-189.345469
Algeria,2014,-177.1243579
Angola,1971,-136.7899172
Angola,1972,-153.6933085
Angola,1973,-182.7572792
Angola,1974,-187.0753669
Angola,1975,-176.525499
Angola,1976,-173.9743905
Angola,1977,-166.8300167
Angola,1978,-130.4909397
Angola,1979,-145.5209576
Angola,1980,-147.6534919
Angola,1981,-124.3403081
Angola,1982,-129.5369349
Angola,1983,-177.1627123
Angola,1984,-203.6955977
Angola,1985,-215.4870575
Angola,1986,-263.2697709
Angola,1987,-331.78355
Angola,1988,-403.0892525
Angola,1989,-394.3952328
Angola,1990,-387.0180223
Angola,1991,-397.2660379
Angola,1992,-440.7185447
Angola,1993,-386.7243533
Angola,1994,-418.0931925
Angola,1995,-472.4065078
Angola,1996,-507.3340184
Angola,1997,-520.2321647
Angola,1998,-542.3707081
Angola,1999,-519.3524059
Angola,2000,-504.1590018
Angola,2001,-475.1112553
Angola,2002,-550.7141853
Angola,2003,-501.4366559
Angola,2004,-555.8095354
Angola,2005,-735.8642947
Angola,2006,-759.6287888
Angola,2007,-858.1888153
Angola,2008,-885.2459408
Angola,2009,-764.5494215
Angola,2010,-703.7723814
Angola,2011,-619.0538946
Angola,2012,-589.5061314
Angola,2013,-594.5461429
Angola,2014,-540.9974712
Argentina,1971,9.183578277
Argentina,1972,9.454198449
Argentina,1973,14.22695673
Argentina,1974,14.95534023
Argentina,1975,14.7438301
Argentina,1976,16.54505672
Argentina,1977,14.36319939
Argentina,1978,12.84370113
Argentina,1979,11.55582549
Argentina,1980,7.168714953
Argentina,1981,3.373393187
Argentina,1982,2.651542958
Argentina,1983,-0.408500727
Argentina,1984,0.894509008
Argentina,1985,-2.917303905
Argentina,1986,2.269006043
Argentina,1987,6.38149384
Argentina,1988,3.319582345
Argentina,1989,-1.577354943
Argentina,1990,-5.109711721
Argentina,1991,-5.754620828
Argentina,1992,-8.781367961
Argentina,1993,-14.06663029
Argentina,1994,-17.1698296
Argentina,1995,-24.20044555
Argentina,1996,-29.50646794
Argentina,1997,-32.7760339
Argentina,1998,-32.97148065
Argentina,1999,-32.32027567
Argentina,2000,-34.65256337
Argentina,2001,-45.53510937
Argentina,2002,-45.62212602
Argentina,2003,-41.41718252
Argentina,2004,-29.82442822
Argentina,2005,-26.54280255
Argentina,2006,-18.15881901
Argentina,2007,-12.66994658
Argentina,2008,-6.231592751
Argentina,2009,-7.354513206
Argentina,2010,-1.072041292
Argentina,2011,3.217909198
Argentina,2012,6.141447961
Argentina,2013,12.68857763
Argentina,2014,13.02936074
Armenia,1990,98.07050023
Armenia,1991,98.18049162
Armenia,1992,93.30849754
Armenia,1993,82.51092115
Armenia,1994,77.0682904
Armenia,1995,84.31898209
Armenia,1996,57.65076781
Armenia,1997,70.37275551
Armenia,1998,70.49797842
Armenia,1999,64.12115441
Armenia,2000,68.0725206
Armenia,2001,69.58601417
Armenia,2002,60.18360906
Armenia,2003,64.5125698
Armenia,2004,63.81404985
Armenia,2005,65.42836308
Armenia,2006,66.45050594
Armenia,2007,70.78468308
Armenia,2008,73.2174261
Armenia,2009,68.1066449
Armenia,2010,64.65123041
Armenia,2011,67.34421675
Armenia,2012,72.7066616
Armenia,2013,72.04647973
Armenia,2014,71.34130452
Australia,1960,32.32547432
Australia,1961,30.98007286
Australia,1962,32.83598016
Australia,1963,34.46591939
Australia,1964,32.19657947
Australia,1965,28.26914986
Australia,1966,28.42404175
Australia,1967,28.33908798
Australia,1968,21.95898791
Australia,1969,16.78346795
Australia,1970,6.149933514
Australia,1971,-4.33555031
Australia,1972,-17.4075133
Australia,1973,-19.15685777
Australia,1974,-14.54794754
Australia,1975,-24.15363238
Australia,1976,-21.71583834
Australia,1977,-24.06255028
Australia,1978,-22.79569573
Australia,1979,-27.27486596
Australia,1980,-22.7121625
Australia,1981,-38.69796176
Australia,1982,-34.86463923
Australia,1983,-53.47947454
Australia,1984,-63.69297728
Australia,1985,-76.55489805
Australia,1986,-84.25709387
Australia,1987,-91.82990979
