Entity,Year,Male literacy rate (Houston (1982)),Female literacy rate (Houston (1982))
United Kingdom,1640,35,7
United Kingdom,1650,47,11
United Kingdom,1660,46,9
United Kingdom,1670,49,9
United Kingdom,1680,55,13
United Kingdom,1690,59,14
United Kingdom,1720,58,26
United Kingdom,1730,73,26
United Kingdom,1740,70,32
