Entity,Year,Number of sovereign countries having granted universal suffrage to women (relative to 'ordered' milestones) ,Number of sovereign countries having elected first female MP (relative to 'ordered' milestones) ,Number of sovereign countries having had at least 10% women in parliament (relative to 'ordered' milestones) ,Number of sovereign countries having had at least 20% women in parliament (relative to 'ordered' milestones) ,Number of sovereign countries having had at least 30% women in parliament (relative to 'ordered' milestones),Share of sovereign countries having granted universal suffrage to women (relative to 'ordered' milestones),Share of sovereign countries having elected first female MP (relative to 'ordered' milestones),Share of sovereign countries having had at least 10% women in parliament (relative to 'ordered' milestones) ,Share of sovereign countries having had at least 20% women in parliament (relative to 'ordered' milestones),Share of sovereign countries having had at least 30% women in parliament (relative to 'ordered' milestones),Number of sovereign countries ,Number of sovereign countries having granted universal suffrage to women  ,Number of sovereign countries having elected first female MP ,Number of sovereign countries having had at least 10% women in parliament ,Number of sovereign countries having had at least 20% women in parliament,Number of sovereign countries having had at least 30% women in parliament ,Share of sovereign countries having granted universal suffrage to women ,Share of sovereign countries having elected first female MP  ,Share of sovereign countries having had at least 10% women in parliament ,Share of sovereign countries having had at least 20% women in parliament ,Share of sovereign countries having had at least 30% women in parliament
World,1893,,,,,,,,,,,44,,,,,,,,,,
World,1894,,,,,,,,,,,44,,,,,,,,,,
World,1895,,,,,,,,,,,44,,,,,,,,,,
World,1896,,,,,,,,,,,44,,,,,,,,,,
World,1897,,,,,,,,,,,44,,,,,,,,,,
World,1898,,,,,,,,,,,44,,,,,,,,,,
World,1899,,,,,,,,,,,44,,,,,,,,,,
World,1900,,,,,,,,,,,44,,,,,,,,,,
World,1901,,,,,,,,,,,45,,,,,,,,,,
World,1902,,,,,,,,,,,46,,,,,,,,,,
World,1903,,,,,,,,,,,47,,,,,,,,,,
World,1904,,,,,,,,,,,47,,,,,,,,,,
World,1905,,,,,,,,,,,48,,,,,,,,,,
World,1906,,,,,,,,,,,48,,,,,,,,,,
World,1907,1,,,,,2.0408163,,,,,49,1,,,,,2.0408163,,,,
World,1908,1,,,,,2,,,,,50,1,,,,,2,,,,
World,1909,1,,,,,2,,,,,50,1,,,,,2,,,,
World,1910,1,,,,,1.9607843,,,,,51,1,,,,,1.9607843,,,,
World,1911,1,,,,,1.9607843,,,,,51,1,1,,,,1.9607843,1.9607843,,,
World,1912,1,,,,,1.9230769,,,,,52,1,1,,,,1.9230769,1.9230769,,,
World,1913,2,1,,,,3.8461537,1.9230769,,,,52,2,1,,,,3.8461537,1.9230769,,,
World,1914,2,1,,,,3.8461537,1.9230769,,,,52,2,1,,,,3.8461537,1.9230769,,,
World,1915,3,1,,,,5.7692308,1.9230769,,,,52,3,1,,,,5.7692308,1.9230769,,,
World,1916,3,1,,,,5.7692308,1.9230769,,,,52,3,1,,,,5.7692308,1.9230769,,,
World,1917,4,2,,,,7.5471697,3.7735848,,,,53,4,3,,,,7.5471697,5.6603775,,,
World,1918,7,3,,,,12.068966,5.1724138,,,,58,7,6,,,,12.068966,10.344828,,,
World,1919,10,8,,,,16.949152,13.559322,,,,59,10,10,,,,16.949152,16.949152,,,
World,1920,13,9,,,,22.033897,15.254237,,,,59,13,10,,,,22.033897,16.949152,,,
World,1921,13,10,,,,21.311476,16.393442,,,,61,13,14,,,,21.311476,22.950819,,,
