Entity,Year,Union density rate (Quality of Government (QoG) (2017))
Argentina,1962,40
Argentina,1973,43
Argentina,1979,42
Argentina,1982,41
Argentina,1989,44
Argentina,2001,41.99720019
Argentina,2005,37.02781495
Argentina,2008,30.6871118
Argentina,2009,31.92137668
Argentina,2010,30.14086359
Argentina,2011,31.81815082
Argentina,2012,29.99847867
Argentina,2013,30.43463511
Australia,1960,50.17292785
Australia,1961,49.47181009
Australia,1962,49.52106174
Australia,1963,49.16341327
Australia,1964,48.19296375
Australia,1965,47.8863461
Australia,1966,45.83517292
Australia,1967,45.02021403
Australia,1968,44.78983834
Australia,1969,44.37794217
Australia,1970,44.15358142
Australia,1971,45.38865546
Australia,1972,46.33092037
Australia,1973,47.2343406
Australia,1974,48.80023876
Australia,1975,50.0639872
Australia,1976,49.46821271
Australia,1977,49.05593019
Australia,1978,49.22977041
Australia,1979,49.58738953
Australia,1980,49.63658791
Australia,1981,49.05454209
Australia,1982,49.3651205
Australia,1983,49.8134047
Australia,1984,49.09264041
Australia,1985,49.0782625
Australia,1986,48.600367
Australia,1987,48.01787614
Australia,1988,46.50787497
Australia,1989,45.26965164
Australia,1990,45.40410576
Australia,1991,46.78857233
Australia,1992,44.12467715
Australia,1993,42.54421021
Australia,1994,38.05329934
Australia,1995,35.22535521
Australia,1996,34.80578983
Austria,1960,67.88319449
Austria,1961,67.33297439
Austria,1962,66.65702792
Austria,1963,67.05964862
Austria,1964,66.62435973
Austria,1965,66.15817146
Austria,1966,65.84437726
Austria,1967,65.09121017
Austria,1968,62.05251601
Austria,1969,63.06902326
Austria,1970,62.75217593
Austria,1971,61.89138952
Austria,1972,60.9978164
Austria,1973,60.83205636
Austria,1974,57.93378995
Austria,1975,58.9921875
Austria,1976,59.20436975
Austria,1977,58.61665289
Austria,1978,57.61611336
Austria,1979,56.6703645
Austria,1980,56.71901768
Austria,1981,56.36333981
Austria,1982,53.79174449
Austria,1983,53.59566692
Austria,1984,52.10138686
Austria,1985,51.60348964
Austria,1986,50.59109123
Austria,1987,49.59010324
Austria,1988,48.90173636
Austria,1989,47.99166085
Austria,1990,46.92970297
Austria,1991,45.52929596
Austria,1992,44.26507161
Austria,1993,43.21592664
Austria,1994,41.43383365
Austria,1995,41.05629699
Austria,1996,40.11529226
Austria,1997,38.89431175
Austria,1998,38.36297111
Austria,1999,37.42804085
Austria,2000,36.60332898
Austria,2001,35.8955075
Austria,2002,35.73693178
Austria,2003,34.80932074
Austria,2004,34.41765668
Austria,2005,33.31967035
Austria,2006,30.98642705
Austria,2007,29.93609835
Austria,2008,29.07104454
Austria,2009,28.6589761
Austria,2010,28.37640939
Austria,2011,27.90601262
Austria,2012,27.44928048
Austria,2013,27.39750166
Belgium,1960,39.28958311
Belgium,1961,38.32096418
Belgium,1962,36.85172054
Belgium,1963,37.68713466
Belgium,1964,37.28087612
Belgium,1965,37.766072
Belgium,1966,38.18438662
Belgium,1967,39.06857119
Belgium,1968,39.80356107
Belgium,1969,39.77121976
Belgium,1970,39.86017103
Belgium,1971,41.62070706
Belgium,1972,44.33003561
Belgium,1973,45.43168694
Belgium,1974,46.53870007
Belgium,1975,49.13716343
Belgium,1976,50.61298706
Belgium,1977,51.48978756
Belgium,1978,50.60498232
Belgium,1979,50.64257812
Belgium,1980,51.26878001
Belgium,1981,50.55518323
Belgium,1982,49.38052651
Belgium,1983,49.16511396
Belgium,1984,49.23871302
Belgium,1985,49.65556633
Belgium,1986,48.82492461
Belgium,1987,48.91757197
Belgium,1988,48.2533125
Belgium,1989,50.06729627
Belgium,1990,51.11351418
Belgium,1991,51.48615219
Belgium,1992,51.47122337
Belgium,1993,52.08586811
Belgium,1994,51.77657477
Belgium,1995,52.79039553
Belgium,1996,53.07918051
Belgium,1997,52.65746393
Belgium,1998,52.23335036
Belgium,1999,54.27375971
Belgium,2000,56.18107951
Belgium,2001,56.34989829
Belgium,2002,55.56200988
Belgium,2003,54.14620052
Belgium,2004,53.99034365
Belgium,2005,53.67688022
Belgium,2006,54.84672742
Belgium,2007,54.65169262
Belgium,2008,54.43862268
Belgium,2009,54.90530295
Belgium,2010,53.77081148
Belgium,2011,55.06704827
Belgium,2012,55.02051914
Belgium,2013,55.10501144
Brazil,1976,20.83333333
Brazil,1988,27.65871074
Brazil,1990,26.69626056
Brazil,1992,28.41158124
Brazil,1993,28.50838126
Brazil,1994,28.82250184
Brazil,1995,28.50340564
Brazil,1996,28.47299562
Brazil,1997,28.01566766
Brazil,1998,27.58349923
Brazil,1999,28.78160936
Brazil,2000,28.31518657
Brazil,2001,27.89905576
Brazil,2002,28.1719763
Brazil,2003,29.49857103
Brazil,2004,29.42361063
Brazil,2005,30.27926282
Brazil,2006,30.27094865
Brazil,2007,28.12266583
Brazil,2008,29.0365557
Brazil,2009,27.85621171
Brazil,2010,26.52372911
Brazil,2011,25.2343062
Bulgaria,1978,97.54489761
Bulgaria,1985,99
Bulgaria,1990,81.24242424
Bulgaria,1993,66.42121212
