Entity,Year,Ozone-depleting substance emissions (Scientific Assessment 2014)
Natural emissions,1961,0.165
Natural emissions,1962,0.165
Natural emissions,1963,0.165
Natural emissions,1964,0.165
Natural emissions,1965,0.165
Natural emissions,1966,0.165
Natural emissions,1967,0.165
Natural emissions,1968,0.165
Natural emissions,1969,0.165
Natural emissions,1970,0.165
Natural emissions,1971,0.165
Natural emissions,1972,0.165
Natural emissions,1973,0.165
Natural emissions,1974,0.165
Natural emissions,1975,0.165
Natural emissions,1976,0.165
Natural emissions,1977,0.165
Natural emissions,1978,0.165
Natural emissions,1979,0.165
Natural emissions,1980,0.165
Natural emissions,1981,0.165
Natural emissions,1982,0.165
Natural emissions,1983,0.165
Natural emissions,1984,0.165
Natural emissions,1985,0.165
Natural emissions,1986,0.165
Natural emissions,1987,0.165
Natural emissions,1988,0.165
Natural emissions,1989,0.165
Natural emissions,1990,0.165
Natural emissions,1991,0.165
Natural emissions,1992,0.165
Natural emissions,1993,0.165
Natural emissions,1994,0.165
Natural emissions,1995,0.165
Natural emissions,1996,0.165
Natural emissions,1997,0.165
Natural emissions,1998,0.165
Natural emissions,1999,0.165
Natural emissions,2000,0.165
Natural emissions,2001,0.165
Natural emissions,2002,0.165
Natural emissions,2003,0.165
Natural emissions,2004,0.165
Natural emissions,2005,0.165
Natural emissions,2006,0.165
Natural emissions,2007,0.165
Natural emissions,2008,0.165
Natural emissions,2009,0.165
Natural emissions,2010,0.165
Natural emissions,2011,0.165
Natural emissions,2012,0.165
Natural emissions,2013,0.165
Natural emissions,2014,0.165
Total emissions,1961,0.38
Total emissions,1962,0.40
Total emissions,1963,0.44
Total emissions,1964,0.48
Total emissions,1965,0.51
Total emissions,1966,0.54
Total emissions,1967,0.58
Total emissions,1968,0.63
Total emissions,1969,0.66
Total emissions,1970,0.72
Total emissions,1971,0.77
Total emissions,1972,0.84
Total emissions,1973,0.91
Total emissions,1974,0.98
Total emissions,1975,1.04
Total emissions,1976,1.05
Total emissions,1977,1.07
Total emissions,1978,1.07
Total emissions,1979,1.11
Total emissions,1980,1.08
Total emissions,1981,1.04
Total emissions,1982,1.10
Total emissions,1983,1.09
Total emissions,1984,1.15
Total emissions,1985,1.18
Total emissions,1986,1.28
Total emissions,1987,1.36
Total emissions,1988,1.46
Total emissions,1989,1.41
Total emissions,1990,1.32
Total emissions,1991,1.19
Total emissions,1992,1.08
Total emissions,1993,0.96
Total emissions,1994,0.82
Total emissions,1995,0.76
Total emissions,1996,0.70
Total emissions,1997,0.64
Total emissions,1998,0.60
Total emissions,1999,0.59
Total emissions,2000,0.56
Total emissions,2001,0.53
Total emissions,2002,0.49
Total emissions,2003,0.48
Total emissions,2004,0.47
Total emissions,2005,0.45
Total emissions,2006,0.43
Total emissions,2007,0.41
Total emissions,2008,0.40
Total emissions,2009,0.39
Total emissions,2010,0.38
Total emissions,2011,0.37
Total emissions,2012,0.35
Total emissions,2013,0.34
Total emissions,2014,0.32
