Entity,Year,Nominal Average Weekly Wages (Bank of England (2017)),Spliced Consumer Price index 2015=100 (Bank of England (2017)),Real Average Weekly Wages (Bank of England (2017))
United Kingdom,1750,0.286142885,0.660515031,43.3211769
United Kingdom,1751,0.286142885,0.642681125,44.52330617
United Kingdom,1752,0.286142885,0.672887138,42.52464772
United Kingdom,1753,0.286142885,0.654719185,43.70467394
United Kingdom,1754,0.286142885,0.688109864,41.58389524
United Kingdom,1755,0.286142885,0.646823272,44.23818644
United Kingdom,1756,0.286142885,0.673989849,42.45507338
United Kingdom,1757,0.268258955,0.820919637,32.67785821
United Kingdom,1758,0.268258955,0.818456878,32.77618677
United Kingdom,1759,0.286142885,0.753798784,37.96011496
United Kingdom,1760,0.27720092,0.719877839,38.50666113
United Kingdom,1761,0.27720092,0.687483336,40.32111114
United Kingdom,1762,0.27720092,0.714295186,38.8076142
United Kingdom,1763,0.312968781,0.733581156,42.66314346
United Kingdom,1764,0.304026816,0.798869879,38.05711343
United Kingdom,1765,0.304026816,0.826830325,36.77015789
United Kingdom,1766,0.304026816,0.836752289,36.33414811
United Kingdom,1767,0.304026816,0.885283922,34.34229499
United Kingdom,1768,0.330852711,0.875545799,37.78816726
United Kingdom,1769,0.330852711,0.803751043,41.16358092
United Kingdom,1770,0.330852711,0.800536039,41.3288965
United Kingdom,1771,0.312968781,0.868581602,36.03216788
United Kingdom,1772,0.330852711,0.961519834,34.40934854
United Kingdom,1773,0.330852711,0.958635274,34.51288722
United Kingdom,1774,0.330852711,0.967262992,34.20504183
United Kingdom,1775,0.321910746,0.913096264,35.25485304
United Kingdom,1776,0.321910746,0.893008146,36.047907
United Kingdom,1777,0.321910746,0.889436114,36.19267769
United Kingdom,1778,0.321910746,0.925013558,34.80065165
United Kingdom,1779,0.330852711,0.846387406,39.08998511
United Kingdom,1780,0.330852711,0.817610234,40.46582311
United Kingdom,1781,0.330852711,0.851132254,38.87206829
United Kingdom,1782,0.339794676,0.869006031,39.10153254
United Kingdom,1783,0.330852711,0.973286755,33.99334362
United Kingdom,1784,0.321910746,0.979126475,32.87734059
United Kingdom,1785,0.339794676,0.939961416,36.14985362
United Kingdom,1786,0.348736642,0.939961416,37.10116565
United Kingdom,1787,0.339794676,0.934321648,36.36806198
United Kingdom,1788,0.339794676,0.971694514,34.96929036
United Kingdom,1789,0.339794676,0.959062485,35.42987879
United Kingdom,1790,0.348736642,0.97632561,35.71929676
United Kingdom,1791,0.348736642,0.975349284,35.75505183
United Kingdom,1792,0.348736642,0.989979523,35.22665206
United Kingdom,1793,0.357678607,1.01769895,35.14581665
United Kingdom,1794,0.366620572,1.096061769,33.44889698
United Kingdom,1795,0.384504502,1.223204934,31.43418501
United Kingdom,1796,0.393446467,1.30149005,30.23046292
United Kingdom,1797,0.402388433,1.171341045,34.35279885
United Kingdom,1798,0.420272363,1.145571542,36.68669722
United Kingdom,1799,0.420272363,1.286476842,32.6684748
United Kingdom,1800,0.438156293,1.756040889,24.9513719
United Kingdom,1801,0.438156293,1.961497673,22.33784414
United Kingdom,1802,0.438156293,1.510353208,29.0101872
United Kingdom,1803,0.438156293,1.421242369,30.82910435
United Kingdom,1804,0.438156293,1.466722125,29.87316313
United Kingdom,1805,0.527575945,1.704331109,30.95501468
United Kingdom,1806,0.581227736,1.62934054,35.67257561
United Kingdom,1807,0.590169701,1.59838307,36.92291992
United Kingdom,1808,0.590169701,1.652728094,35.70882005
United Kingdom,1809,0.590169701,1.813042719,32.55134007
United Kingdom,1810,0.590169701,1.871060087,31.54199617
United Kingdom,1811,0.608053631,1.816799344,33.46839776
United Kingdom,1812,0.608053631,2.056616857,29.56572241
United Kingdom,1813,0.616995597,2.108032279,29.26879266
United Kingdom,1814,0.616995597,1.840312179,33.52668118
United Kingdom,1815,0.581227736,1.643398776,35.36741931
United Kingdom,1816,0.581227736,1.505353279,38.61071976
United Kingdom,1817,0.581227736,1.708575972,34.01825529
United Kingdom,1818,0.581227736,1.7137017,33.91650577
United Kingdom,1819,0.55440184,1.670859157,33.18064468
United Kingdom,1820,0.55440184,1.515469256,36.58284969
United Kingdom,1821,0.55440184,1.333612945,41.57142011
United Kingdom,1822,0.55440184,1.153575197,48.05944523
United Kingdom,1823,0.55440184,1.232018311,44.99948053
United Kingdom,1824,0.55440184,1.337971885,41.43598578
United Kingdom,1825,0.55440184,1.570778993,35.2947068
United Kingdom,1826,0.55440184,1.484386149,37.34889607
United Kingdom,1827,0.527575945,1.387901049,38.01250423
United Kingdom,1828,0.527575945,1.347651919,39.14779013
United Kingdom,1829,0.527575945,1.3341754,39.54322235
United Kingdom,1830,0.527575945,1.286145085,41.01994022
United Kingdom,1831,0.527575945,1.413473449,37.32478635
United Kingdom,1832,0.527575945,1.308876413,40.30754468
United Kingdom,1833,0.51863398,1.229034952,42.19847281
United Kingdom,1834,0.51863398,1.133170226,45.76840867
United Kingdom,1835,0.509692015,1.15243412,44.22743185
United Kingdom,1836,0.51863398,1.279201873,40.54356009
United Kingdom,1837,0.527575945,1.31118192,40.23667021
United Kingdom,1838,0.527575945,1.320360193,39.95697142
United Kingdom,1839,0.53651791,1.416746487,37.86971875
United Kingdom,1840,0.53651791,1.442247924,37.20011664
United Kingdom,1841,0.53651791,1.409076222,38.07586145
United Kingdom,1842,0.53651791,1.301986429,41.20764226
United Kingdom,1843,0.53651791,1.154861962,46.45731937
United Kingdom,1844,0.53651791,1.153707101,46.50382316
United Kingdom,1845,0.53651791,1.210238748,44.33157597
United Kingdom,1846,0.53651791,1.258648298,42.62651535
United Kingdom,1847,0.53651791,1.409686094,38.0593887
United Kingdom,1848,0.545459875,1.239114077,44.02014997
United Kingdom,1849,0.545459875,1.16104989,46.97988258
United Kingdom,1850,0.545459875,1.086742697,50.19218224
United Kingdom,1851,0.545459875,1.054140416,51.74451778
United Kingdom,1852,0.545459875,1.054140416,51.74451778
United Kingdom,1853,0.599111666,1.152175475,51.99830052
United Kingdom,1854,0.625937562,1.326153971,47.19946369
United Kingdom,1855,0.634879527,1.369917053,46.34437725
United Kingdom,1856,0.634879527,1.369917053,46.34437725
United Kingdom,1857,0.608053631,1.293201698,47.01924162
United Kingdom,1858,0.599111666,1.184572755,50.57618145
United Kingdom,1859,0.599111666,1.163250445,51.50323979
United Kingdom,1860,0.608053631,1.206290712,50.40688989
United Kingdom,1861,0.608053631,1.238860561,49.08168442
United Kingdom,1862,0.616995597,1.206650187,51.13293013
United Kingdom,1863,0.625937562,1.16321078,53.81118992
United Kingdom,1864,0.652763457,1.152741883,56.62702697
United Kingdom,1865,0.670647388,1.16311656,57.65951677
United Kingdom,1866,0.688531318,1.238719136,55.58413509
