Entity,Year,Suicide Rate (AFSP (2017))
United States,2006,10.97
United States,2007,11.27
United States,2008,11.6
United States,2009,11.75
United States,2010,12.08
United States,2011,12.32
United States,2012,12.54
United States,2013,12.57
United States,2014,12.93
United States,2015,13.26
