Entity,Year,Industrial (large-scale commercial),Artisanal (small-scale commercial),Discards,Subsistence,Recreational
World,1950,14566338,7526795,5874170,2677833,268260
World,1951,15417937,8278304,6278225,2704471,284319
World,1952,16463942,8272109,7230311,2728141,293558
World,1953,17163789,8469284,7172937,2753098,292070
World,1954,18340199,9226926,8012930,2895153,304398
World,1955,18728089,9545554,8340179,3012167,313420
World,1956,19902604,10303408,8692551,3058523,319333
World,1957,20030089,10425695,8998732,3112506,339291
World,1958,20520801,10172920,9255992,3187292,353633
World,1959,23422702,10385711,9908003,3296620,355360
World,1960,25853941,10703245,10896146,3479410,360842
World,1961,30521101,10846177,11712961,3532629,364629
World,1962,33658918,11015370,11485645,3692738,383464
World,1963,36093501,11005246,12332187,3826997,392172
World,1964,41475194,11303832,12931938,3870677,394958
World,1965,40475260,11653978,13595692,3873765,405857
World,1966,44826863,12084658,13355898,3877243,432286
World,1967,49828456,12386026,13549800,3903718,440399
World,1968,55617156,12303383,13871018,3916270,460158
World,1969,52626777,12211407,12761884,3889378,445673
World,1970,58881353,12365128,12754841,3937638,480642
World,1971,58293316,12398298,12685805,3976718,508341
World,1972,51789011,12753562,12357980,3983958,522985
World,1973,51308375,13688372,12031176,3957258,548785
World,1974,56720856,13309012,11416434,3866687,583018
World,1975,55854975,13432664,11313080,3808464,594247
World,1976,59084000,13761132,11095856,3911536,632334
World,1977,59241222,13892726,10889729,4062986,653480
World,1978,62623483,14360786,10872136,4029281,689377
World,1979,60252600,14616134,10707877,3985743,723286
World,1980,60489781,14688464,10500231,3918334,762688
World,1981,62459956,15279447,10984462,3986858,761247
World,1982,67545097,15220824,12497442,4080200,820815
World,1983,65689361,15300068,12388473,4200135,849021
World,1984,70609012,16074619,13926837,4138484,789467
World,1985,73506569,16380243,14706334,4173602,810942
World,1986,78606140,16227297,15091641,4226487,848975
World,1987,79755589,17449809,15669889,4216780,778434
World,1988,83223979,17418253,16079227,4100400,774315
World,1989,84135075,17620239,16962727,4103211,763732
World,1990,80593708,17734811,16698879,4075507,733903
World,1991,79511569,17773521,16441591,4099117,753923
World,1992,81793283,18417117,15717869,4108368,744304
World,1993,82746056,18031035,15118768,4072844,747610
World,1994,88495889,18723265,14457538,4139764,754426
World,1995,87743321,19665232,14406022,4124233,752382
World,1996,90068159,20787945,14689195,4081801,748967
World,1997,88205198,20401848,14321828,4044958,774972
World,1998,79574228,20332081,13154260,4025919,744742
World,1999,84833508,20588769,12426124,4057334,731511
World,2000,87493439,19735866,11986132,4094731,765919
World,2001,84201719,20046446,11506452,3955601,769491
World,2002,84367375,19742034,10791660,3879482,758863
World,2003,80954017,20568530,10782853,3865552,771767
World,2004,85760977,21076208,10387939,3808617,771531
World,2005,83779026,20966689,10014530,3718690,745431
World,2006,78480816,21417851,9530758,3792749,790270
World,2007,78861788,21097388,9725492,3623797,804477
World,2008,76840638,21111836,9568906,3629819,826843
World,2009,75728150,21828623,9369530,3630156,805632
World,2010,73326274,21586606,9638888,3627383,808357
