Entity,Year,Non-Commercial Flight Distance Record (km) (Wikipedia)
Global,1800,0
Global,1850,0
Global,1900,0
Global,1903,0.279
Global,1914,1699
Global,1919,3040
Global,1923,4050
Global,1926,5396
Global,1927,5809
Global,1929,8028.44
Global,1931,8066
Global,1933,9104.7
Global,1937,10148.5
Global,1938,11651.011
Global,1944,16435
Global,1946,18083.6
Global,1962,20168.78
Global,1986,40212.14
Global,2006,41467.46
