Entity,Year,Motor vehicles per 1000 people (NationMaster (2014))
Afghanistan,2014,28
Albania,2014,124
Algeria,2014,114
Angola,2014,38
Antigua and Barbuda,2014,230
Argentina,2014,314
Armenia,2014,103
Australia,2014,717
Austria,2014,578
Azerbaijan,2014,101
Bahamas,2014,81
Bahrain,2014,537
Bangladesh,2014,3
Barbados,2014,469
Belarus,2014,362
Belgium,2014,559
Belize,2014,174
Benin,2014,22
Bhutan,2014,57
Bolivia,2014,68
Bosnia and Herzegovina,2014,214
Botswana,2014,133
Brazil,2014,249
Brunei,2014,510
Bulgaria,2014,393
Burkina Faso,2014,12
Burundi,2014,6
Cambodia,2014,21
Cameroon,2014,14
Canada,2014,607
Cape Verde,2014,101
Central African Republic,2014,4
Chad,2014,6
Chile,2014,184
China,2014,83
Colombia,2014,71
Comoros,2014,33
Congo,2014,27
Costa Rica,2014,177
Cote d'Ivoire,2014,20
Croatia,2014,380
Cuba,2014,38
Cyprus,2014,532
Czech Republic,2014,485
Democratic Republic of Congo,2014,5
Denmark,2014,480
Djibouti,2014,28
Dominica,2014,163
Dominican Republic,2014,128
Ecuador,2014,71
Egypt,2014,45
El Salvador,2014,94
Equatorial Guinea,2014,13
Eritrea,2014,11
Estonia,2014,476
Ethiopia,2014,3
Fiji,2014,179
Finland,2014,612
France,2014,578
Gabon,2014,14
Gambia,2014,7
Georgia,2014,155
Germany,2014,572
Ghana,2014,30
Greece,2014,624
Grenada,2014,122
Guam,2014,677
Guatemala,2014,68
Guinea,2014,5
Guinea-Bissau,2014,33
Guyana,2014,95
Haiti,2014,12
Honduras,2014,95
Hong Kong,2014,77
Hungary,2014,345
Iceland,2014,745
India,2014,18
Indonesia,2014,60
Iran,2014,200
Iraq,2014,50
Ireland,2014,513
Israel,2014,346
Italy,2014,679
Jamaica,2014,188
Japan,2014,591
Jordan,2014,165
Kazakhstan,2014,219
Kenya,2014,24
Kiribati,2014,146
Kuwait,2014,527
Kyrgyzstan,2014,59
Laos,2014,20
Latvia,2014,319
Lebanon,2014,434
Lesotho,2014,4
Liberia,2014,3
Libya,2014,290
Liechtenstein,2014,750
Lithuania,2014,560
Luxembourg,2014,739
Macedonia,2014,155
Madagascar,2014,26
Malawi,2014,8
Malaysia,2014,361
Maldives,2014,28
Mali,2014,14
Malta,2014,693
Mauritania,2014,5
Mauritius,2014,175
Mexico,2014,275
Micronesia (country),2014,37
Moldova,2014,156
Monaco,2014,899
Mongolia,2014,72
Montenegro,2014,309
Morocco,2014,70
Mozambique,2014,12
Namibia,2014,107
Nauru,2014,159
Nepal,2014,5
Netherlands,2014,528
New Zealand,2014,712
Nicaragua,2014,57
Niger,2014,7
Nigeria,2014,31
North Korea,2014,11
Norway,2014,584
Oman,2014,215
Pakistan,2014,18
Palestine,2014,42
Panama,2014,132
Papua New Guinea,2014,13
Paraguay,2014,54
Peru,2014,73
Philippines,2014,30
Poland,2014,537
Portugal,2014,548
Puerto Rico,2014,635
Qatar,2014,532
Romania,2014,235
Russia,2014,293
Rwanda,2014,5
Saint Kitts and Nevis,2014,223
Saint Lucia,2014,166
Saint Vincent and the Grenadines,2014,204
Samoa,2014,77
San Marino,2014,"1,263"
Saudi Arabia,2014,336
Senegal,2014,22
Serbia,2014,238
Seychelles,2014,176
Sierra Leone,2014,6
Singapore,2014,149
Slovakia,2014,364
Slovenia,2014,567
Solomon Islands,2014,3
Somalia,2014,3
South Africa,2014,165
South Korea,2014,376
Spain,2014,593
Sri Lanka,2014,76
Sudan,2014,27
Suriname,2014,291
Swaziland,2014,89
Sweden,2014,520
Switzerland,2014,566
Syria,2014,73
Taiwan,2014,324
Tajikistan,2014,38
Tanzania,2014,7
Thailand,2014,206
Togo,2014,2
Tonga,2014,174
Trinidad and Tobago,2014,353
Tunisia,2014,125
Turkey,2014,144
Turkmenistan,2014,106
Uganda,2014,8
Ukraine,2014,173
United Arab Emirates,2014,313
United Kingdom,2014,519
United States,2014,797
Uruguay,2014,200
Uzbekistan,2014,37
Vanuatu,2014,54
Venezuela,2014,147
Vietnam,2014,23
Yemen,2014,35
Zambia,2014,21
Zimbabwe,2014,114
