Entity,Year,Residential system (Barbose & Darghouth (2016)),Small non-residential system (Barbose & Darghouth (2016))
Australia,2015,1.782714,1.647318
France,2015,2.774,2.10824
Germany,2015,1.6644,1.16508
Japan,2015,2.874845105,2.114828583
United States,2015,3.995579958,3.479994774
