Entity,Year,Median,17th percentile,83rd percentile,97.5th percentile,2.5th percentile
Afghanistan,15,0.028581322,-0.107122489,0.245645898,0.643088817,-0.431044965
Albania,15,0.001047848,-0.14213596,0.139769727,0.423185268,-0.433203872
Algeria,15,-0.222447233,-0.56462435,-0.026671517,0.154144567,-1.074974458
Angola,15,-0.462597637,-0.748105885,-0.243947355,-0.047641523,-1.144182862
Argentina,15,-0.102534499,-0.356877157,0.036091501,0.260240002,-0.767839346
Armenia,15,0.430934923,0.020064558,1.065316891,1.966294341,-0.418947128
Australia,15,-0.072360427,-0.234902438,0.006888443,0.117086003,-0.49373714
Austria,15,0.350981366,-0.116012857,1.018268071,1.992372515,-0.733349502
Azerbaijan,15,0.029832828,-0.096902138,0.254569258,0.685633032,-0.414406313
Bahamas,15,-0.569194117,-0.966700961,-0.190716918,0.165963092,-1.569853379
Bangladesh,15,-1.049305828,-1.671987316,-0.554787223,-0.089373693,-2.47771968
Belarus,15,0.472341483,-0.229829012,1.454405007,2.827750272,-1.213266653
Belgium,15,0.16351631,-0.066975958,0.61084398,1.332963949,-0.449155869
Belize,15,-0.713223348,-1.146420947,-0.349124119,-0.000393445,-1.68026403
Benin,15,-0.786638786,-1.257773681,-0.386710249,0.044637121,-1.86284202
Bhutan,15,0.052490959,-0.105889396,0.251196373,0.555822184,-0.381656719
Bolivia,15,-0.199967522,-0.452002383,-0.036585965,0.093547902,-0.822261575
Bosnia and Herzegovina,15,0.215391458,-0.074966501,0.717372249,1.495392822,-0.555838699
Botswana,15,-0.312062856,-0.756914354,0.018195822,0.471372564,-1.402190524
Brazil,15,-0.52364841,-1.043727732,-0.130016022,0.322649084,-1.7261876
Brunei,15,-0.652151952,-1.121792103,-0.236850106,0.105926204,-1.663116699
Bulgaria,15,0.160971662,-0.069553463,0.597250925,1.265394598,-0.47032386
Burkina Faso,15,-0.885156487,-1.60890876,-0.315067952,0.299038493,-2.559922899
Burundi,15,-0.330679244,-0.629976321,-0.110596282,0.073528023,-1.032809917
Cambodia,15,-0.939077211,-1.683883393,-0.313436906,0.487832618,-2.689794304
Cameroon,15,-0.660017394,-1.022933791,-0.3739998,-0.132818276,-1.498416675
Canada,15,0.710010239,0.209253983,1.388689599,2.261178241,-0.324881559
Cape Verde,15,-0.409498501,-0.836984337,-0.074315503,0.423356691,-1.563453229
Central African Republic,15,-0.657237752,-1.076909446,-0.308962588,0.07659301,-1.619581679
Chad,15,-0.97316974,-1.746133721,-0.301520706,0.392410994,-2.721277685
Chile,15,0.146263126,-0.012113788,0.432560751,0.830685632,-0.210935326
China,15,-0.02884882,-0.239493427,0.128163463,0.404638485,-0.561258798
Colombia,15,-0.407923563,-0.934154126,-0.046924401,0.480271752,-1.77295384
Comoros,15,-0.447745758,-0.722284897,-0.222094691,-0.016768666,-1.075769492
Congo,15,-0.602958624,-1.013496332,-0.258630579,0.068047452,-1.552492036
Costa Rica,15,-0.558027065,-1.072178516,-0.155188068,0.510795339,-1.946455278
Cote d'Ivoire,15,-0.709976155,-1.156143161,-0.331077545,-0.000357098,-1.741194806
Croatia,15,0.079776607,-0.088987958,0.439801862,1.069375294,-0.439704278
Cuba,15,-0.674155782,-1.086792624,-0.331453161,-0.008525955,-1.667593936
Cyprus,15,-0.317472888,-0.580556518,-0.129784197,0.015292938,-0.944478609
Czech Republic,15,0.373191532,-0.114020169,1.076246293,2.121913407,-0.844526656
Democratic Republic of Congo,15,-0.50618969,-0.861987141,-0.209001365,0.051940858,-1.328129999
Denmark,15,0.3364227,-0.012389188,0.829443949,1.512463944,-0.474533196
Djibouti,15,-1.042014623,-2.05543295,-0.155044771,0.905569508,-3.370795946
Dominican Republic,15,-0.688802052,-1.032088946,-0.410671894,-0.178107847,-1.469633558
Ecuador,15,-0.30126266,-0.725546975,-0.011048633,0.601667964,-1.54826984
Egypt,15,-0.550885787,-0.982265889,-0.220321153,0.054196802,-1.5661134
El Salvador,15,-0.582739006,-1.517009249,0.119000272,1.115573509,-2.764141847
Eritrea,15,-0.566383206,-1.147724053,-0.103385178,0.355174306,-1.946870078
Estonia,15,0.656237962,-0.102259274,1.737995147,3.300608242,-0.97286543
Ethiopia,15,-0.29742281,-0.555345827,-0.112737746,0.022346521,-0.905884345
Fiji,15,-0.336256205,-0.628822019,-0.070989232,0.156013402,-1.004635833
Finland,15,0.814725801,-0.037117203,2.171018844,4.075854814,-0.880829714
France,15,0.136705675,-0.038580123,0.486498381,1.047713687,-0.315363257
Gabon,15,-0.573422405,-0.851428117,-0.347948257,-0.158318419,-1.196024045
Gambia,15,-0.720741141,-1.208858582,-0.330836481,0.108836751,-1.897947722
Georgia,15,0.154121826,-0.027948669,0.506975163,1.086984234,-0.301083954
Germany,15,0.293866622,-0.057098304,0.850764054,1.702070223,-0.538700394
Greece,15,-0.040982815,-0.279596488,0.066171114,0.326895583,-0.704623542
Guatemala,15,-0.570166805,-1.110654741,-0.13042984,0.381129088,-1.840638834
Guinea,15,-0.649309937,-1.012162659,-0.353608998,-0.072013913,-1.487679285
Guyana,15,-0.912326347,-1.607353254,-0.391867969,0.319106966,-2.834532263
Honduras,15,-0.707472387,-1.389589136,-0.146875515,0.55782579,-2.360466402
Hungary,15,0.140926187,-0.105542819,0.614326869,1.38473884,-0.610167861
Iceland,15,0.595761974,-0.125520452,1.667020808,3.25927419,-0.922169545
India,15,-0.783602139,-1.363949671,-0.306488558,0.167817298,-2.115750173
Indonesia,15,-0.746073285,-1.232130854,-0.313747696,-0.050173389,-1.823275795
Iran,15,-0.094589976,-0.362372628,0.031188983,0.26993409,-0.78801054
Iraq,15,-0.716934114,-1.366991746,-0.216594056,0.261038986,-2.227303365
Italy,15,0.013029603,-0.126024997,0.198144515,0.5478673,-0.443301373
Japan,15,-0.000760488,-0.136852367,0.120160807,0.349087649,-0.381789437
Jordan,15,-0.296031053,-0.617576528,-0.076817245,0.086873234,-1.076995178
Kazakhstan,15,0.684964882,0.085046575,1.469474401,2.555518766,-0.480260229
Kenya,15,-0.302154787,-0.584963254,-0.097339412,0.067228759,-0.962396161
Kyrgyzstan,15,0.541036795,0.04731606,1.196793436,2.110911008,-0.503185015
Laos,15,-0.671881468,-1.27416718,-0.178728871,0.377168052,-2.089816093
Latvia,15,0.536503206,-0.175759166,1.493417688,2.789748101,-1.163373947
Lebanon,15,-0.011959959,-0.18022061,0.105893448,0.362347993,-0.484300389
Lesotho,15,0.063645611,-0.037104317,0.274745994,0.61596125,-0.225416854
Liberia,15,-0.594083496,-0.928774807,-0.315117312,-0.024490879,-1.396560098
Lithuania,15,0.48525702,-0.142145905,1.392404429,2.702007885,-1.043676149
Luxembourg,15,0.227916521,-0.060426786,0.737336408,1.527044786,-0.53290024
Macedonia,15,0.189525544,-0.031727171,0.59201924,1.227865072,-0.360638904
Madagascar,15,-0.310226163,-0.603376503,-0.094464739,0.09866262,-0.998178056
Malawi,15,-0.387295348,-0.848454343,-0.017804522,0.412664429,-1.510889398
Malaysia,15,-0.762783836,-1.3181543,-0.270929374,0.190173756,-2.0028089
Mali,15,-0.900318326,-1.606660289,-0.279404239,0.402979141,-2.551518718
Mauritania,15,-0.992822061,-1.618799135,-0.481445369,0.025279585,-2.382774189
Mauritius,15,-0.409150433,-0.729267329,-0.082172859,0.09059387,-1.144477097
Mexico,15,-0.287889049,-0.532025895,-0.111363464,0.020760781,-0.865041464
Moldova,15,0.197397721,-0.131955437,0.766054286,1.658323756,-0.763743078
Mongolia,15,0.686358456,-0.221500359,1.708595998,3.029664471,-1.36944385
Morocco,15,-0.22017997,-0.507196314,-0.038373097,0.09713223,-0.924923342
Mozambique,15,-0.516441565,-1.005184663,-0.11656649,0.308971518,-1.670083836
Namibia,15,-0.449718495,-0.852706819,-0.14810458,0.170843024,-1.39807943
Nepal,15,-0.464161817,-0.924161754,-0.129862137,0.166844133,-1.514454034
Netherlands,15,0.164732968,-0.03914053,0.562872448,1.176201003,-0.387465122
New Zealand,15,0.035035179,-0.022347611,0.138218732,0.302074273,-0.132752255
Nicaragua,15,-0.810760289,-1.707965356,0.001427796,1.017743201,-2.924897132
Nigeria,15,-0.835324901,-1.322264965,-0.435602716,-0.081708535,-1.922924668
Norway,15,0.573273487,-0.041019455,1.346283965,2.369096598,-0.806239349
Pakistan,15,-0.550517549,-1.137262812,-0.060935693,0.451205539,-1.958692172
Panama,15,-0.700599286,-1.222798344,-0.278188647,0.262111351,-2.032086419
Paraguay,15,-0.507451404,-1.317944441,0.174872678,1.103634474,-2.38099543
Peru,15,-0.069527704,-0.291684121,0.043779175,0.246666428,-0.662804996
Philippines,15,-0.538834696,-0.84131213,-0.277252927,-0.051680796,-1.218083833
Poland,15,0.342715886,-0.108387641,1.028777002,2.029322197,-0.821380336
Portugal,15,-0.04503213,-0.212499175,0.051022401,0.240547358,-0.473366386
Romania,15,0.216155834,-0.100342207,0.730696064,1.542625069,-0.64285447
Russia,15,0.834038717,0.065455556,1.776151302,3.033554935,-0.848016676
Rwanda,15,-0.338944226,-0.614425818,-0.137224683,0.006515084,-0.983166114
Saint Vincent and the Grenadines,15,-0.61158402,-0.979282097,-0.305226274,0.117772492,-1.563823442
Samoa,15,-0.492928909,-0.772660342,-0.249621309,-0.046809594,-1.132380152
Saudi Arabia,15,-0.986534987,-1.686039897,-0.426143726,0.122301285,-2.620026916
Senegal,15,-0.912474149,-1.382079281,-0.505710218,-0.111332036,-1.975130612
Serbia,15,0.192326694,-0.063456733,0.675413049,1.412134037,-0.505678804
Sierra Leone,15,-0.68101748,-1.025055294,-0.3955014,-0.090440304,-1.540548322
Slovakia,15,0.308354558,-0.12573642,0.991145152,1.978692678,-0.75575388
Slovenia,15,0.308858368,-0.079988923,0.929147708,1.804043893,-0.631621947
Solomon Islands,15,-0.520354791,-0.738970605,-0.335868828,-0.182251889,-1.002680413
South Africa,15,-0.109961533,-0.331299489,0.00582749,0.163409803,-0.683728047
South Korea,15,0.1388346,-0.007361677,0.385970938,0.748037521,-0.196209019
Spain,15,-0.034258314,-0.247159213,0.084082092,0.347942403,-0.601839087
Sri Lanka,15,-0.637022316,-1.354692443,-0.009287923,0.602155281,-2.193885622
Sudan,15,-0.915729252,-1.699960582,-0.270795903,0.326939858,-2.723920535
Suriname,15,-0.775043365,-1.511443816,-0.185528535,0.408218515,-2.486912084
Swaziland,15,-0.220338349,-0.558156217,0.004873621,0.326667623,-1.059835785
Sweden,15,0.52640672,-0.068662643,1.292659514,2.33260673,-0.74338364
Switzerland,15,0.405839461,-0.088418465,1.116741617,2.11107868,-0.76729876
Tajikistan,15,0.111929345,-0.045223048,0.434785199,0.970842779,-0.322057682
Tanzania,15,-0.444129783,-0.768954071,-0.193291053,0.04642004,-1.199803129
Thailand,15,-0.945653586,-1.65672275,-0.360300074,0.291116664,-2.620335699
Togo,15,-0.767305388,-1.281889185,-0.343681782,0.068864737,-1.931784256
Trinidad and Tobago,15,-0.591793008,-0.920016433,-0.316466107,0.046458611,-1.456039345
Tunisia,15,-0.349316047,-0.750816352,-0.077630347,0.146655897,-1.321878725
Turkey,15,0.040298396,-0.07656977,0.25854801,0.649747528,-0.361613212
Turkmenistan,15,-0.088342948,-0.383870869,0.047949913,0.296771547,-0.881052949
Uganda,15,-0.54584647,-0.91229342,-0.25438359,-0.007182046,-1.369981015
Ukraine,15,0.293346986,-0.108988904,0.945773656,1.891887014,-0.706804204
United Arab Emirates,15,-0.937584785,-1.646191928,-0.333799072,0.325091435,-2.554684456
United Kingdom,15,0.213910809,-0.005281472,0.572500831,1.110989096,-0.302691147
United States,15,0.010640417,-0.125562284,0.187180641,0.53696193,-0.453149886
Uruguay,15,-0.136183691,-0.412183034,0.027530502,0.263106852,-0.851416815
Uzbekistan,15,-0.004767936,-0.190293016,0.136709317,0.495792197,-0.591112171
Vanuatu,15,-0.353612321,-0.680829073,-0.065923115,0.160743887,-1.077956337
Venezuela,15,-0.887259191,-1.537823351,-0.3204582,0.237877987,-2.448091042
Vietnam,15,-0.925005788,-1.628359505,-0.327046588,0.266781833,-2.533679517
Zambia,15,-0.384164922,-0.771574819,-0.10899007,0.162383243,-1.32435265
Zimbabwe,15,-0.327997557,-0.747317689,-0.01250809,0.328727763,-1.316656062
