Entity,Year,CO2 emissions (CDIAC and UN Population),Per capita CO2 emissions (CDIAC and UN Population)
World,1751,0.01101,0.01346054
World,1752,0.01101,0.013391525
World,1753,0.01101,0.013324268
World,1754,0.01101,0.013258699
World,1755,0.01101,0.013194754
World,1756,0.01101,0.013132368
World,1757,0.01101,0.013071478
World,1758,0.01101,0.01301202
World,1759,0.01101,0.012953936
World,1760,0.01101,0.012897164
World,1761,0.01101,0.012841647
World,1762,0.01101,0.012787326
World,1763,0.01101,0.012734146
World,1764,0.01101,0.012682051
World,1765,0.01101,0.012630986
World,1766,0.01101,0.012580898
World,1767,0.01101,0.012531734
World,1768,0.01101,0.012483443
World,1769,0.01101,0.012435972
World,1770,0.01101,0.012389272
World,1771,0.01468,0.016457723
World,1772,0.01468,0.016397314
World,1773,0.01468,0.016337737
World,1774,0.01468,0.016278928
World,1775,0.01468,0.016220826
World,1776,0.01468,0.016163368
World,1777,0.01468,0.016106494
World,1778,0.01468,0.016050144
World,1779,0.01468,0.015994258
World,1780,0.01468,0.015938779
World,1781,0.01835,0.019854561
World,1782,0.01835,0.019786012
World,1783,0.01835,0.019717757
World,1784,0.01835,0.019649727
World,1785,0.01835,0.019581854
World,1786,0.01835,0.01951407
World,1787,0.01835,0.019446309
World,1788,0.01835,0.019378504
World,1789,0.01835,0.01931059
World,1790,0.01835,0.019242505
World,1791,0.02202,0.023009021
World,1792,0.02202,0.022926679
World,1793,0.02202,0.022843907
World,1794,0.02202,0.022760631
World,1795,0.02202,0.022676782
World,1796,0.02202,0.022592288
World,1797,0.02569,0.026258261
World,1798,0.02569,0.026157941
World,1799,0.02569,0.026056632
World,1800,0.02936,0.02966201
World,1801,0.02936,0.029543732
World,1802,0.0367,0.036780264
World,1803,0.03303,0.032966446
World,1804,0.03303,0.032829391
World,1805,0.03303,0.032691139
World,1806,0.0367,0.036168616
World,1807,0.0367,0.03601256
World,1808,0.0367,0.035855389
World,1809,0.0367,0.035697175
World,1810,0.0367,0.035537987
World,1811,0.04037,0.038915685
World,1812,0.04037,0.038738664
World,1813,0.04037,0.038560798
World,1814,0.04037,0.038382159
World,1815,0.04404,0.041675803
World,1816,0.04771,0.044936097
World,1817,0.05138,0.048162959
World,1818,0.05138,0.047932575
World,1819,0.05138,0.047701655
World,1820,0.05138,0.047470285
World,1821,0.05138,0.047238549
World,1822,0.05505,0.05036414
World,1823,0.05872,0.053456355
World,1824,0.05872,0.053190823
World,1825,0.06239,0.056233072
World,1826,0.06239,0.055950938
World,1827,0.06606,0.058943584
World,1828,0.06606,0.058645241
World,1829,0.06606,0.058347233
World,1830,0.08808,0.077399541
World,1831,0.08441,0.073794989
World,1832,0.08441,0.073416198
World,1833,0.08808,0.076213878
World,1834,0.08808,0.075820598
World,1835,0.09175,0.078571332
World,1836,0.10643,0.09067047
World,1837,0.10643,0.090199863
World,1838,0.1101,0.092825227
World,1839,0.11377,0.095420314
World,1840,0.12111,0.101047506
World,1841,0.12478,0.103567105
World,1842,0.13212,0.109087771
World,1843,0.13579,0.111533658
World,1844,0.14313,0.116949972
World,1845,0.15781,0.12827338
World,1846,0.15781,0.127605973
World,1847,0.16882,0.135799252
World,1848,0.17249,0.138031296
World,1849,0.1835,0.146080978
World,1850,0.19818,0.156951622
World,1851,0.19818,0.156141761
World,1852,0.20919,0.163967592
World,1853,0.21653,0.168848471
World,1854,0.25323,0.196453513
World,1855,0.26057,0.201111912
World,1856,0.27892,0.214172867
World,1857,0.28259,0.215881382
World,1858,0.28626,0.217567682
World,1859,0.30461,0.230332077
World,1860,0.33397,0.251243611
World,1861,0.34865,0.260948504
World,1862,0.35599,0.265082039
World,1863,0.38168,0.282760391
World,1864,0.41104,0.302955435
World,1865,0.43673,0.320244381
World,1866,0.44774,0.326637524
World,1867,0.4771,0.346273021
World,1868,0.49545,0.357746192
World,1869,0.52114,0.37436216
World,1870,0.53949,0.385548664
World,1871,0.57252,0.40704288
