Entity,Year,Median,17th percentile,83rd percentile,97.5th percentile,2.5th percentile
Afghanistan,2,0.041819297,-0.249557048,0.358699123,0.86736697,-0.746839853
Albania,2,-0.020776501,-0.29164057,0.202313409,0.577274608,-0.701524845
Algeria,2,-0.487855655,-0.93753393,-0.173860116,0.058727121,-1.556940591
Angola,2,-0.976077167,-1.375586748,-0.643631581,-0.333922249,-1.871534329
Argentina,2,-0.276465377,-0.625701041,-0.050280724,0.127389355,-1.134521277
Armenia,2,0.728426766,0.253242029,1.421228216,2.410370747,-0.061983297
Australia,2,-0.228401444,-0.486239562,-0.049695049,0.126526362,-0.841837427
Austria,2,0.623638696,0.120976949,1.356340704,2.389953793,-0.317371061
Azerbaijan,2,0.054623279,-0.203626668,0.368765,0.88339246,-0.670491313
Bahamas,2,-0.993049624,-1.453340958,-0.585623174,-0.243370453,-2.113067368
Bangladesh,2,-1.692128423,-2.428257481,-1.094265159,-0.578773963,-3.353736193
Belarus,2,0.797255815,0.076641675,1.823661185,3.299891557,-0.682672262
Belgium,2,0.305603587,0.010537868,0.810557421,1.602905809,-0.287564552
Belize,2,-1.245681127,-1.766903388,-0.815243696,-0.438917088,-2.411247507
Benin,2,-1.510270946,-2.121950921,-1.007811245,-0.544649859,-2.880661102
Bhutan,2,0.069183979,-0.22903976,0.36005997,0.756158485,-0.620092934
Bolivia,2,-0.440636079,-0.81889851,-0.160866372,0.088904773,-1.328874557
Bosnia and Herzegovina,2,0.397793261,0.028415815,0.981327199,1.862269439,-0.305114074
Botswana,2,-0.820871486,-1.398125697,-0.361197322,0.019389657,-2.15492412
Brazil,2,-1.000298304,-1.638153249,-0.513218395,-0.075920256,-2.504233347
Brunei,2,-1.226888049,-1.795673587,-0.757395923,-0.372615149,-2.469386479
Bulgaria,2,0.312698956,0.00131802,0.821501474,1.586957768,-0.303250984
Burkina Faso,2,-1.8107702,-2.688126887,-1.087764552,-0.477538725,-3.80070593
Burundi,2,-0.726794771,-1.134128465,-0.409050012,-0.143308403,-1.653429662
Cambodia,2,-1.648986562,-2.539444862,-0.941056132,-0.247080602,-3.676377121
Cameroon,2,-1.269355284,-1.746759637,-0.870968218,-0.514036358,-2.322221991
Canada,2,1.03742857,0.493206697,1.729793837,2.621420624,0.064565969
Cape Verde,2,-0.663926792,-1.155923725,-0.283526106,0.201131093,-1.96131373
Central African Republic,2,-1.389932456,-1.951776563,-0.920945733,-0.525552883,-2.639454437
Chad,2,-1.821765819,-2.731592002,-1.050487793,-0.385504893,-3.833597094
Chile,2,0.300337115,0.055513289,0.639297859,1.112277834,-0.130816939
China,2,-0.098572672,-0.428021578,0.166446324,0.542978311,-0.870743557
Colombia,2,-0.786266108,-1.424113574,-0.321916691,0.147097207,-2.364660491
Comoros,2,-0.882322206,-1.228426516,-0.593402478,-0.338174619,-1.653367981
Congo,2,-1.280955572,-1.806609621,-0.843513897,-0.449288466,-2.455334329
Costa Rica,2,-0.957332294,-1.603648722,-0.461562418,0.089818145,-2.629478721
Cote d'Ivoire,2,-1.400331445,-1.961948397,-0.940262397,-0.543737482,-2.651954224
Croatia,2,0.144707859,-0.088625161,0.574800361,1.292644271,-0.534053348
Cuba,2,-1.135807099,-1.646544515,-0.71463853,-0.349147825,-2.298161889
Cyprus,2,-0.586620407,-0.940493838,-0.313212403,-0.082738325,-1.399980738
Czech Republic,2,0.626174741,0.087349188,1.390673439,2.490855871,-0.428476667
Democratic Republic of Congo,2,-1.138865857,-1.628367048,-0.735705985,-0.375778481,-2.231982817
Denmark,2,0.587696082,0.181118793,1.135078523,1.877259482,-0.109997723
Djibouti,2,-1.794268702,-2.967541787,-0.816181724,0.163364891,-4.472178149
Dominican Republic,2,-1.168447958,-1.609096415,-0.807793403,-0.490050031,-2.148397505
Ecuador,2,-0.565911652,-1.084244926,-0.192291264,0.299300256,-1.996330123
Egypt,2,-1.027597835,-1.582800896,-0.597759184,-0.250224089,-2.309330998
El Salvador,2,-1.1796875,-2.227803909,-0.376196482,0.546450387,-3.644378982
Eritrea,2,-1.113453763,-1.819948458,-0.559854041,-0.094684309,-2.748856484
Estonia,2,1.087091254,0.319207503,2.255378614,3.913626435,-0.358872332
Ethiopia,2,-0.650218213,-1.019995698,-0.365865826,-0.121902241,-1.504522134
Fiji,2,-0.661586964,-1.010767957,-0.366779323,-0.146175846,-1.449298461
Finland,2,1.426354882,0.505180754,2.837868506,4.723730289,-0.218035464
France,2,0.248105762,-0.005498115,0.662988185,1.293469803,-0.322120341
Gabon,2,-1.139388319,-1.524683986,-0.815039466,-0.518376878,-1.979816296
Gambia,2,-1.273863279,-1.857129367,-0.794222568,-0.349930567,-2.615154691
Georgia,2,0.261368602,-0.024119506,0.685233211,1.345805427,-0.410339995
Germany,2,0.473540397,0.064590734,1.115729596,2.056902103,-0.281063723
Greece,2,-0.154485764,-0.517043143,0.046044425,0.393370897,-1.0595978
Guatemala,2,-1.033985481,-1.687098863,-0.515190109,-0.015876319,-2.560995119
Guinea,2,-1.268874935,-1.760742411,-0.867554529,-0.509146854,-2.368518476
Guyana,2,-1.670506921,-2.533202936,-1.028685283,-0.368799377,-4.021883009
Honduras,2,-1.284536835,-2.101251652,-0.645393811,-0.050747309,-3.184714864
Hungary,2,0.282140851,-0.031048208,0.821314,1.671825679,-0.441172987
Iceland,2,1.268847323,0.519622296,2.425493192,4.118606848,-0.101459582
India,2,-1.468346892,-2.171400328,-0.905886076,-0.422514315,-3.081345192
Indonesia,2,-1.339178047,-1.937945803,-0.847641574,-0.480385193,-2.657747058
Iran,2,-0.270454901,-0.669067687,-0.002849599,0.346994098,-1.223654697
Iraq,2,-1.334847029,-2.09352121,-0.731422677,-0.260980846,-3.064563365
Italy,2,0.010808222,-0.258925037,0.279325298,0.729784569,-0.717641197
Japan,2,-0.033216299,-0.290036183,0.184651373,0.508201782,-0.643824409
Jordan,2,-0.577867527,-1.019107228,-0.254574519,-0.00117013,-1.613478977
Kazakhstan,2,1.148539283,0.499091572,2.009814731,3.16354868,-0.00110497
Kenya,2,-0.644401065,-1.018766522,-0.360579809,-0.138326056,-1.496562727
Kyrgyzstan,2,0.973728549,0.412386244,1.707659806,2.67906113,0.019219119
Laos,2,-1.246055462,-1.995360664,-0.6609706,-0.140574435,-2.975059609
