Entity,Year,Time spent on personal care (Eurostat),Time spent in employment (Eurostat),Time spent in study (Eurostat),Time spent on household and family care (Eurostat),"Time spent on leisure, social, and associative life (Eurostat)",Time spent on travel (Eurostat),Participation time in personal care (Eurostat),Participation time in employment (Eurostat),Participation time in study (Eurostat),Participation time in household and family care (Eurostat),"Participation time in leisure, social, and associative life (Eurostat)",Participation time in travel (Eurostat),Participation rate in personal care (Eurostat) ,Participation rate in employment (Eurostat),Participation rate in study (Eurostat),Participation rate in household and family care (Eurostat),"Participation rate in leisure, social, and associative life activities (Eurostat)",Participation rate in travel (Eurostat)
Austria,2010,646,201,22,196,306,69,454.66275,327.27271,218.88562,159.06158,219.58943,60.527859,99.90000152587891,43.29999923706055,7.199999809265137,86.69999694824219,97.90000152587891,79.90000152587891
Belgium,2000,658.91516,149.20723,14.019471,200.27817,331.46036,86.119614,488.14813,319.25925,153.33333,158.51851,246.66666,74.074074,100,34.5,6.5,93.5,99.59999847412109,86.09999847412109
Belgium,2010,672,131,35,181,341,80,463.89261,306.50046,227.8044,140.13423,238.15915,63.509106,100,29.39999961853027,10.60000038146973,89,98.90000152587891,86.90000152587891
Bulgaria,2000,705.98053,181.25174,5.0069542,233.32407,255.35466,59.082058,487.60806,338.21326,201.95966,181.21037,181.21037,49.798271,100,37.09999847412109,1.600000023841858,89.09999847412109,97.30000305175781,81.40000152587891
Estonia,2000,634.32153,222.46347,7.0146141,230.48018,278.58038,67.139877,467.92609,354.08624,161.88911,184.0657,211.41684,60.616016,99.90000152587891,46.40000152587891,3.099999904632568,92.30000305175781,97.19999694824219,81.69999694824219
Estonia,2010,667,164,21,189,323,76,461.54733,326.61221,208.97646,148.77463,228.35175,65.737625,100,34.70000076293945,7.099999904632568,87.90000152587891,98,79.69999694824219
Finland,2000,636.30255,190.58824,15.126051,189.57985,338.82355,69.579834,463.35541,330.44363,187.2514,146.86385,248.19989,63.885773,100,42.09999847412109,5.800000190734863,94.19999694824219,99.19999694824219,79.80000305175781
Finland,2010,648.45026,144.10007,24.016678,176.1223,365.25363,82.056976,465.62875,314.01199,189.70061,135.08983,264.43115,71.137726,100,33,9.100000381469727,93.40000152587891,99.30000305175781,82.90000152587891
France,2000,709.98608,181.25174,15.020863,211.29346,264.36719,58.080666,503.6803,309.73853,208.14998,167.65663,193.94179,56.832756,100,41.59999847412109,5,89.5,96.59999847412109,72.40000152587891
France,2010,695,147,26,186,303,83,488.43338,288.84335,222.07907,149.69254,218.56516,72.386528,100,35.70000076293945,8.199999809265137,87.30000305175781,97.30000305175781,80.90000152587891
Germany,2000,651.71552,161.67365,13.054394,200.83682,329.37241,83.347282,482.97675,319.2558,159.25581,160.74419,245.58139,72.186043,100,37.40000152587891,6.300000190734863,92.5,99.40000152587891,86.5
Germany,2010,663,152,19,178,351,77,481.69525,306.5994,184.54086,141.67508,257.19476,68.294647,100,36.09999847412109,7.300000190734863,91.30000305175781,99.30000305175781,81.80000305175781
Greece,2010,706,128,27,173,344,62,473.51651,295.10944,250.17233,141.5184,232.06334,47.619934,100,29.10000038146973,7.300000190734863,81.69999694824219,99.30000305175781,86.90000152587891
Hungary,2010,692,143,28,214,300,63,483.49344,301.83405,219.38864,164.89082,213.79912,56.593884,100,33.20000076293945,9,90.69999694824219,98,77.69999694824219
Italy,2000,675.4071,182.37996,12.025053,210.43842,275.57413,84.175369,473.44388,319.60974,207.92195,177.71707,196.68292,64.62439,100,40,4.199999809265137,83,98.09999847412109,91.80000305175781
Italy,2010,684,162,26,195,294,79,467.47034,309.59659,233.05173,164.70811,204.34741,60.825817,100,35.70000076293945,7.5,80.90000152587891,98.19999694824219,89.19999694824219
Latvia,2000,650.35492,251.52402,10.020877,178.37161,265.55325,84.175369,476.8212,360.91696,178.25777,151.11563,202.46561,70.422821,100,51.09999847412109,4.300000190734863,86.30000305175781,95.80000305175781,87.09999847412109
Lithuania,2000,656.36743,245.51149,10.020877,205.42798,253.5282,69.144051,483.94049,349.47153,185.44896,166.97795,192.83736,61.323757,100,51.70000076293945,3.900000095367432,90.69999694824219,96.90000152587891,82.40000152587891
Luxembourg,2010,688.52185,193.86537,30.978487,159.88896,274.80914,91.936157,488.50815,318.34564,229.01035,132.58493,198.5229,73.028069,100,43.09999847412109,9.5,85.5,98,89.19999694824219
Netherlands,2010,677,152,23,163,334,91,501.89645,296.70938,177.13992,132.11685,251.68631,80.45105,99.5,37.70000076293945,9.5,91.09999847412109,97.90000152587891,83.80000305175781
Norway,2000,617.28601,201.41963,14.029228,184.38414,346.72235,76.158669,460.08301,317.4274,194.19087,143.4025,260.66391,64.232368,100,47.40000152587891,5.199999809265137,95.5,99.19999694824219,87.90000152587891
Norway,2010,627.43567,172.11952,28.019457,173.12021,353.2453,86.059761,458.54749,306.42966,207.69934,136.75978,259.62418,70.93956,100,41.20000076293945,10,92.69999694824219,99.40000152587891,88.5
Poland,2000,656.27875,186.64809,14.048781,216.75262,296.02789,70.243904,485.4433,321.40207,179.62886,172.20618,221.93814,59.381443,100,42.90000152587891,5.800000190734863,93,98.5,87.40000152587891
Poland,2010,670,173,23,206,302,66,469.94641,321.24695,219.54213,158.51924,216.03506,54.710178,100,37.70000076293945,7.400000095367432,91.19999694824219,98.30000305175781,83.69999694824219
Romania,2010,711,176,21,208,266,58,494.36984,297.59537,239.1888,168.96185,189.12602,50.758087,100,41.09999847412109,6.199999809265137,85.69999694824219,97.90000152587891,79.30000305175781
Serbia,2010,670,155,20,199,329,67,477.62378,288,217.42575,164.67328,235.9604,56.316833,100,38.5,6.5,86,99.19999694824219,84.69999694824219
Slovenia,2000,631.43848,197.13689,17.011812,229.15912,299.20776,66.04586,463.35541,330.44363,179.17389,185.78276,223.23303,58.011219,100,43.70000076293945,6.900000095367432,90.30000305175781,98.19999694824219,83.59999847412109
Spain,2000,668.92908,193.26843,19.026426,197.27399,291.40472,70.097359,479.52142,336.66998,181.61516,168.69392,213.91824,59.581257,100,41,7.5,83.80000305175781,97.5,84.80000305175781
Spain,2010,687,156,27,189,311,70,484.22906,312.95154,202.99559,157.1806,224.14096,58.502201,100,35,9.399999618530273,84.59999847412109,97.69999694824219,84.09999847412109
Turkey,2010,688,169,26,166,327,64,476.30771,319.15387,198,159.23077,230.53847,56.769234,100,36.59999847412109,9.199999809265137,72.19999694824219,98.09999847412109,77.40000152587891
United Kingdom,2000,636.98114,197.23271,9.0566044,199.2453,309.93713,87.547173,476.48718,338.73495,156.57083,160.33455,234.85625,73.016205,100,43.59999847412109,4.099999904632568,92.80000305175781,98.90000152587891,89.59999847412109
United Kingdom,2010,642.55377,156.89105,21.984732,174.87856,314.7814,128.91048,466.96832,299.72852,199.81902,138.28055,232.39819,102.80544,99.69999694824219,37.90000152587891,7.900000095367432,91.5,98,90.69999694824219
