Entity,Year,Signed pledges (GCF),Signed pledges per capita (GCF)
Australia,2018,187,7.92
Austria,2018,34.8,4.09
Belgium,2018,66.9,6.18
Bulgaria,2018,0.1,0.02
Canada,2018,277,7.79
Chile,2018,0.3,0.02
Colombia,2018,0.3,0.01
Cyprus,2018,0.47,0.26
Czech Republic,2018,5.32,0.43
Denmark,2018,71.8,12.73
Estonia,2018,1.3,0.99
Finland,2018,107,19.40
France,2018,1035,15.64
Germany,2018,1003,12.40
Hungary,2018,4.3,0.40
Iceland,2018,0.7,2.10
Indonesia,2018,0.25,0.01
Ireland,2018,2.7,0.58
Italy,2018,268,4.54
Japan,2018,1500,11.80
Latvia,2018,0.47,0.08
Liechtenstein,2018,0.1,1.48
Lithuania,2018,0.1,0.02
Luxembourg,2018,33.4,58.63
Malta,2018,0.32,0.70
Mexico,2018,10,0.04
Monaco,2018,1.08,28.89
Mongolia,2018,0.1,0.01
Netherlands,2018,134,7.94
New Zealand,2018,2.56,0.57
Norway,2018,271,50.56
Panama,2018,1,0.24
Poland,2018,0.11,0.01
Portugal,2018,2.68,0.25
Romania,2018,0.1,0.01
South Korea,2018,100,1.99
Spain,2018,161,3.46
Sweden,2018,581,59.31
Switzerland,2018,100,12.21
United Kingdom,2018,1211,18.77
United States,2018,3000,9.41
World,2018,10200,
