Entity,Year,butterfly_population_unsmoothed_index,butterfly_population_smoothed_index,no_species_longterm_increase,no_species_longterm_decrease,no_species_longterm_nochange,no_species_shortterm_increase,no_species_shortterm_decrease,no_species_shortterm_nochange
Farmland,1990,100,116.686,,,,,,
Farmland,1991,131.5,115.88,,,,,,
Farmland,1992,135.2,115.067,,,,,,
Farmland,1993,84.72,114.246,,,,,,
Farmland,1994,97.72,113.425,,,,,,
Farmland,1995,114.5,112.599,,,,,,
Farmland,1996,129.4,111.757,,,,,,
Farmland,1997,145.8,110.89,,,,,,
Farmland,1998,111.6,109.993,,,,,,
Farmland,1999,101.1,109.079,,,,,,
Farmland,2000,108.8,108.16,,,,,,
Farmland,2001,99.08,107.246,,,,,,
Farmland,2002,99.31,106.344,,,,,,
Farmland,2003,121.3,105.462,,,,,,
Farmland,2004,118.8,104.603,,,,,,
Farmland,2005,105.4,103.774,,,,,,
Farmland,2006,105.6,102.993,,,,,,
Farmland,2007,77.44,102.275,,,,,,
Farmland,2008,73.28,101.638,,,,,,
Farmland,2009,104.4,101.088,,,,,,
Farmland,2010,107.6,100.621,,,,,,
Farmland,2011,97.94,100.232,,,,,,
Farmland,2012,62.37,99.921,,,,,,
Farmland,2013,116.4,99.687,,,,,,
Farmland,2014,109.9,99.512,,,,,,
Farmland,2015,102,99.386,,,,,,
Farmland,2016,76.03,99.303,,,,,,
Farmland,2017,97.05,99.257,,,,,,
Farmland,2018,118,99.235,,,,,,
Farmland,2019,117.7,99.221,3,6,13,2,1,19
Habitat specialist,1976,100,57.478,,,,,,
Habitat specialist,1977,26.06,52.684,,,,,,
Habitat specialist,1978,42.26,48.347,,,,,,
Habitat specialist,1979,38.9,44.641,,,,,,
Habitat specialist,1980,38.45,41.673,,,,,,
Habitat specialist,1981,20.27,39.493,,,,,,
Habitat specialist,1982,39.53,38.117,,,,,,
Habitat specialist,1983,34.59,37.363,,,,,,
Habitat specialist,1984,48.52,37.062,,,,,,
Habitat specialist,1985,40.55,37.017,,,,,,
Habitat specialist,1986,36.3,37.15,,,,,,
Habitat specialist,1987,41.87,37.419,,,,,,
Habitat specialist,1988,31.62,37.774,,,,,,
Habitat specialist,1989,37.15,38.209,,,,,,
Habitat specialist,1990,42.75,38.658,,,,,,
Habitat specialist,1991,34.19,39.039,,,,,,
Habitat specialist,1992,48.08,39.318,,,,,,
Habitat specialist,1993,37.23,39.406,,,,,,
Habitat specialist,1994,40.45,39.308,,,,,,
Habitat specialist,1995,44.77,39.005,,,,,,
Habitat specialist,1996,42.07,38.488,,,,,,
Habitat specialist,1997,43.05,37.813,,,,,,
Habitat specialist,1998,29.58,37.067,,,,,,
Habitat specialist,1999,32.06,36.394,,,,,,
Habitat specialist,2000,33.57,35.862,,,,,,
Habitat specialist,2001,32.73,35.492,,,,,,
Habitat specialist,2002,29.58,35.281,,,,,,
Habitat specialist,2003,36.64,35.199,,,,,,
Habitat specialist,2004,39.17,35.156,,,,,,
Habitat specialist,2005,37.93,35.078,,,,,,
Habitat specialist,2006,44.56,34.93,,,,,,
Habitat specialist,2007,29.1,34.71,,,,,,
Habitat specialist,2008,25.7,34.513,,,,,,
Habitat specialist,2009,33.26,34.376,,,,,,
Habitat specialist,2010,43.65,34.248,,,,,,
Habitat specialist,2011,43.15,34.062,,,,,,
Habitat specialist,2012,22.8,33.85,,,,,,
Habitat specialist,2013,33.96,33.741,,,,,,
Habitat specialist,2014,37.15,33.744,,,,,,
Habitat specialist,2015,32.35,33.876,,,,,,
Habitat specialist,2016,26.3,34.185,,,,,,
Habitat specialist,2017,28.9,34.705,,,,,,
Habitat specialist,2018,40.45,35.388,,,,,,
Habitat specialist,2019,41.49,36.127,7,11,8,2,0,24
Non-specialists,1976,100,72.081,,,,,,
Non-specialists,1977,47.09,72.809,,,,,,
Non-specialists,1978,62.66,73.563,,,,,,
Non-specialists,1979,71.28,74.344,,,,,,
Non-specialists,1980,62.8,75.146,,,,,,
Non-specialists,1981,55.2,75.959,,,,,,
Non-specialists,1982,95.06,76.763,,,,,,
Non-specialists,1983,87.7,77.519,,,,,,
Non-specialists,1984,111.1,78.205,,,,,,
Non-specialists,1985,72.44,78.808,,,,,,
Non-specialists,1986,69.82,79.342,,,,,,
Non-specialists,1987,61.8,79.817,,,,,,
Non-specialists,1988,59.7,80.232,,,,,,
Non-specialists,1989,89.33,80.575,,,,,,
Non-specialists,1990,88.3,80.813,,,,,,
Non-specialists,1991,98.17,80.92,,,,,,
