Entity,Year,"Coal (terrawatt-hours) (Smil & BP, 2019)","Crude oil (terrawatt-hours) (Smil & BP, 2019)","Natural gas (terrawatt-hours) (Smil & BP, 2019)","Hydropower (terrawatt-hours) (Smil & BP, 2019)","Nuclear (terrawatt-hours) (Smil & BP, 2019)","Solar (terrawatt-hours) (Smil & BP, 2019)","Other renewables (terrawatt-hours) (Smil & BP, 2019)","Traditional biofuels (terrawatt-hours) (Vaclav Smil, 2017)","Wind (terrawatt-hours) (Smil & BP, 2019)"
World,1972,17161.82973,30414.47716,10861.76049,1276.766396,150.8970728,0,29.87710082,9553.029811,0
World,1973,17673.09391,32787.73768,11377.11819,1292.752251,202.6554947,0,32.08492382,9607.789765,0
World,1974,17687.7423,32313.65198,11655.71658,1419.046721,263.3878734,0,33.95881358,9662.863614,0
World,1975,18031.6491,31985.56335,11661.05371,1440.451903,364.3608367,0,34.48367863,9718.253158,0
World,1976,18688.40966,34075.717,12355.17642,1435.228335,433.3928498,0,38.46095587,9773.960206,0
World,1977,19241.44147,35237.15586,12761.24437,1472.559263,535.421645,0,40.56255723,9829.986579,0
World,1978,19456.78595,36450.42579,13294.88653,1588.704502,619.3130172,0,42.96747784,9886.334106,0.003
World,1979,20359.51044,37064.76694,14119.35794,1667.584671,639.6327497,0,46.16932882,9943.00463,0.006
World,1980,20856.51935,35605.19324,14237.47062,1698.609443,711.3538908,0,49.38536385,10000,0.0105
World,1981,21148.68072,34315.54606,14395.17791,1725.232746,835.9370357,0,53.15454248,10105.91751,0.0105
World,1982,21384.22049,33257.19946,14470.4886,1796.883172,916.6454617,0,61.37055642,10212.95688,0.0185
World,1983,22040.19421,33046.58989,14703.60738,1879.268978,1029.398713,0.003,68.01793274,10321.12997,0.032794949
World,1984,22997.47253,33808.5925,15902.71049,1941.059184,1244.32029,0.006311111,76.00921831,10430.44881,0.044755556
World,1985,23906.3229,33860.60103,16261.15125,1979.589773,1488.972882,0.011747475,77.79223118,10540.92553,0.064220202
World,1986,24182.95534,34887.86085,16420.68427,2006.711404,1594.79042,0.015183838,85.57913281,10652.57239,0.138831313
World,1987,25145.10228,35582.99789,17282.08421,2034.514633,1734.782557,0.01060303,91.64285434,10765.40179,0.195376768
World,1988,25889.97449,36771.76521,18089.07306,2099.110818,1891.325259,0.01019596,94.28072727,10879.42625,0.331579798
World,1989,26152.07667,37373.13853,18894.00729,2086.54119,1945.080248,0.262223232,104.0343128,10994.65842,2.649776768
World,1990,25817.67196,37812.16755,19484.92659,2161.048084,2000.4748,0.388294949,116.5403296,11111.11111,3.632470516
World,1991,25533.21512,37816.59291,19976.49207,2213.132757,2096.191769,0.505202873,121.4972461,11242.7549,4.086706675
World,1992,25466.19301,38463.23438,19979.27205,2211.505593,2112.109454,0.468585109,130.4426248,11375.95839,4.733212019
World,1993,25586.69484,38223.25269,20269.97175,2344.266151,2184.848734,0.556697524,134.8256748,11510.74008,5.697568819
World,1994,25721.52297,39070.1514,20394.17539,2359.692519,2225.875895,0.600013925,139.9144829,11647.11865,7.122929844
World,1995,25856.08385,39586.61993,21109.39574,2488.98502,2322.415628,0.640813779,145.7193741,11785.11302,8.261923444
World,1996,26511.41236,40520.71726,22164.3721,2523.82594,2406.823606,0.705207972,149.8129284,11924.74234,9.204600661
World,1997,26532.9869,41571.92881,22035.24458,2569.62389,2390.296716,0.756584792,161.0667253,12066.02598,12.01781647
World,1998,26342.08007,41786.6139,22438.76203,2590.559549,2431.38596,0.831788965,168.5713392,12208.98355,15.92126027
World,1999,26527.07361,42532.7939,23073.93867,2608.2995,2524.369196,0.916196899,177.1983164,12414.05573,21.21617401
World,2000,27421.73054,43057.58309,23991.12594,2654.703506,2580.913075,1.125407397,185.4523814,12500,31.42093656
World,2001,27876.20723,43449.04636,24325.44255,2586.479369,2653.772909,1.409073679,191.2285146,12500,38.39094695
World,2002,28956.94683,43825.34827,25046.1123,2633.589747,2696.174443,1.775371131,205.8531818,12470,52.33175697
World,2003,31507.02955,44812.13186,25735.37157,2628.619237,2641.579545,2.269183155,217.3791491,12328.70237,62.91692708
World,2004,33687.35365,46503.83122,26717.42319,2805.326672,2757.125213,2.986799218,234.5727394,12159.75217,85.11716233
World,2005,36152.45507,47113.11173,27445.42125,2915.841286,2769.05009,4.177705657,254.823595,12076.14729,104.0858648
World,2006,38043.87536,47719.45312,28137.32397,3026.572097,2803.581451,5.732719865,271.8727605,11993.11724,132.8590679
World,2007,40172.65615,48426.29396,29289.56238,3079.435042,2746.439051,7.771912906,294.8394485,11910.65806,170.6825859
World,2008,40744.64348,48181.3762,29987.60595,3256.250267,2737.860822,12.62213956,315.0463315,11828.76583,220.5721193
World,2009,40130.96665,47374.13569,29377.66379,3250.203194,2699.245242,20.96502348,339.413259,11747.43666,275.9492931
World,2010,41985.08246,48868.62035,31566.99647,3432.948977,2767.507814,33.68315726,378.8514792,11666.66667,341.6144784
World,2011,43990.61475,49376.9783,32333.01912,3499.199595,2651.771616,65.03586217,397.9084392,11553.3766,436.7864088
World,2012,44161.26699,49983.18506,33175.25407,3666.772983,2472.44864,100.7644319,430.8496574,11441.18663,523.8093983
World,2013,44973.42328,50594.42023,33697.55048,3793.229045,2491.673601,139.0585712,464.0602093,11330.0861,645.3021853
World,2014,44940.52703,51001.52584,33926.40425,3883.143443,2540.752541,197.9105084,502.1589191,11220.06442,712.0316972
World,2015,43832.91321,51936.74642,34664.70898,3884.417357,2575.556604,260.7392188,536.4662441,11111.11111,831.3845072
World,2016,43147.84934,52896.44423,35501.87446,4017.743773,2615.242039,328.3781145,556.6233559,11111.11111,956.8735422
World,2017,43245.45931,53579.46013,36540.20803,4065.443127,2638.982195,453.5176575,584.975827,11111.11111,1127.989587
World,2018,43869.47664,54219.68079,38488.57083,4193.104151,2701.431999,584.6309178,625.8053618,11111.11111,1269.953375
