Entity,Year,Beds in for-profit privately owned hospitals (number) (OECD),"Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in not-for-profit privately owned hospitals (number) (OECD),"Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in publicly owned hospitals (number) (OECD),"Beds in publicly owned hospitals (per 1,000 population) (OECD)",Acute care beds (number) (OECD),"Acute care beds (per 1,000 population) (OECD)","Dentists (per 100,000 population) (OECD)",Dentists (headcount) (OECD),For-profit privately owned hospitals (number) (OECD),For-profit privately owned hospitals (per million population) (OECD),General hospitals (number) (OECD),General hospitals (per million population) (OECD),Hospitals (number) (OECD),Hospitals (per million population) (OECD),Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)",Midwives (headcount) (OECD),"Midwives (per 1,000 live births) (OECD)",Not-for-profit privately owned hospitals (number) (OECD),Not-for-profit privately owned hospitals (per million population) (OECD),"Nurses (per 1,000 population) (OECD)",Nurses (headcount) (OECD),"Physicians (per 1,000 population) (OECD)",Physicians (headcount) (OECD),Psychiatric care beds (number) (OECD),"Psychiatric care beds (per 1,000 population) (OECD)","Psychiatrists (per 1,000 population) (OECD)",Psychiatrists (headcount) (OECD),Publicly owned hospitals (number) (OECD),Publicly owned hospitals (per million population) (OECD),"Surgical specialists (per 1,000 population) (OECD)",Surgical specialists (headcount) (OECD),Hospital beds (number) (OECD),"Hospital beds, nurse-to-bed ratio (OECD)","Hospital beds (per 1,000 population) (OECD)"
Australia,2005,12946,0.64,11167,0.55,54602,2.71,,,0.59,11868,424,21.01,1018,50.45,1302,64.53,,,,,,123,6.1,14.16,285620,3.36,67890,7996,0.4,0.15,2965,755,37.42,0.51,10343,78715,1.6,3.9
Australia,2006,12876,0.63,11551,0.56,55904,2.73,,,0.6,12212,433,21.17,1018,49.78,1315,64.3,,,,,,124,6.06,,,3.51,71740,8226,0.4,0.15,3013,758,37.06,0.55,11296,80331,1.64,3.93
Australia,2007,,,,,56467,2.71,,,,,,,,,1314,63.09,,,,,,,,14.68,305834,3.71,77193,,,0.16,3326,762,36.59,0.6,12478,,,
Australia,2008,12901,0.61,11784,0.55,56548,2.66,,,,,448,21.08,1005,47.3,1320,62.12,,,,,,116,5.46,14.72,312735,3.71,78909,8400,0.4,0.15,3230,756,35.58,0.61,13009,81233,1.73,3.82
Australia,2009,13171,0.61,11755,0.54,56912,2.62,,,0.6,12941,464,21.39,1012,46.65,1334,61.5,,,,,,117,5.39,14.8,320982,3.82,82895,8399,0.39,0.16,3407,753,34.71,0.62,13510,81838,1.77,3.77
Australia,2010,13512,0.61,11882,0.54,57838,2.63,,,,,478,21.7,986,44.75,1345,61.05,,,,,,115,5.22,,,,,8517,0.39,,,752,34.13,,,83232,1.81,3.78
Australia,2011,14051,0.63,11980,0.54,58545,2.62,,,0.63,14099,477,21.35,988,44.23,1345,60.21,,,,,,115,5.15,14.8,330680,3.93,87790,8781,0.39,,,753,33.71,,,84576,1.82,3.79
Australia,2012,14590,0.64,12299,0.54,58311,2.56,,,0.65,14687,491,21.6,983,43.24,1347,59.25,,,,,,110,4.84,14.7,334078,4.03,91504,9054,0.4,0.16,3547,746,32.82,0.6,13714,85200,1.84,3.75
Australia,2013,15515,0.67,12428,0.54,58567,2.53,,,0.67,15479,503,21.75,985,42.59,1359,58.76,,,,33969,110.27,109,4.71,14.76,341476,4.11,95018,9384,0.41,0.15,3547,747,32.3,0.59,13694,86510,1.89,3.74
Australia,2014,16101,0.69,12578,0.54,60340,2.57,,,0.67,15764,517,22.02,928,39.53,1322,56.31,,,,33114,110.49,107,4.56,14.89,349635,4.21,98807,9578,0.41,0.16,3780,698,29.73,0.62,14450,89019,1.95,3.79
Australia,2015,16800,0.71,13122,0.55,60957,2.56,,,0.68,16123,523,21.96,937,39.34,1331,55.89,,,,32651,106.92,107,4.49,14.97,356417,4.32,102805,9812,0.41,0.16,3903,701,29.43,0.63,14938,90879,2.03,3.82
Australia,2016,17477,0.72,13552,0.56,61797,2.55,,,0.68,16549,543,22.45,938,38.77,1352,55.89,,,,32252,103.67,114,4.71,15.13,365899,4.41,106634,10186,0.42,0.17,4103,695,28.73,0.65,15632,92826,2.02,3.84
Australia,2017,,,,,,,,,0.69,16987,,,,,,,,,,32025,,,,15.25,375145,4.49,110376,,,0.17,4207,,,0.65,16066,,,
Austria,2005,5716,0.69,11182,1.36,46350,5.63,52870,6.43,,,62,7.54,136,16.53,264,32.09,3387,0.41,2.59,,,41,4.98,,,,,4913,0.6,0.13,1046,161,19.57,0.76,6289,63248,0.71,7.69
Austria,2006,6195,0.75,11218,1.36,45941,5.56,52679,6.37,,,65,7.86,132,15.96,263,31.81,3553,0.43,2.62,,,40,4.84,,,,,5007,0.61,0.13,1095,158,19.11,0.8,6612,63354,0.73,7.66
Austria,2007,6444,0.78,11451,1.38,46412,5.59,52922,6.38,,,68,8.2,132,15.91,269,32.43,3863,0.47,2.76,,,42,5.06,,,,,5352,0.65,0.13,1112,159,19.17,0.83,6850,64307,0.73,7.75
Austria,2008,6691,0.8,11526,1.39,45801,5.5,52364,6.29,,,67,8.05,131,15.74,266,31.97,3735,0.45,2.62,,,43,5.17,,,,,5145,0.62,0.14,1135,156,18.75,0.84,7011,64018,0.74,7.69
Austria,2009,6798,0.81,11493,1.38,45778,5.49,51967,6.23,,,67,8.03,130,15.58,266,31.88,3897,0.47,2.69,,,43,5.15,,,,,5146,0.62,0.14,1184,156,18.7,0.86,7207,64069,0.75,7.68
Austria,2010,7122,0.85,11519,1.38,45367,5.42,51504,6.16,,,69,8.25,129,15.42,267,31.92,3888,0.46,2.64,,,43,5.14,,,,,5276,0.63,0.15,1237,155,18.53,0.89,7463,64008,0.75,7.65
Austria,2011,7586,0.9,11450,1.36,45381,5.41,51189,6.1,,,74,8.82,128,15.25,272,32.41,4285,0.51,2.9,,,42,5,,,,,5273,0.63,0.15,1252,156,18.59,0.91,7667,64417,0.76,7.68
Austria,2012,8167,0.97,11417,1.35,45107,5.35,50541,6,,,80,9.49,127,15.07,277,32.86,4360,0.52,2.91,,,43,5.1,,,,,5251,0.62,0.15,1300,154,18.27,0.94,7905,64691,0.76,7.67
Austria,2013,8478,1,11318,1.33,45029,5.31,49792,5.87,,,81,9.55,124,14.62,278,32.78,4725,0.56,3.09,2173,27.39,43,5.07,,,,,5279,0.62,0.17,1402,154,18.16,0.98,8299,64825,0.77,7.64
