Entity,Year,"Number of cities with at least 10,000 inhabitants, by territory (De Vries (1984))","Total European urban population share, by region (De Vries (1984))","Urban share of total population, by territory and region (De Vries (1984))","Total European rural population share, by region (De Vries (1984))","Total European urban population, by region (De Vries (1984))","Total European rural population, by region (De Vries (1984))","Rural share of total population, by territory and region (De Vries (1984))",Total population (De Vries (1984)),Urban population (De Vries (1984)),Rural population (De Vries (1984))
Austria-Bohemia,1500,3,,1.7,,,,98.300003,3500000,59500,3440500
Austria-Bohemia,1550,3,,1.9,,,,98.099998,3600000,68400,3531600
Austria-Bohemia,1600,3,,2.1,,,,97.900002,4300000,90300,4209700
Austria-Bohemia,1650,3,,2.4,,,,97.599998,4100000,98400,4001600
Austria-Bohemia,1700,4,,3.9,,,,96.099998,4600000,179400,4420600
Austria-Bohemia,1750,6,,5.2,,,,94.800003,5700000,296400,5403600
Austria-Bohemia,1800,8,,5.2,,,,94.800003,7900000,410800,7489200
Austria-Bohemia,1850,,,6.7,,,,93.300003,12900000,864300,12035700
Austria-Bohemia,1890,,,18.1,,,,81.900002,17600000,3185600,14414400
Austria-Bohemia,1980,,,21.3,,,,78.699997,22700000,4835100,17864900
Belgium,1500,12,,21.1,,,,78.900002,1400000,295400,1104600
Belgium,1550,12,,22.7,,,,77.300003,1650000,374550,1275450
Belgium,1600,12,,18.8,,,,81.199997,1600000,300800,1299200
Belgium,1650,14,,20.8,,,,79.199997,2000000,416000,1584000
Belgium,1700,15,,23.9,,,,76.099998,2000000,478000,1522000
Belgium,1750,15,,19.6,,,,80.400002,2200000,431200,1768800
Belgium,1800,20,,18.9,,,,81.099998,2900000,548100,2351900
Belgium,1850,,,20.5,,,,79.5,4400000,902000,3498000
Belgium,1890,,,34.5,,,,65.5,6100000,2104500,3995500
Belgium,1980,,,28.6,,,,71.400002,9800000,2802800,6997200
British Isles,1500,,2.7,2,97.300003,,,98,,,
British Isles,1550,,2.8,2.4,97.199997,,,97.599998,,,
British Isles,1600,,4.8,4.2,95.199997,,,95.800003,,,
British Isles,1650,,8.800000000000001,6.5,91.199997,,,93.5,,,
British Isles,1700,,11.7,9.4,88.300003,,,90.599998,,,
British Isles,1750,,14.6,12.3,85.400002,,,87.699997,,,
British Isles,1800,,20.6,15.6,79.400002,,,84.400002,,,
British Isles,1850,,,32.5,,,,67.5,,,
British Isles,1890,,,55,,,,45,,,
British Isles,1980,,,46.6,,,,53.400002,,,
Central Italy,1500,9,,,,,,,,,
Central Italy,1550,9,,11.4,,,,88.599998,2500000,285000,2215000
Central Italy,1600,9,,12.5,,,,87.5,2900000,362500,2537500
Central Italy,1650,11,,14.2,,,,85.800003,2700000,383400,2316600
Central Italy,1700,10,,14.3,,,,85.699997,2800000,400400,2399600
Central Italy,1750,11,,14.5,,,,85.5,3100000,449500,2650500
Central Italy,1800,11,,13.6,,,,86.400002,3600000,489600,3110400
Central region,1500,56,31.5,3.7,68.5,9135000,19865000,96.300003,29000000,1073000,27927000
Central region,1550,62,30.8,4,69.199997,10410400,23389598,96,33800000,1352000,32448000
Central region,1600,75,30.3,5,69.699997,10908000,25091998,95,36000000,1800000,34200000
Central region,1650,69,32.1,6,67.900002,10593000,22407000,94,33000000,1980000,31020000
Central region,1700,88,33.3,7.1,66.699997,11721600,23478398,92.900002,35200000,2499200,32700800
Central region,1750,95,33.4,7.5,66.599998,13360000,26640000,92.5,40000000,3000000,37000000
Central region,1800,135,31,7.1,69,16492000,36708000,92.900002,53200000,3777200,49422800
Central region,1850,,,12.5,,,,87.5,72600000,9075000,63525000
Central region,1890,,,26.8,,,,73.199997,90800000,24334400,66465596
Central region,1980,,,36.9,,,,63.099998,137900000,50885100,87014896
Eastern region,1500,3,1.7,1.1,98.300003,102000,5898000,98.900002,6000000,66000,5934000
Eastern region,1550,4,1.7,1.2,98.300003,112200,6487800,98.800003,6600000,79200,6520800
Eastern region,1600,4,1.8,1.4,98.199997,138600,7561400,98.599998,7700000,107800,7592200
Eastern region,1650,4,1.9,1.7,98.099998,134900,6965100,98.300003,7100000,120700,6979300
Eastern region,1700,5,2.6,2.6,97.400002,192400,7207600,97.400002,7400000,192400,7207600
Eastern region,1750,7,3.7,3.5,96.300003,347800,9052200,96.5,9400000,329000,9071000
Eastern region,1800,11,4.2,4.2,95.800003,512400,11687600,95.800003,12200000,512400,11687600
Eastern region,1850,,,7.5,,,,92.5,18900000,1417500,17482500
Eastern region,1890,,,18,,,,82,26600000,4788000,21812000
Eastern region,1980,,,24.7,,,,75.300003,57900000,14301300,43598700
England and Wales,1500,5,,3.1,,,,96.900002,2600000,80600,2519400
England and Wales,1550,4,,3.5,,,,96.5,3200000,112000,3088000
England and Wales,1600,6,,5.8,,,,94.199997,4400000,255200,4144799.8
England and Wales,1650,8,,8.800000000000001,,,,91.199997,5600000,492800,5107200
England and Wales,1700,11,,13.3,,,,86.699997,5400000,718200,4681800
England and Wales,1750,21,,16.7,,,,83.300003,6100000,1018700,5081300
England and Wales,1800,44,,20.3,,,,79.699997,9200000,1867600,7332399.5
England and Wales,1850,,,40.8,,,,59.200001,17900000,7303200,10596800
England and Wales,1890,,,61.9,,,,38.099998,29000000,17951000,11049000
England and Wales,1980,,,50.7,,,,49.299999,49200000,24944400,24255600
Europe,1500,154,,5.6,,,,94.400002,61600000,3449600,58150400
Europe,1550,173,,6.3,,,,93.699997,70200000,4422600,65777396
Europe,1600,220,,7.6,,,,92.400002,78000000,5928000,72072000
Europe,1650,197,,8.300000000000001,,,,91.699997,74600000,6191800,68408200
Europe,1700,224,,9.199999999999999,,,,90.800003,81400000,7488800,73911200
