Entity,Year,Share of Top 1% in net personal wealth
China,1978,0.1579725
China,1979,0.157972515
China,1980,0.1579725
China,1981,0.157972515
China,1982,0.1579725
China,1983,0.1579725
China,1984,0.1579725
China,1985,0.1579725
China,1986,0.1579725
China,1987,0.1579725
China,1988,0.157972515
China,1989,0.157972515
China,1990,0.1579725
China,1991,0.1579725
China,1992,0.1579725
China,1993,0.1579725
China,1994,0.157972515
China,1995,0.1579725
China,1996,0.170144156
China,1997,0.17923221
China,1998,0.186276779
China,1999,0.191897348
China,2000,0.19648613
China,2001,0.200303286
China,2002,0.203528434
China,2003,0.205001935
China,2004,0.224525511
China,2005,0.237034768
China,2006,0.262048215
China,2007,0.284824282
China,2008,0.292496175
China,2009,0.311558098
China,2010,0.30450359
China,2011,0.279194802
China,2012,0.272453427
China,2013,0.272461355
China,2014,0.278310061
China,2015,0.296289712
France,1807,0.44135651
France,1817,0.4843947
France,1827,0.46669811
France,1837,0.45786181
France,1847,0.51181543
France,1857,0.51554412
France,1867,0.49274549
France,1877,0.45367229
France,1887,0.48943001
France,1902,0.52361208
France,1903,0.54364753
France,1904,0.56326371
France,1905,0.56903207
France,1907,0.54416227
France,1909,0.55371112
France,1910,0.5402261
France,1911,0.55407143
France,1912,0.5529986
France,1913,0.54561007
France,1914,0.54563922
France,1915,0.54002082
France,1916,0.53761017
France,1917,0.53486592
France,1918,0.52808487
France,1919,0.52001339
France,1920,0.50458509
France,1921,0.49396041
France,1922,0.48459899
France,1923,0.47731239
France,1924,0.47426939
France,1925,0.44698679
France,1926,0.45357439
France,1927,0.47740781
France,1929,0.4907321
France,1930,0.49606511
France,1931,0.46331969
France,1932,0.447956
France,1933,0.4459345
France,1935,0.4374533
France,1936,0.4326669
France,1937,0.42636779
France,1938,0.39694229
France,1939,0.39993489
France,1940,0.3478514
France,1941,0.34842631
France,1942,0.36246979
France,1943,0.38055071
France,1944,0.3783794
France,1945,0.35172209
France,1946,0.307017
France,1947,0.30239081
France,1948,0.3056677
France,1949,0.33264631
France,1950,0.3337734
France,1951,0.3272438
France,1952,0.32055101
France,1953,0.31898129
France,1954,0.3043074
France,1955,0.31082559
France,1956,0.31331271
France,1957,0.33243439
France,1958,0.3112233
France,1959,0.32563251
France,1960,0.31434929
France,1962,0.32007349
France,1964,0.3254984
France,1965,0.31861621
France,1966,0.30487609
France,1967,0.29204959
France,1968,0.25710729
France,1969,0.23332299
France,1970,0.2032662
France,1971,0.198403
France,1972,0.19785
France,1973,0.1977859
France,1974,0.1913306
France,1975,0.18681151
France,1976,0.1830304
France,1977,0.17867009
France,1978,0.1760201
France,1979,0.1743554
France,1980,0.1720697
France,1981,0.1667469
France,1982,0.1617877
France,1983,0.1592766
France,1984,0.1580372
France,1985,0.1613958
France,1986,0.16787329
France,1987,0.1705865
France,1988,0.1736979
France,1989,0.1765921
France,1990,0.1718258
France,1991,0.1809158
France,1992,0.17498089
France,1993,0.18789551
France,1994,0.1932383
France,1995,0.1964225
France,1996,0.23320881
France,1997,0.2530818
France,1998,0.2669858
France,1999,0.27835509
France,2000,0.28112301
France,2001,0.27050111
France,2002,0.25402331
France,2003,0.2461832
France,2004,0.2376418
France,2005,0.22511061
France,2006,0.2213207
France,2007,0.22374851
France,2008,0.2159293
France,2009,0.21701071
France,2010,0.23506591
France,2011,0.2297551
France,2012,0.2235779
France,2013,0.2290456
France,2014,0.23378859
Russia,1995,0.215031221
Russia,1996,0.234241723
Russia,1997,0.31506952
Russia,1998,0.357449762
Russia,1999,0.412465845
Russia,2000,0.391768617
Russia,2001,0.428869192
Russia,2002,0.384764554
Russia,2003,0.427291715
Russia,2004,0.430843254
Russia,2005,0.40450417
Russia,2006,0.367203334
Russia,2007,0.359593353
Russia,2008,0.393181656
Russia,2009,0.317463202
Russia,2010,0.342773524
Russia,2011,0.359799264
Russia,2012,0.354666367
Russia,2013,0.354626748
Russia,2014,0.36906937
Russia,2015,0.425818315
United Kingdom,1895,0.700078278
United Kingdom,1896,0.705110092
United Kingdom,1897,0.713764725
United Kingdom,1898,0.70199028
United Kingdom,1899,0.714167328
United Kingdom,1900,0.706519012
United Kingdom,1901,0.737716293
United Kingdom,1902,0.706519012
United Kingdom,1903,0.7033992
United Kingdom,1904,0.700078278
United Kingdom,1905,0.71346283
United Kingdom,1906,0.720910034
United Kingdom,1907,0.699373779
United Kingdom,1908,0.686492233
United Kingdom,1909,0.702493515
United Kingdom,1910,0.68830368
United Kingdom,1911,0.676520233
United Kingdom,1912,0.687790451
United Kingdom,1913,0.665845566
United Kingdom,1914,0.672140427
United Kingdom,1919,0.625506477
United Kingdom,1920,0.573149719
United Kingdom,1921,0.605379181
United Kingdom,1922,0.617354927
United Kingdom,1923,0.602445869
United Kingdom,1924,0.594640961
United Kingdom,1925,0.602700424
United Kingdom,1926,0.568875809
United Kingdom,1927,0.59110424
United Kingdom,1928,0.564596176
United Kingdom,1929,0.563224068
United Kingdom,1930,0.569378128
United Kingdom,1931,0.531109352
United Kingdom,1932,0.54318573
United Kingdom,1933,0.559488869
United Kingdom,1934,0.537952652
United Kingdom,1935,0.539764099
United Kingdom,1936,0.534268074
United Kingdom,1937,0.531310616
United Kingdom,1938,0.540719147
United Kingdom,1939,0.511887741
United Kingdom,1940,0.509774399
United Kingdom,1941,0.498503113
United Kingdom,1946,0.460764389
United Kingdom,1947,0.449493103
United Kingdom,1948,0.443857422
United Kingdom,1949,0.433793755
United Kingdom,1950,0.430416183
United Kingdom,1951,0.418526382
United Kingdom,1952,0.387755585
United Kingdom,1953,0.38887146
United Kingdom,1954,0.409309502
United Kingdom,1955,0.378622894
United Kingdom,1956,0.379060745
United Kingdom,1957,0.36568985
United Kingdom,1958,0.352792549
United Kingdom,1959,0.360940857
United Kingdom,1960,0.350440826
United Kingdom,1961,0.340330849
United Kingdom,1962,0.327640266
United Kingdom,1963,0.323827629
United Kingdom,1964,0.320717659
United Kingdom,1965,0.309360542
United Kingdom,1966,0.292706795
United Kingdom,1967,0.299123421
United Kingdom,1968,0.305295334
United Kingdom,1969,0.276011429
United Kingdom,1970,0.273867111
United Kingdom,1971,0.267274666
United Kingdom,1972,0.283523865
United Kingdom,1973,0.266657524
United Kingdom,1974,0.23667244
United Kingdom,1975,0.221263466
United Kingdom,1976,0.23081131
United Kingdom,1977,0.20628109
United Kingdom,1978,0.211547394
United Kingdom,1979,0.185258694
United Kingdom,1980,0.187544441
United Kingdom,1981,0.173856144
United Kingdom,1982,0.172027168
United Kingdom,1983,0.174615593
United Kingdom,1984,0.152216196
United Kingdom,1985,0.157824688
United Kingdom,1986,0.163007736
United Kingdom,1987,0.166732635
United Kingdom,1988,0.152034149
United Kingdom,1989,0.165928421
United Kingdom,1990,0.163473301
United Kingdom,1991,0.155803175
United Kingdom,1992,0.169916744
United Kingdom,1993,0.182895432
United Kingdom,1994,0.176450882
United Kingdom,1995,0.162255592
United Kingdom,1996,0.165480728
United Kingdom,1997,0.192691383
United Kingdom,1998,0.199612389
United Kingdom,1999,0.193029423
United Kingdom,2000,0.184968185
United Kingdom,2001,0.188568172
United Kingdom,2002,0.180453091
United Kingdom,2003,0.1678965
United Kingdom,2005,0.187656651
United Kingdom,2006,0.198744087
United Kingdom,2009,0.205814266
United Kingdom,2012,0.198812428
United States,1913,0.451159552
United States,1914,0.445876858
United States,1915,0.446417293
