Entity,Year,"Coal (Vaclav Smil, 2017)","Crude oil (Vaclav Smil, 2017)","Natural gas (Vaclav Smil, 2017)","Hydropower (Vaclav Smil, 2017)","Nuclear (Vaclav Smil, 2017)","Solar (Vaclav Smil, 2017)","Other renewables (Vaclav Smil, 2017)","Traditional biofuels (Vaclav Smil, 2017)","Wind (Vaclav Smil, 2017)"
World,1974,17872.71335,31737.45207,12408.64757,1419.379721,263.3878734,0,16.40558121,9662.863614,0
World,1975,18217.78258,31379.57182,12377.59393,1440.836903,364.3608367,0,18.39332237,9718.253158,0
World,1976,18888.19275,33436.49447,13084.99176,1435.681335,433.3928498,0,20.01929042,9773.960206,0
World,1977,19444.22377,34563.85832,13487.86548,1472.996263,535.421645,0,21.35914996,9829.986579,0
World,1978,19659.08926,35545.19876,14034.26272,1589.140502,619.3130172,0,21.8324752,9886.334106,0.003
World,1979,20578.43837,36132.25398,14902.18784,1668.234671,639.6327497,0,25.05623701,9943.00463,0.006
World,1980,21082.11321,34728.24131,15019.78524,1699.539443,711.3538908,0,28.61913546,10000,0.0105
World,1981,21381.08784,33444.6795,15173.09253,1726.109746,835.9370357,0,32.22058956,10105.91751,0.0105
World,1982,21607.77129,32375.66169,15217.6112,1797.946172,916.6454617,0,40.48476806,10212.95688,0.0185
World,1983,22272.26008,32152.29241,15422.60601,1880.914978,1029.398713,0.003,45.05557767,10321.12997,0.032794949
World,1984,23246.35751,32867.61133,16685.70859,1943.003184,1244.527429,0.006311111,49.44903792,10430.44881,0.044755556
World,1985,24158.77054,32881.90111,17238.25674,1978.957468,1481.791476,0.011747475,52.50645235,10540.92553,0.064220202
World,1986,24434.12552,33894.40315,17388.7886,2002.494513,1596.522905,0.015183838,58.97893828,10652.57239,0.138831313
World,1987,25407.0565,34567.92886,18287.8572,2035.625955,1736.064703,0.01060303,61.89326119,10765.40179,0.195376768
World,1988,26164.30397,35736.80678,19135.61251,2090.733266,1893.113873,0.01019596,64.46668516,10879.42625,0.331579798
World,1989,26428.58778,36334.02916,20010.26924,2086.457113,1946.67676,0.262223232,104.3163597,10994.65842,2.649776768
World,1990,26125.71752,36754.13661,20555.37089,2154.398607,2001.842499,0.386562626,116.4400272,11111.11111,3.632470516
World,1991,25837.70315,36780.36112,21111.11064,2211.113618,2097.573377,0.506460449,121.7366694,11242.7549,4.086106675
World,1992,25754.67743,37400.62836,21212.90741,2207.694306,2113.819366,0.468813392,130.4465873,11375.95839,4.732812019
World,1993,25881.25539,37073.19552,21421.02259,2341.243835,2186.363651,0.556795504,134.8307811,11510.74008,5.696168819
World,1994,26027.21237,37882.32542,21573.29342,2359.618533,2227.866241,0.600991703,140.2999386,11647.11865,7.125568228
World,1995,26166.42026,38352.69791,22325.39032,2485.02055,2324.038682,0.641599638,146.0933873,11785.11302,8.26308304
World,1996,26827.282,39206.17407,23405.25293,2518.142692,2408.707755,0.704925143,151.3889705,11924.74234,9.179570358
World,1997,26868.04001,40179.75478,23390.79648,2563.202245,2391.595326,0.757071661,161.4417739,12066.02598,11.99289586
World,1998,26669.06593,40510.60205,23795.44616,2594.475705,2433.58057,0.879724855,168.7996208,12208.98355,15.91878946
World,1999,26808.32277,41336.84028,24393.92707,2612.244243,2523.865072,0.964557047,178.1535475,12414.05573,21.23784874
World,2000,27734.28347,41747.30842,25373.43815,2656.535014,2582.154799,1.150853936,183.9059626,12500,31.50290163
World,2001,28174.87074,42148.06685,25801.53362,2587.486842,2654.967494,1.425708425,190.5595693,12500,38.63928243
World,2002,29258.89831,42509.72115,26518.27189,2635.381864,2697.564625,1.807259555,204.6135975,12470,52.97929141
World,2003,31804.60749,43520.59623,27262.35127,2626.7063,2643.059645,2.294241983,216.8351492,12328.70237,63.391006
World,2004,33987.20868,45173.20033,28238.52485,2803.72113,2759.794745,3.009475065,234.2268587,12159.75217,85.58007667
World,2005,36451.83029,45779.40114,29065.6228,2920.187177,2767.053202,4.229917053,255.1359038,12076.14729,104.2193111
World,2006,38307.76836,46336.15711,29923.81715,3038.340122,2806.141241,5.782574851,273.0265515,11993.11724,133.0357515
World,2007,40474.28993,47007.63802,31146.16529,3083.731738,2746.481075,7.702112602,295.1348241,11910.65806,170.8424246
World,2008,41035.15978,46814.2565,31959.42611,3267.050118,2737.859277,12.5912305,313.5074992,11828.76583,219.0594312
World,2009,40427.43115,46004.24472,31116.35515,3255.669347,2711.95073,20.91791861,336.9703889,11747.43666,277.899072
World,2010,42282.4673,47513.45791,33427.49678,3441.255339,2766.133785,33.81625431,376.4966326,11666.66667,341.417277
World,2011,44277.59112,47982.28,34033.08509,3501.648542,2652.157567,64.69511238,398.555388,11553.3766,436.540591
World,2012,44395.06224,48569.02647,35012.27319,3677.295119,2471.522055,100.0339074,427.2224855,11441.18663,526.8814284
World,2013,45205.49828,49088.50592,35522.2638,3797.195979,2491.94982,137.5611538,458.7429421,11330.0861,644.4102388
World,2014,45233.99218,49483.64369,35738.83055,3886.057621,2541.243136,196.3329875,496.514926,11220.06442,709.297772
World,2015,44015.53033,50485.32693,36596.65882,3903.281964,2575.257071,256.1909288,536.4109464,11111.11111,828.0351756
World,2016,43403.14283,51384.22021,37264.17119,4022.937769,2616.540507,333.0524925,561.6660641,11003.2158,959.5295061
