Entity,Year,Male Life Expectancy (2016 Projections),Female Life Expectancy (2016 Projections),Male Life Expectancy (2014 Projections),Female Life Expectancy (2014 Projections)
United Kingdom,1981,70.9,76.9,70.9,76.9
United Kingdom,1982,71.1,77,71.1,77
United Kingdom,1983,71.3,77.2,71.3,77.2
United Kingdom,1984,71.7,77.6,71.7,77.6
United Kingdom,1985,71.7,77.4,71.7,77.4
United Kingdom,1986,71.9,77.7,71.9,77.7
United Kingdom,1987,72.3,78,72.3,78
United Kingdom,1988,72.4,78.1,72.4,78.1
United Kingdom,1989,72.6,78.1,72.6,78.1
United Kingdom,1990,72.9,78.5,72.9,78.5
United Kingdom,1991,73.1,78.6,73.1,78.6
United Kingdom,1992,73.5,79,73.5,79
United Kingdom,1993,73.5,78.8,73.5,78.8
United Kingdom,1994,74.1,79.3,74.1,79.3
United Kingdom,1995,74,79.2,74,79.2
United Kingdom,1996,74.2,79.4,74.2,79.4
United Kingdom,1997,74.5,79.5,74.5,79.5
United Kingdom,1998,74.7,79.8,74.7,79.8
United Kingdom,1999,74.9,79.8,74.9,79.8
United Kingdom,2000,75.4,80.2,75.4,80.2
United Kingdom,2001,75.7,80.4,75.7,80.4
United Kingdom,2002,75.8,80.5,75.8,80.5
United Kingdom,2003,76.1,80.5,76.1,80.5
United Kingdom,2004,76.6,81,76.6,81
United Kingdom,2005,76.9,81.2,76.9,81.2
United Kingdom,2006,77.2,81.5,77.2,81.5
United Kingdom,2007,77.4,81.6,77.4,81.6
United Kingdom,2008,77.6,81.7,77.6,81.7
United Kingdom,2009,78.1,82.2,78.1,82.2
United Kingdom,2010,78.4,82.4,78.4,82.4
United Kingdom,2011,78.8,82.7,78.8,82.7
United Kingdom,2012,79,82.7,79,82.7
United Kingdom,2013,79,82.8,79,82.8
United Kingdom,2014,79.3,83,79.3,83
United Kingdom,2015,79.1,82.7,79.3,82.9
United Kingdom,2016,79.2,82.9,79.9,83.5
United Kingdom,2017,79.4,83,80.2,83.6
United Kingdom,2018,79.8,83.3,80.4,83.8
United Kingdom,2019,80,83.5,80.7,84
United Kingdom,2020,80.2,83.6,80.9,84.2
United Kingdom,2021,80.4,83.7,81.1,84.4
United Kingdom,2022,80.6,83.9,81.3,84.6
United Kingdom,2023,80.8,84,81.6,84.7
United Kingdom,2024,81,84.1,81.8,84.9
United Kingdom,2025,81.1,84.3,82,85.1
United Kingdom,2026,81.3,84.4,82.1,85.2
United Kingdom,2027,81.5,84.5,82.3,85.4
United Kingdom,2028,81.6,84.7,82.5,85.5
United Kingdom,2029,81.8,84.8,82.7,85.7
United Kingdom,2030,81.9,84.9,82.9,85.8
United Kingdom,2031,82.1,85,83,86
United Kingdom,2032,82.2,85.2,83.2,86.1
United Kingdom,2033,82.4,85.3,83.3,86.2
United Kingdom,2034,82.5,85.4,83.5,86.4
United Kingdom,2035,82.6,85.5,83.6,86.5
United Kingdom,2036,82.8,85.6,83.8,86.6
United Kingdom,2037,82.9,85.7,83.9,86.7
United Kingdom,2038,83,85.9,84,86.8
United Kingdom,2039,83.2,86,84.1,87
United Kingdom,2040,83.3,86.1,84.3,87.1
United Kingdom,2041,83.4,86.2,84.4,87.2
United Kingdom,2042,83.5,86.3,84.5,87.3
United Kingdom,2043,83.6,86.4,84.6,87.4
United Kingdom,2044,83.8,86.5,84.8,87.5
United Kingdom,2045,83.9,86.6,84.9,87.6
United Kingdom,2046,84,86.7,85,87.8
United Kingdom,2047,84.1,86.8,85.1,87.9
United Kingdom,2048,84.2,86.9,85.3,88
United Kingdom,2049,84.4,87.1,85.4,88.1
United Kingdom,2050,84.5,87.2,85.5,88.2
United Kingdom,2051,84.6,87.3,85.6,88.3
United Kingdom,2052,84.7,87.4,85.7,88.4
United Kingdom,2053,84.8,87.5,85.9,88.6
United Kingdom,2054,84.9,87.6,86,88.7
United Kingdom,2055,85.1,87.7,86.1,88.8
United Kingdom,2056,85.2,87.8,86.2,88.9
United Kingdom,2057,85.3,87.9,86.4,89
United Kingdom,2058,85.4,88,86.5,89.1
United Kingdom,2059,85.5,88.1,86.6,89.2
United Kingdom,2060,85.7,88.2,86.7,89.4
United Kingdom,2061,85.8,88.3,86.8,89.5
United Kingdom,2062,85.9,88.4,87,89.6
United Kingdom,2063,86,88.6,87.1,89.7
United Kingdom,2064,86.1,88.7,87.2,89.8
United Kingdom,2065,86.2,88.8,87.3,89.9
United Kingdom,2066,86.3,88.9,87.5,90
United Kingdom,2067,86.5,89,87.6,90.1
United Kingdom,2068,86.6,89.1,87.7,90.3
United Kingdom,2069,86.7,89.2,87.8,90.4
United Kingdom,2070,86.8,89.3,87.9,90.5
United Kingdom,2071,86.9,89.4,88.1,90.6
United Kingdom,2072,87,89.5,88.2,90.7
United Kingdom,2073,87.2,89.6,88.3,90.8
United Kingdom,2074,87.3,89.7,88.4,90.9
United Kingdom,2075,87.4,89.8,88.5,91
United Kingdom,2076,87.5,89.9,88.7,91.2
United Kingdom,2077,87.6,90,88.8,91.3
United Kingdom,2078,87.7,90.1,88.9,91.4
United Kingdom,2079,87.9,90.2,89,91.5
United Kingdom,2080,88,90.3,89.1,91.6
United Kingdom,2081,88.1,90.5,89.3,91.7
United Kingdom,2082,88.2,90.6,89.4,91.8
United Kingdom,2083,88.3,90.7,89.5,91.9
United Kingdom,2084,88.4,90.8,89.6,92.1
United Kingdom,2085,88.6,90.9,89.7,92.2
United Kingdom,2086,88.7,91,89.9,92.3
United Kingdom,2087,88.8,91.1,90,92.4
United Kingdom,2088,88.9,91.2,90.1,92.5
United Kingdom,2089,89,91.3,90.2,92.6
United Kingdom,2090,89.1,91.4,,
United Kingdom,2091,89.2,91.5,,
