Entity,Year,Total patents granted,Chemical,Computers & Communications,Medical,Electronics,Mechanical,Other
United States,1790,3,,,,,,
United States,1791,33,,,,,,
United States,1792,11,,,,,,
United States,1793,20,,,,,,
United States,1794,22,,,,,,
United States,1795,12,,,,,,
United States,1796,44,,,,,,
United States,1797,51,,,,,,
United States,1798,28,,,,,,
United States,1799,44,,,,,,
United States,1800,41,,,,,,
United States,1801,44,,,,,,
United States,1802,65,,,,,,
United States,1803,97,,,,,,
United States,1804,84,,,,,,
United States,1805,57,,,,,,
United States,1806,63,,,,,,
United States,1807,99,,,,,,
United States,1808,158,,,,,,
United States,1809,203,,,,,,
United States,1810,223,,,,,,
United States,1811,215,,,,,,
United States,1812,238,,,,,,
United States,1813,181,,,,,,
United States,1814,210,,,,,,
United States,1815,173,,,,,,
United States,1816,206,,,,,,
United States,1817,174,,,,,,
United States,1818,222,,,,,,
United States,1819,156,,,,,,
United States,1820,155,,,,,,
United States,1821,168,,,,,,
United States,1822,200,,,,,,
United States,1823,173,,,,,,
United States,1824,228,,,,,,
United States,1825,304,,,,,,
United States,1826,323,,,,,,
United States,1827,331,,,,,,
United States,1828,368,,,,,,
United States,1829,447,,,,,,
United States,1830,544,,,,,,
United States,1831,573,,,,,,
United States,1832,474,,,,,,
United States,1833,586,,,,,,
United States,1834,630,,,,,,
United States,1835,752,,,,,,
United States,1836,702,,,,,,
United States,1837,436,,,,,,
United States,1838,515,,,,,,
United States,1839,404,,,,,,
United States,1840,461,53,3,9,5,179,212
United States,1841,491,49,0,8,9,212,213
United States,1842,494,64,2,8,11,169,240
United States,1843,497,56,1,11,3,176,250
United States,1844,478,66,0,13,4,167,228
United States,1845,475,64,1,13,3,172,222
United States,1846,568,67,3,15,3,193,287
United States,1847,495,60,0,13,6,203,213
United States,1848,583,65,3,10,12,237,256
United States,1849,985,103,10,22,14,394,442
United States,1850,883,97,8,15,18,343,402
United States,1851,757,64,4,12,23,325,329
United States,1852,885,93,6,10,19,348,409
United States,1853,844,93,8,11,14,329,389
United States,1854,1755,188,9,20,30,743,765
United States,1855,1879,199,8,17,32,810,813
United States,1856,2304,246,14,24,40,947,1033
United States,1857,2674,288,14,28,42,1017,1285
United States,1858,3453,353,14,23,80,1268,1715
United States,1859,4159,437,19,43,78,1565,2017
United States,1860,4356,448,13,36,97,1541,2221
