Entity,Year,"Estimated average age at marriage, men (UN)","Estimated average age at marriage, women (UN)"
Afghanistan,1972,26,18.1
Afghanistan,2010,,21.5
Afghanistan,2015,24.700001,21.5
Albania,2000,28.5,23.9
Albania,2002,26.9,22.9
Albania,2005,,24.6
Albania,2008,28.799999,24.6
Albania,2017,30.799999,24.200001
Algeria,1977,25.299999,
Algeria,1987,27.700001,
Algeria,1992,,25.9
Algeria,2002,,29.5
Algeria,2006,,29.700001
Algeria,2008,32.900002,
Algeria,2012,,28.200001
American Samoa,1974,26.200001,23.299999
American Samoa,1990,28.299999,25.700001
Angola,2001,24.1,20.299999
Angola,2015,25.799999,21.5
Anguilla,2001,31.6,28.6
Antigua and Barbuda,1991,33.200001,33.200001
Antigua and Barbuda,2001,29.299999,25.700001
Argentina,1970,26.4,23.1
Argentina,1991,25.799999,23.299999
Argentina,2001,26.9,24.6
Argentina,2010,26.6,24.6
Armenia,2000,26.1,22.200001
Armenia,2005,27,23
Armenia,2010,27.799999,24.5
Armenia,2015,28.5,24.200001
Aruba,1981,27.4,25.5
Aruba,1991,28.799999,26.200001
Aruba,2000,29.9,26.799999
Aruba,2010,31.200001,28.5
Australia,1988,27.9,25.5
Australia,1989,28.1,25.799999
Australia,1990,28.4,26
Australia,1992,28.6,26.4
Australia,1993,28.9,26.700001
Australia,1994,29.200001,27
Australia,1997,30.200001,28
Australia,1999,30.700001,28.5
Australia,2006,31.799999,29.9
Austria,1970,26.4,22.299999
Austria,1972,26.1,21.9
Austria,1973,26.200001,22
Austria,1974,26.299999,22.1
Austria,1975,26.4,22.299999
Austria,1976,26.5,22.4
Austria,1977,26.700001,22.700001
Austria,1978,26.9,23
Austria,1979,27.1,23.299999
Austria,1980,27.299999,23.6
Austria,1981,27.4,23.799999
Austria,1982,27.6,24.1
Azerbaijan,2012,28.200001,24.299999
Azerbaijan,2013,28.200001,24.299999
Azerbaijan,2014,28.200001,24.299999
Azerbaijan,2015,28.1,24.299999
Azerbaijan,2016,28.1,24.200001
Azerbaijan,2017,28.1,24.200001
Azerbaijan,2018,28.1,24.200001
Bahamas,1970,26,22.4
Bahamas,1980,27.299999,24.799999
Bahamas,1990,29.1,27.200001
Bahamas,2000,29.9,27.4
Bahamas,2010,30.6,27.9
Bahrain,1991,28.4,25.6
Bahrain,2001,30,26.299999
Bahrain,2010,,26.9
Bangladesh,1974,24,
Bangladesh,1975,,16.700001
Bangladesh,1981,23.9,
Bangladesh,1991,24.9,
Bangladesh,1993,,18.299999
Bangladesh,1996,,18.6
Bangladesh,1999,,18.799999
Bangladesh,2001,25.299999,
Bangladesh,2004,,18.700001
Bangladesh,2006,,18.700001
Bangladesh,2007,,18.4
Bangladesh,2011,25.200001,18.6
Bangladesh,2012,,19.200001
Bangladesh,2014,,18.799999
Barbados,1970,31.700001,28.5
Barbados,1980,32.700001,30.4
Barbados,1990,34.299999,31.799999
Barbados,2010,34.5,31.9
Belarus,1979,24.6,21.299999
Belarus,1989,24.5,21.9
Belarus,1999,25.4,22.799999
Belarus,2009,26.9,24.6
Belgium,1991,27.5,25.1
Belgium,1999,31.200001,28.700001
Belgium,2000,30.700001,28.200001
Belgium,2004,32,29.5
Belgium,2006,32.200001,29.799999
Belgium,2007,32.599998,30.200001
Belgium,2009,33,30.700001
Belize,1970,26,22.6
Belize,1980,26.200001,23.9
Belize,1991,28.4,26.200001
Belize,2000,23.700001,21
Belize,2010,30.1,28.6
Benin,1996,,19.9
Benin,2001,26.200001,20.299999
Benin,2006,25.299999,20.5
Benin,2011,26.200001,21.299999
Benin,2014,25.799999,21.200001
Benin,2017,25.700001,20.700001
Bermuda,1980,27.9,25.6
Bermuda,1991,30.5,28.9
Bermuda,2000,31.299999,29.799999
Bermuda,2010,31.5,30.6
Bermuda,2016,32.5,31.9
Bhutan,2005,25.4,21.799999
Bhutan,2017,26.4,23.799999
Bolivia,1988,,22.200001
Bolivia,1989,,22.200001
Bolivia,1993,,22
Bolivia,1998,25.4,22.799999
Bolivia,2000,24.5,22.4
Bolivia,2003,24.5,22.6
Bolivia,2008,25.299999,22.700001
Bolivia,2016,,24
Bosnia and Herzegovina,2000,28,23.6
Bosnia and Herzegovina,2006,,24.5
Bosnia and Herzegovina,2011,29.4,25.700001
Botswana,1971,29.5,24.9
