Entity,Year,Top 10% share of net personal wealth (WID 2018),Top 1% share of net personal wealth (WID 2018)
China,1978,0.408106297,0.1579725
China,1979,0.408106327,0.157972515
China,1980,0.408106297,0.1579725
China,1981,0.408106327,0.1579725
China,1982,0.408106297,0.1579725
China,1983,0.408106297,0.157972515
China,1984,0.408106297,0.1579725
China,1985,0.408106297,0.1579725
China,1986,0.408106297,0.1579725
China,1987,0.408106268,0.1579725
China,1988,0.408106327,0.157972515
China,1989,0.408106327,0.1579725
China,1990,0.408106297,0.1579725
China,1991,0.408106297,0.1579725
China,1992,0.408106297,0.1579725
China,1993,0.408106297,0.1579725
China,1994,0.408106297,0.157972515
China,1995,0.408106297,0.1579725
China,1996,0.430038482,0.170144156
China,1997,0.446414232,0.17923221
China,1998,0.459107846,0.186276749
China,1999,0.469235599,0.191897363
China,2000,0.477504164,0.19648613
China,2001,0.484382361,0.200303301
China,2002,0.490193754,0.203528434
China,2003,0.490296781,0.205001935
China,2004,0.506144881,0.224525511
China,2005,0.522943318,0.237034768
China,2006,0.539353013,0.262048215
China,2007,0.558197796,0.284824282
China,2008,0.569170296,0.292496175
China,2009,0.582027316,0.311558098
China,2010,0.627582431,0.30450359
China,2011,0.667127192,0.279194802
China,2012,0.665248036,0.272453427
China,2013,0.66562438,0.272461355
China,2014,0.667395592,0.278310061
China,2015,0.674085915,0.296289712
France,1807,0.79005909,0.44135651
France,1817,0.848040223,0.484394699
France,1827,0.824612677,0.46669811
France,1837,0.799206972,0.457861811
France,1847,0.867292285,0.511815429
France,1857,0.830213726,0.515544117
France,1867,0.809382677,0.492745489
France,1877,0.825851798,0.45367229
France,1887,0.832777917,0.48943001
France,1902,0.840516985,0.523612082
France,1903,0.850632429,0.543647528
France,1904,0.858655512,0.563263714
France,1905,0.860133588,0.569032073
France,1907,0.849824429,0.544162273
France,1909,0.851047874,0.553711116
France,1910,0.847267687,0.540226102
France,1911,0.854359984,0.554071426
France,1912,0.852452815,0.552998602
France,1913,0.849030197,0.54561007
France,1914,0.849073589,0.545639217
France,1915,0.843428671,0.540020824
France,1916,0.843036711,0.537610173
France,1917,0.842251778,0.534865916
France,1918,0.838413417,0.528084874
France,1919,0.833341181,0.520013392
France,1920,0.822932124,0.504585087
France,1921,0.815695882,0.49396041
France,1922,0.809571683,0.484598994
France,1923,0.804844081,0.477312386
France,1924,0.803360105,0.47426939
France,1925,0.786831617,0.446986795
France,1926,0.787088811,0.453574389
France,1927,0.798048973,0.477407813
France,1929,0.802656829,0.490732104
France,1930,0.802255809,0.49606511
France,1931,0.78757292,0.463319689
France,1932,0.779655397,0.447955996
France,1933,0.781155288,0.445934504
France,1935,0.772239327,0.4374533
France,1936,0.76686728,0.432666898
France,1937,0.763812602,0.42636779
France,1938,0.747333884,0.396942288
France,1939,0.755727708,0.399934888
France,1940,0.724079907,0.347851396
France,1941,0.732352972,0.348426312
France,1942,0.743438721,0.362469792
France,1943,0.763922215,0.380550712
France,1944,0.758428276,0.378379405
France,1945,0.737455428,0.351722091
France,1946,0.697503924,0.307016999
France,1947,0.688195825,0.302390814
France,1948,0.699143589,0.305667698
France,1949,0.715197384,0.33264631
France,1950,0.722396672,0.333773404
France,1951,0.699780822,0.327243805
France,1952,0.723260522,0.320551008
France,1953,0.728442371,0.31898129
France,1954,0.708542287,0.304307401
France,1955,0.70573312,0.310825586
France,1956,0.699508727,0.313312709
France,1957,0.706242323,0.332434386
France,1958,0.691662192,0.311223298
France,1959,0.707206011,0.325632513
France,1960,0.710971415,0.314349294
France,1962,0.705993593,0.320073485
France,1964,0.728942812,0.325498402
France,1965,0.715770185,0.318616211
France,1966,0.694287777,0.304876089
France,1967,0.6728549,0.292049587
France,1968,0.624623895,0.257107288
France,1969,0.587594509,0.233322993
France,1970,0.581649125,0.203266203
France,1971,0.572951913,0.198403001
France,1972,0.571044207,0.197850004
France,1973,0.568736315,0.197785899
France,1974,0.557384193,0.191330597
France,1975,0.549289405,0.186811507
France,1976,0.541283608,0.183030397
France,1977,0.532414675,0.178670093
France,1978,0.524655819,0.176020101
France,1979,0.519125819,0.174355403
France,1980,0.516457796,0.172069699
France,1981,0.509090483,0.1667469
France,1982,0.502453923,0.161787704
