Entity,Year,Change in under-5 population (2015 to 2050; 2050 to 2100)
Afghanistan,2050,-1088
Afghanistan,2100,-1604124
Africa,2050,97476763
Africa,2100,35733980
Albania,2050,-55772
Albania,2100,-48028
Algeria,2050,-733774
Algeria,2100,-881625
Angola,2050,5169042
Angola,2100,4422150
Antigua and Barbuda,2050,-790
Antigua and Barbuda,2100,-1287
Argentina,2050,-272715
Argentina,2100,-609708
Armenia,2050,-76697
Armenia,2100,-47595
Aruba,2050,-233
Aruba,2100,-650
Asia,2050,-58419280
Asia,2100,-74110157
Australia,2050,348819
Australia,2100,185823
Australia/New Zealand,2050,350173
Australia/New Zealand,2100,166505
Austria,2050,-8674
Austria,2100,-21739
Azerbaijan,2050,-248479
Azerbaijan,2100,-144865
Bahamas,2050,-2616
Bahamas,2100,-2988
Bahrain,2050,-5830
Bahrain,2100,-9269
Bangladesh,2050,-4264558
Bangladesh,2100,-3343840
Barbados,2050,-2091
Barbados,2100,-2279
Belarus,2050,-90029
Belarus,2100,-92650
Belgium,2050,20621
Belgium,2100,-14885
Belize,2050,1905
Belize,2100,-5701
Benin,2050,1140969
Benin,2100,622812
Bhutan,2050,-17627
Bhutan,2100,-13657
Bolivia,2050,-14647
Bolivia,2100,-261985
Bosnia and Herzegovina,2050,-34326
Bosnia and Herzegovina,2100,-28593
Botswana,2050,-15678
Botswana,2100,-43252
Brazil,2050,-3848353
Brazil,2100,-2668819
Brunei,2050,-5611
Brunei,2100,-5592
Bulgaria,2050,-78498
Bulgaria,2100,-74933
Burkina Faso,2050,2128187
Burkina Faso,2100,762793
Burundi,2050,1535491
Burundi,2100,1042040
Cambodia,2050,-208847
Cambodia,2100,-421153
Cameroon,2050,1970060
Cameroon,2100,903425
Canada,2050,288673
Canada,2100,241831
Cape Verde,2050,-9792
Cape Verde,2100,-11494
Caribbean,2050,-782463
Caribbean,2100,-914712
Central African Republic,2050,230761
Central African Republic,2100,-59094
Central America,2050,-3112861
Central America,2100,-3317900
Central Asia,2050,-924816
Central Asia,2100,-1601041
Chad,2050,1624238
Chad,2100,414369
Channel Islands,2050,158
Channel Islands,2100,-72
Chile,2050,-179439
Chile,2100,-172011
China,2050,-23465536
China,2100,-16386829
Colombia,2050,-967365
Colombia,2100,-730672
Comoros,2050,35232
Comoros,2100,-6533
Congo,2050,564939
Congo,2100,449831
Costa Rica,2050,-72141
Costa Rica,2100,-57914
Cote d'Ivoire,2050,2783601
Cote d'Ivoire,2100,2314694
Croatia,2050,-56226
Croatia,2100,-37380
Cuba,2050,-145482
Cuba,2100,-123958
Curacao,2050,-66
Curacao,2100,-857
Cyprus,2050,-4964
Cyprus,2100,-2312
Czech Republic,2050,-54705
Czech Republic,2100,-69887
Democratic Republic of Congo,2050,10636845
Democratic Republic of Congo,2100,1188213
Denmark,2050,37153
Denmark,2100,12128
Djibouti,2050,-12413
Djibouti,2100,-19558
Dominican Republic,2050,-232590
Dominican Republic,2100,-273101
Eastern Africa,2050,34349525
Eastern Africa,2100,11507834
Eastern Asia,2050,-25115949
Eastern Asia,2100,-17728884
Eastern Europe,2050,-3206708
Eastern Europe,2100,-2784453
Ecuador,2050,-148600
Ecuador,2100,-329551
Egypt,2050,619289
Egypt,2100,-1902299
El Salvador,2050,-180802
El Salvador,2100,-169314
Equatorial Guinea,2050,114450
Equatorial Guinea,2100,2769
Eritrea,2050,221812
Eritrea,2100,-65284
Estonia,2050,-14020
Estonia,2100,-15638
Ethiopia,2050,1899113
Ethiopia,2100,-3532150
Europe,2050,-4197679
Europe,2100,-4213746
Fiji,2050,-20348
Fiji,2100,-24977
Finland,2050,7796
Finland,2100,-11483
France,2050,-14028
France,2100,-65297
French Guiana,2050,13878
French Guiana,2100,4899
French Polynesia,2050,-4562
French Polynesia,2100,-4347
Gabon,2050,57613
Gabon,2100,-27956
Gambia,2050,172479
Gambia,2100,-38984
Georgia,2050,-84044
Georgia,2100,-67845
Germany,2050,-119220
Germany,2100,-230193
Ghana,2050,1209641
Ghana,2100,-84914
Greece,2050,-117109
Greece,2100,-66925
Grenada,2050,-3725
Grenada,2100,-3289
Guadeloupe (including Saint-Barthélemy and Saint-Martin),2050,-6477
Guadeloupe (including Saint-Barthélemy and Saint-Martin),2100,-4598
Guam,2050,-2122
Guam,2100,-3319
Guatemala,2050,1282
Guatemala,2100,-430054
Guinea,2050,1103784
Guinea,2100,289115
Guinea-Bissau,2050,114132
Guinea-Bissau,2100,14959
Guyana,2050,-20206
Guyana,2100,-25424
Haiti,2050,-202818
Haiti,2100,-338069
High-income countries,2050,-201464
High-income countries,2100,-1899482
Honduras,2050,-125936
Honduras,2100,-204391
Hong Kong,2050,80968
Hong Kong,2100,41725
Hungary,2050,-82622
Hungary,2100,-71105
Iceland,2050,-2151
Iceland,2100,-2979
India,2050,-20036513
India,2100,-27812961
Indonesia,2050,-3759535
Indonesia,2100,-4727820
Iran,2050,-2307004
Iran,2100,-1468001
Iraq,2050,3713145
Iraq,2100,2151516
Ireland,2050,-15899
Ireland,2100,-15387
Israel,2050,133281
Israel,2100,-56738
Italy,2050,-211672
Italy,2100,-187859
Jamaica,2050,-72612
Jamaica,2100,-82040
Japan,2050,-938199
Japan,2100,-770487
Jordan,2050,-82498
Jordan,2100,-234228
Kazakhstan,2050,-257045
Kazakhstan,2100,-358047
Kenya,2050,2297004
Kenya,2100,-893846
Kiribati,2050,2854
Kiribati,2100,-1530
Kuwait,2050,15653
Kuwait,2100,-11044
Kyrgyzstan,2050,-98682
Kyrgyzstan,2100,-173293
Laos,2050,-180808
Laos,2100,-205758
Latin America and the Caribbean,2050,-10379261
Latin America and the Caribbean,2100,-10491347
Latvia,2050,-24425
Latvia,2100,-21612
Least developed countries,2050,63036781
Least developed countries,2100,20477781
Lebanon,2050,-216483
Lebanon,2100,-55443
Lesotho,2050,2524
Lesotho,2100,-59006
Less developed regions,2050,29881012
Less developed regions,2100,-48241555
"Less developed regions, excluding China",2050,53426489
"Less developed regions, excluding China",2100,-31829810
"Less developed regions, excluding least developed countries",2050,-33155769
"Less developed regions, excluding least developed countries",2100,-68719336
Liberia,2050,406543
Liberia,2100,126866
Libya,2050,-141688
Libya,2100,-125290
Lithuania,2050,-26884
Lithuania,2100,-30454
Low-income countries,2050,57303010
Low-income countries,2100,17188765
Lower-middle-income countries,2050,9344002
Lower-middle-income countries,2100,-35185917
Luxembourg,2050,11559
Luxembourg,2100,7564
Macao,2050,11004
Macao,2100,8966
Macedonia,2050,-25170
Macedonia,2100,-23254
Madagascar,2050,2300609
Madagascar,2100,840982
Malawi,2050,1810146
Malawi,2100,312138
Malaysia,2050,-214294
Malaysia,2100,-373799
Maldives,2050,-9720
Maldives,2100,-8190
Mali,2050,2368720
Mali,2100,360743
Malta,2050,-2774
Malta,2100,-2593
Martinique,2050,-3130
Martinique,2100,-3877
Mauritania,2050,363700
Mauritania,2100,191326
Mauritius,2050,-15323
Mauritius,2100,-10208
Mayotte,2050,9112
Mayotte,2100,-5811
Melanesia,2050,277245
Melanesia,2100,-116514
Mexico,2050,-2562898
Mexico,2100,-2252573
Micronesia (country),2050,-1772
Micronesia (country),2100,-3844
Micronesia (region),2050,-3077
Micronesia (region),2100,-10876
Middle Africa,2050,20379062
Middle Africa,2100,7295507
Middle-income countries,2050,-29097204
Middle-income countries,2100,-66729560
Moldova,2050,-86719
Moldova,2100,-48762
Mongolia,2050,-44577
Mongolia,2100,-62843
Montenegro,2050,-9699
Montenegro,2100,-7444
More developed regions,2050,-1867611
More developed regions,2100,-3220074
Morocco,2050,-663839
Morocco,2100,-789980
Mozambique,2050,3552407
Mozambique,2100,1615401
Myanmar,2050,-734955
Myanmar,2100,-848238
Namibia,2050,56039
Namibia,2100,-59559
Nepal,2050,-808427
Nepal,2100,-765010
Netherlands,2050,-37029
Netherlands,2100,-68151
New Caledonia,2050,1024
New Caledonia,2100,-553
New Zealand,2050,1354
New Zealand,2100,-19318
Nicaragua,2050,-165043
Nicaragua,2100,-136793
Niger,2050,6963943
Niger,2100,6174598
Nigeria,2050,20496048
Nigeria,2100,9331428
Non-Africa,2050,-69463362
Non-Africa,2100,-87195609
North Korea,2050,-253940
North Korea,2100,-317054
Northern Africa,2050,1844186
Northern Africa,2100,-2550422
Northern America,2050,2918094
Northern America,2100,1597654
Northern Europe,2050,192984
Northern Europe,2100,-185816
Norway,2050,63500
Norway,2100,31447
Oceania,2050,614764
Oceania,2100,21987
Oman,2050,-44603
Oman,2100,-66292
Pakistan,2050,737611
Pakistan,2100,-6011265
Palestine,2050,252950
Palestine,2100,-58549
Panama,2050,-9228
Panama,2100,-61160
Papua New Guinea,2050,273139
Papua New Guinea,2100,-75862
Paraguay,2050,-80090
Paraguay,2100,-170974
Peru,2050,-505786
Peru,2100,-645950
Philippines,2050,548984
Philippines,2100,-2513743
Poland,2050,-612807
Poland,2100,-382797
Polynesia,2050,-9577
Polynesia,2100,-17128
Portugal,2050,-110270
Portugal,2100,-52554
Puerto Rico,2050,-70910
Puerto Rico,2100,-50162
Qatar,2050,16314
Qatar,2100,9129
Reunion,2050,-12974
Reunion,2100,-13737
Romania,2050,-221975
Romania,2100,-187747
Russia,2050,-1375269
Russia,2100,-1322479
Rwanda,2050,222802
Rwanda,2100,-477594
Saint Lucia,2050,-3330
Saint Lucia,2100,-2141
Saint Vincent and the Grenadines,2050,-2826
Saint Vincent and the Grenadines,2100,-2382
Samoa,2050,-2349
Samoa,2100,-6800
Sao Tome and Principe,2050,11114
Sao Tome and Principe,2100,1800
Saudi Arabia,2050,-400119
Saudi Arabia,2100,-548797
Senegal,2050,1462351
Senegal,2100,778526
Serbia (including Kosovo),2050,-112132
Serbia (including Kosovo),2100,-102876
Seychelles,2050,-2107
Seychelles,2100,-1804
Sierra Leone,2050,154884
Sierra Leone,2100,-246565
Singapore,2050,-38660
Singapore,2100,-46777
Slovakia,2050,-56210
Slovakia,2100,-52289
Slovenia,2050,-15249
Slovenia,2100,-15569
Solomon Islands,2050,15002
Solomon Islands,2100,-11521
Somalia,2050,2415184
Somalia,2100,1613685
South Africa,2050,-555741
South Africa,2100,-1046582
South America,2050,-6483937
South America,2100,-6258735
South Korea,2050,-333756
South Korea,2100,-166755
South Sudan,2050,968651
South Sudan,2100,134517
South-Central Asia,2050,-28145652
South-Central Asia,2100,-43078345
South-Eastern Asia,2050,-6833621
South-Eastern Asia,2100,-11047967
Southern Africa,2050,-513196
Southern Africa,2100,-1250557
Southern Asia,2050,-27220836
Southern Asia,2100,-41477304
Southern Europe,2050,-1079793
Southern Europe,2100,-855507
Spain,2050,-329021
Spain,2100,-282114
Sri Lanka,2050,-513510
Sri Lanka,2100,-450256
Sub-Saharan Africa,2050,95632577
Sub-Saharan Africa,2100,38284402
Sudan,2050,2939639
Sudan,2100,1348920
Suriname,2050,-9823
Suriname,2100,-11735
Swaziland,2050,-340
Swaziland,2100,-42158
Sweden,2050,77972
Sweden,2100,27922
Switzerland,2050,41903
Switzerland,2100,4162
Syria,2050,149908
Syria,2100,-560933
Taiwan,2050,-171913
Taiwan,2100,-75607
Tajikistan,2050,137485
Tajikistan,2100,-237433
Tanzania,2050,8232886
Tanzania,2100,6687928
Thailand,2050,-1141455
Thailand,2100,-594821
Timor,2050,69453
Timor,2100,-31382
Togo,2050,558015
Togo,2100,145742
Tonga,2050,-502
Tonga,2100,-2855
Trinidad and Tobago,2050,-28587
Trinidad and Tobago,2100,-18621
Tunisia,2050,-185083
Tunisia,2100,-202698
Turkey,2050,-1538770
Turkey,2100,-1356378
Turkmenistan,2050,-70391
Turkmenistan,2100,-145382
Uganda,2050,6004737
Uganda,2100,2006491
Ukraine,2050,-547874
Ukraine,2100,-481804
United Arab Emirates,2050,58480
United Arab Emirates,2100,104066
United Kingdom,2050,89214
United Kingdom,2100,-159407
United States,2050,2630875
United States,2100,1357116
United States Virgin Islands,2050,-2590
United States Virgin Islands,2100,-2304
Upper-middle-income countries,2050,-38441206
Upper-middle-income countries,2100,-31543643
Uruguay,2050,-42362
Uruguay,2100,-48064
Uzbekistan,2050,-636183
Uzbekistan,2100,-686886
Vanuatu,2050,8428
Vanuatu,2100,-3601
Venezuela,2050,-408411
Venezuela,2100,-588724
Vietnam,2050,-1167893
Vietnam,2100,-1278884
Western Africa,2050,41417186
Western Africa,2100,20731618
Western Asia,2050,1675942
Western Asia,2100,-2254961
Western Europe,2050,-104162
