Entity,Year,Legality status of abortion
Afghanistan,2017,Highly restricted
Albania,2017,Legal (no restrictions)
Algeria,2017,Highly restricted
Andorra,2017,Banned (no exception)
Angola,2017,Banned (no exception)
Antigua and Barbuda,2017,Highly restricted
Argentina,2017,Highly restricted
Armenia,2017,Legal (no restrictions)
Australia,2017,Legal (no restrictions)
Austria,2017,Legal (no restrictions)
Azerbaijan,2017,Legal (no restrictions)
Bahamas,2017,Highly restricted
Bahrain,2017,Legal (no restrictions)
Bangladesh,2017,Highly restricted
Barbados,2017,Legal (some restrictions)
Belarus,2017,Legal (no restrictions)
Belgium,2017,Legal (no restrictions)
Belize,2017,Legal (some restrictions)
Benin,2017,Highly restricted
Bhutan,2017,Highly restricted
Bolivia,2017,Highly restricted
Bosnia and Herzegovina,2017,Legal (no restrictions)
Botswana,2017,Highly restricted
Brazil,2017,Highly restricted
Brunei,2017,Highly restricted
Bulgaria,2017,Legal (no restrictions)
Burkina Faso,2017,Highly restricted
Burundi,2017,Highly restricted
Cambodia,2017,Legal (no restrictions)
Cameroon,2017,Highly restricted
Canada,2017,Legal (no restrictions)
Cape Verde,2017,Legal (no restrictions)
Central African Republic,2017,Highly restricted
Chad,2017,Highly restricted
Chile,2017,Highly restricted
China,2017,Legal (no restrictions)
Colombia,2017,Highly restricted
Comoros,2017,Highly restricted
Congo,2017,Banned (no exception)
Costa Rica,2017,Highly restricted
Cote d'Ivoire,2017,Highly restricted
Croatia,2017,Legal (no restrictions)
Cuba,2017,Legal (no restrictions)
Cyprus,2017,Legal (some restrictions)
Czech Republic,2017,Legal (no restrictions)
Democratic Republic of Congo,2017,Banned (no exception)
Denmark,2017,Legal (no restrictions)
Djibouti,2017,Highly restricted
Dominica,2017,Highly restricted
Dominican Republic,2017,Banned (no exception)
Ecuador,2017,Highly restricted
Egypt,2017,Banned (no exception)
El Salvador,2017,Banned (no exception)
Equatorial Guinea,2017,Highly restricted
Eritrea,2017,Highly restricted
Estonia,2017,Legal (no restrictions)
Ethiopia,2017,Highly restricted
Fiji,2017,Legal (some restrictions)
Finland,2017,Legal (some restrictions)
France,2017,Legal (no restrictions)
Gabon,2017,Banned (no exception)
Gambia,2017,Highly restricted
Georgia,2017,Legal (no restrictions)
Germany,2017,Legal (no restrictions)
Ghana,2017,Highly restricted
Greece,2017,Legal (no restrictions)
Grenada,2017,Highly restricted
Guatemala,2017,Highly restricted
Guinea,2017,Highly restricted
Guinea-Bissau,2017,Banned (no exception)
Guyana,2017,Legal (no restrictions)
Haiti,2017,Banned (no exception)
Honduras,2017,Banned (no exception)
Hong Kong,2017,Legal (some restrictions)
Hungary,2017,Legal (no restrictions)
Iceland,2017,Legal (some restrictions)
India,2017,Legal (some restrictions)
Indonesia,2017,Highly restricted
Iran,2017,Highly restricted
Iraq,2017,Banned (no exception)
Ireland,2017,Highly restricted
Israel,2017,Highly restricted
Italy,2017,Legal (no restrictions)
Jamaica,2017,Highly restricted
Japan,2017,Legal (some restrictions)
Jordan,2017,Highly restricted
Kazakhstan,2017,Legal (no restrictions)
Kenya,2017,Highly restricted
Kiribati,2017,Highly restricted
Kosovo,2017,Legal (no restrictions)
Kuwait,2017,Highly restricted
Kyrgyzstan,2017,Legal (no restrictions)
Laos,2017,Banned (no exception)
Latvia,2017,Legal (no restrictions)
Lebanon,2017,Highly restricted
Lesotho,2017,Highly restricted
Liberia,2017,Highly restricted
Libya,2017,Highly restricted
Liechtenstein,2017,Highly restricted
Lithuania,2017,Legal (no restrictions)
Luxembourg,2017,Legal (no restrictions)
Macedonia,2017,Legal (no restrictions)
Madagascar,2017,Banned (no exception)
Malawi,2017,Highly restricted
Malaysia,2017,Highly restricted
Maldives,2017,Highly restricted
Mali,2017,Highly restricted
Malta,2017,Banned (no exception)
Marshall Islands,2017,Banned (no exception)
Mauritania,2017,Banned (no exception)
Mauritius,2017,Highly restricted
Mexico,2017,Highly restricted
Micronesia,2017,Banned (no exception)
Moldova,2017,Legal (no restrictions)
Monaco,2017,Highly restricted
Mongolia,2017,Legal (no restrictions)
Montenegro,2017,Legal (no restrictions)
Morocco,2017,Highly restricted
Mozambique,2017,Highly restricted
Myanmar,2017,Highly restricted
Namibia,2017,Highly restricted
Nauru,2017,Highly restricted
Nepal,2017,Legal (no restrictions)
Netherlands,2017,Legal (no restrictions)
