Entity,Year,"Air pollution death rates (from particulate matter) per 100,000- IHME"
Afghanistan,1990,131.6609676
Afghanistan,1995,128.0569239
Afghanistan,2000,126.28556
Afghanistan,2005,108.3418378
Afghanistan,2010,98.73794625
Afghanistan,2015,90.35070543
Albania,1990,36.1022976
Albania,1995,33.57876558
Albania,2000,32.64762927
Albania,2005,31.53139842
Albania,2010,42.26002493
Albania,2015,51.26087926
Algeria,1990,26.06654307
Algeria,1995,24.11941096
Algeria,2000,24.20353121
Algeria,2005,23.82267267
Algeria,2010,24.26394349
Algeria,2015,30.40154406
American Samoa,1990,5.092057472
American Samoa,1995,4.699994315
American Samoa,2000,4.581082248
American Samoa,2005,4.376378638
American Samoa,2010,1.811171569
American Samoa,2015,2.574781138
Andorra,1990,27.25203231
Andorra,1995,26.06798953
Andorra,2000,23.90281588
Andorra,2005,23.82009261
Andorra,2010,24.7983
Andorra,2015,27.93571039
Angola,1990,76.7391175
Angola,1995,67.52369227
Angola,2000,63.83419386
Angola,2005,49.92809263
Angola,2010,42.8120431
Angola,2015,40.55616155
Antigua and Barbuda,1990,32.57092321
Antigua and Barbuda,1995,32.8725786
Antigua and Barbuda,2000,28.53163169
Antigua and Barbuda,2005,26.98552853
Antigua and Barbuda,2010,22.11749234
Antigua and Barbuda,2015,22.73648861
Argentina,1990,41.31041351
Argentina,1995,39.53293199
Argentina,2000,40.42809596
Argentina,2005,39.3301656
Argentina,2010,39.26261852
Argentina,2015,38.17133838
Armenia,1990,54.31915633
Armenia,1995,62.85278359
Armenia,2000,65.91301644
Armenia,2005,74.55042796
Armenia,2010,76.25280414
Armenia,2015,76.13319321
Australia,1990,23.78945937
Australia,1995,22.05950295
Australia,2000,19.93754268
Australia,2005,17.10158394
Australia,2010,13.47583166
Australia,2015,13.7936906
Austria,1990,63.8759986
Austria,1995,57.43001238
Austria,2000,52.25526402
Austria,2005,44.91524887
Austria,2010,42.3159363
Austria,2015,45.84997951
Azerbaijan,1990,77.69557415
Azerbaijan,1995,71.12283492
Azerbaijan,2000,65.14127599
Azerbaijan,2005,59.24908328
Azerbaijan,2010,64.07399778
Azerbaijan,2015,62.1966261
Bahamas,1990,27.71571744
Bahamas,1995,25.48239718
Bahamas,2000,26.38946171
Bahamas,2005,25.51913785
Bahamas,2010,20.76343808
Bahamas,2015,25.65141476
Bahrain,1990,35.9975762
Bahrain,1995,31.84260859
Bahrain,2000,28.62894326
Bahrain,2005,20.34814679
Bahrain,2010,16.26784506
Bahrain,2015,16.20586991
Bangladesh,1990,76.59348194
Bangladesh,1995,67.76701193
Bangladesh,2000,65.21344185
Bangladesh,2005,70.7167259
Bangladesh,2010,72.70573988
Bangladesh,2015,76.04775019
Barbados,1990,41.50738823
Barbados,1995,44.39352779
Barbados,2000,41.39285011
Barbados,2005,35.9413476
Barbados,2010,34.53740501
Barbados,2015,37.76682133
Belarus,1990,115.3182937
Belarus,1995,121.7873883
Belarus,2000,121.7640121
Belarus,2005,121.6270495
Belarus,2010,120.7845053
Belarus,2015,126.5670639
Belgium,1990,68.46844917
Belgium,1995,62.15996691
Belgium,2000,58.75989446
Belgium,2005,52.15898273
Belgium,2010,48.71803394
Belgium,2015,49.25546818
Belize,1990,31.98179766
Belize,1995,35.80782213
Belize,2000,32.67395368
Belize,2005,23.22001819
Belize,2010,21.25893225
Belize,2015,23.73965108
Benin,1990,82.06192288
Benin,1995,74.99830099
Benin,2000,67.47723091
