Entity,Year,Cropland (HYDE (2017)),Grazing (HYDE (2017)),Total Irrigated Area (HYDE (2017)),Irrigated Non-rice Crops (HYDE (2017)),Irrigated Rice (HYDE (2017)),Pastureland (HYDE (2017)),Rangeland (HYDE (2017)),Total Rainfed Area (HYDE (2017)),Rainfed Non-rice Crops (HYDE (2017)),Total Rice Area (HYDE (2017)),Built-up Area (HYDE (2017)),Total population (HYDE (2017)),Urban population (HYDE (2017)),Rural Population (HYDE (2017)),Agricultural area (crops & grazing) (HYDE (2017)),Cropland per capita (HYDE (2017)),Grazing land per capita (HYDE (2017)),Agricultural land per capita (HYDE (2017))
Africa,-10000,0,0,0,0,0,0,0,0,0,0,1,227642.338,46.38,227595.958,0,0,0,0
Africa,-9000,0,0,0,0,0,0,0,0,0,0,2,323065.0785,82.97,322982.1285,0,0,0,0
Africa,-8000,0,0,0,0,0,0,0,0,0,0,4,463005.5502,149.67,462855.9502,0,0,0,0
Africa,-7000,7711.773,0,0,0,0,0,0,7711.773,7711.773,0,7,670056.2834,274.14,669782.1834,7711.773,0.011509142,0,0.011509142
Africa,-6000,164918.4,0,34566.4,34566.4,0,0,0,130351.8,130351.8,0,14,979154.557,520.1,978634.357,164918.4,0.168429385,0,0.168429385
Africa,-5000,839165.19,5845343.4,155117.3,155117.3,0,253.4347892,5845090.6,684047.89,684047.89,0,30,1444562.085,1070.85,1443491.185,6684508.59,0.580913205,4.046446643,4.627359848
Africa,-4000,4396548.49,11206709.32,700000,700000,0,1109.07689,11205600.82,3696550.49,3696550.49,0,107,2251193.86,3596.79,2247596.86,15603257.81,1.952985288,4.978118288,6.931103577
Africa,-3000,6526042.73,19398754.11,799999.9,799999.9,0,9864.77686,19388892.71,5726040.73,5726040.73,0,361,4007633.25,13363.86,3994269.25,25924796.84,1.62840318,4.840451432,6.468854613
Africa,-2000,6605706.6,33224739.58,849999.4,844579.4,5420.024,55945.98196,33168793.58,5755700.6,5755405.1,5715.5209,621,6064707.34,22765.1,6041944.34,39830446.18,1.089204512,5.478374754,6.567579266
Africa,-1000,8585603.8,58420146.87,900000.2,889160.2,10840.05,159522.8177,58260747.77,7685602.8,7685154.7,11287.71841,977,8992511.22,34995.35,8957515.22,67005750.67,0.954750413,6.496533108,7.451283521
Africa,0,11746738.4,90431003.32,1086590.05,1054069.05,32520.15,319935.556,90110744.32,10660124.4,10659483.3,33160.31932,2033,14807859.26,74075.43,14733783.26,102177741.7,0.793277286,6.106959941,6.900237227
Africa,100,12469700.6,96468641.28,1148158.04,1113187.04,34971.12,365219.929,96103426.28,11321536.6,11320664.7,35843.76785,2409,16184900.1,87291.01,16097610.1,108938341.9,0.770452738,5.960410054,6.730862792
Africa,200,13286179.3,102255677.7,1211438.65,1174021.65,37417.34,429461.638,101826182.7,12074752.3,12073518.1,38651.8012,2820,17753627.8,101683.43,17651946.7,115541857,0.748364191,5.759706064,6.508070254
Africa,300,13610254.9,108043701.5,1268411.42,1233421.42,34989.89,557901.453,107485822.5,12341831.9,12340073,36748.8902,2865,18711742.8,102896.54,18608849.7,121653956.4,0.727364364,5.774112152,6.501476516
Africa,400,14120194.9,114815292.1,1325446.92,1292877.92,32569.39,746962.5,114068376.1,12794778.9,12792147.4,35199.52789,2893,19971661.1,103385.75,19868233.4,128935487,0.707011541,5.748910493,6.455922035
Africa,500,14855204.4,123255320.9,1385944.924,1357334.549,28610.42451,1090658.289,122164964.9,13469268.4,13465171,32707.43505,2808,21484472.4,99022.11,21385457.4,138110525.3,0.691439107,5.736948929,6.428388036
Africa,600,15891169.8,133191039.4,1418949.475,1394338.016,24612.06922,1860577.695,131330475.4,14472224.8,14465477.9,31359.96,2704,23484767.7,93651.23,23391116.3,149082209.2,0.67665859,5.671379898,6.348038488
Africa,700,17737918.9,145041774,1506725.076,1478761.763,27964.1829,3217961.99,141823807,16231194.9,16219651.1,39503.624,3167,27062785.8,110470.95,26952320.6,162779692.9,0.655435809,5.359454679,6.014890487
Africa,800,20184093,159441590.7,1571946.873,1540578.745,31368.2072,5966293.13,153478136.7,18612149,18591699,51818.599,3860,31604462.9,133262.49,31471203.5,179625683.7,0.638646924,5.044907461,5.683554384
Africa,900,22340921,171199329.8,1636604.295,1600114.903,36488.9716,7902111.21,163297493.8,20704333,20669377,71443.855,4714,35595881.2,162919.07,35432962.9,193540250.8,0.627626575,4.809526385,5.43715296
Africa,1000,24504007,182478247.2,1703482.664,1661688.376,41794.61811,10020438.62,172460393.2,22800538,22741204,101114.792,5851,39676488.4,200679.23,39475801.9,206982254.2,0.617595155,4.599153165,5.21674832
Africa,1100,25619321,192777718.8,1471889.466,1434707.544,37181.71225,11492399.85,181288768.3,24147445,24067129,117489.48,6491,42226806.2,213558.3,42013240.5,218397039.8,0.606707523,4.565292433,5.171999956
Africa,1200,27039863,202625424.4,1256721.028,1221878.569,34841.73133,13168306.9,189456164.3,25783146,25673507,144485.7,9174,45294732.7,282888.67,45011844.2,229665287.4,0.596975882,4.473487585,5.070463467
Africa,1300,29795152,218386115.7,1345121.285,1302454.677,42666.2138,15863710.73,202522795.1,28450054,28298433,194305.99,18662,50663811.3,544562.15,50119245.2,248181267.7,0.588095353,4.310495205,4.898590559
Africa,1400,31892684,233600808.4,1068867.143,1028994.653,39872.4733,18623284.72,214978403.1,30823822,30605921,257762.19,21258,54517682.3,607707.05,53909987.2,265493492.4,0.584997063,4.284863159,4.869860221
Africa,1500,33877583.61,241899423.7,962194.32,919061.189,43133.186,20820373.09,221079795.9,32915405.61,32588885.61,369646.55,24884,58260543.1,694984.44,57565546.6,275777007.3,0.581484171,4.1520283,4.733512471
Africa,1600,39650249.2,263667781,1071338.15,1016487.211,54851.173,27995448.13,235671480.3,38578923.6,38059470.6,574300.29,32913,68177777.4,941320.01,67236531.6,303318030.2,0.581571455,3.867356653,4.448928108
Africa,1700,43621693.5,314629578,867384.617,810424.408,56960.5106,37189028.82,277441548,42754324.2,41919224.2,892091.74,38019,74819717.3,1076695.53,73743025.2,358251271.5,0.583024035,4.205169297,4.788193332
Africa,1710,43513624.4,307970701,862724.631,802559.961,60164.956,36580474.44,271389457,42650907.7,41816491.7,894612.57,41463,74143391.4,1171870.04,72971565.8,351484325.4,0.586884732,4.153717482,4.740602214
Africa,1720,43851430.9,312919744,855826.747,795101.637,60725.178,37339540.02,275580371,42995611,42159131,897232.56,45667,74614164.1,1292083.48,73321999.6,356771174.9,0.587709203,4.193838365,4.781547568
Africa,1730,44213570.9,318096584,849385.569,788086.029,61299.366,38223820.16,279873945,43364192.3,42525423.3,900086.18,50272,75130054,1425102.77,73704980.6,362310154.9,0.588493799,4.233945899,4.822439698
Africa,1740,44601616.9,323443029,843494.998,781605.248,61890.048,39076775.99,284367409,43758089.7,42916833.7,903193.79,55304,75694212.9,1572550.33,74121662.8,368044645.9,0.589234172,4.273021894,4.862256067
Africa,1750,45017079,329090324,838037.75,775459.25,62578.88,39973246.61,289118355,44179083.6,43334592.6,907124.36,60795,76308288.6,1736305.5,74572043.9,374107403,0.58993695,4.312641917,4.902578866
Africa,1760,45461896.3,335132746,833186.02,769992.34,63194.059,40966982.42,294165145,44628762.5,43781071.5,910847.02,66771,76974815.8,1918549.52,75056282.4,380594642.3,0.590607406,4.35379731,4.944404717
Africa,1770,45938444.1,341735860,828815.15,764973.22,63842.063,42015439.86,299719489,45109640.3,44258510.3,914972.39,73277,77699719.9,2121839.63,75577871,387674304.1,0.591230498,4.398160771,4.989391269
Africa,1780,46450313.7,349194408,824957.2,760426.79,64530.38,42951241.41,306243917,45625393.2,44770380.2,919565.07,80423,78485961.4,2349193.91,76136744.2,395644721.7,0.591829582,4.449132071,5.040961653
Africa,1790,47001082.6,358067288,821646.49,756378.09,65268.535,43999057.44,314070269,46179449.5,45320089.5,924702.92,88267,79343869.4,2604458.85,76739380,405068370.6,0.59237195,4.512853869,5.105225818
Africa,1800,47595227.6,369497234,818894.31,752858.04,66036.152,45057318.44,324440510,46776316.4,45911759.4,930479.98,96849,80276318.6,2891616.41,77384713.9,417092461.6,0.592892505,4.602817374,5.195709879
Africa,1810,49057036.5,385745694,947208.27,876829.98,70378.609,46188348.02,339564157,48109890.7,47238283.7,942060.59,106220,81791724.7,3280075.88,78511702.6,434802730.5,0.599779949,4.716194645,5.315974594
Africa,1820,49907460.4,394266326,1070163.61,995348.73,74814.567,47265373.35,346998020,48837303.9,47958300.9,953745.7,117119,83461926.5,3727806.97,79734041.2,444173786.4,0.597966791,4.723906367,5.321873159
Africa,1830,51860681.4,408568902,1190830.5,1111287.36,79543.205,50270584.7,358292655,50669865.3,49782689.3,966748.33,131508,87181113.8,4357767.15,82823378.4,460429583.4,0.594861423,4.6864382,5.281299622
Africa,1840,53938422.8,416712193,1309428.23,1224971.6,84456.275,53917211.05,362796823,52629071.4,51730918.4,982625.43,147465,91208363.6,5090254.24,86118153.1,470650615.8,0.591375842,4.568793656,5.160169498
Africa,1850,56201319.6,426291543,1425936.79,1336366.9,89569.896,57742229.36,368553602,54775392.2,53864494.2,1000465.74,165420,95536108.3,5959985.9,89576113.5,482492862.6,0.588273069,4.462098683,5.050371751
Africa,1860,58517906.2,436599582,1421893.47,1335238.07,86655.704,61654021.38,374948352,57095978,56170030,1012630.92,184863,99273200.9,6795447.9,92477840.3,495117488.2,0.589463276,4.397960155,4.987423431
