Entity,Year,Closed autocracies,Electoral autocracies,Electoral democracies,Liberal democracies,Total,Autocracies,Democracies,Share of closed autocracies,Share of electoral autocracies,Share of electoral democracies,Share of liberal democracies,Share of autocracies,Share of democracies
World,1900,106,6,0,1,113,112,1,0.9381,0.0531,0.0000,0.0088,0.9912,0.0088
World,1901,98,15,0,2,115,113,2,0.8522,0.1304,0.0000,0.0174,0.9826,0.0174
World,1902,96,16,2,4,118,112,6,0.8136,0.1356,0.0169,0.0339,0.9492,0.0508
World,1903,99,17,2,4,122,116,6,0.8115,0.1393,0.0164,0.0328,0.9508,0.0492
World,1904,99,18,3,4,124,117,7,0.7984,0.1452,0.0242,0.0323,0.9435,0.0565
World,1905,100,19,3,4,126,119,7,0.7937,0.1508,0.0238,0.0317,0.9444,0.0556
World,1906,102,17,3,5,127,119,8,0.8031,0.1339,0.0236,0.0394,0.9370,0.0630
World,1907,104,15,3,5,127,119,8,0.8189,0.1181,0.0236,0.0394,0.9370,0.0630
World,1908,105,14,3,5,127,119,8,0.8268,0.1102,0.0236,0.0394,0.9370,0.0630
World,1909,104,15,3,5,127,119,8,0.8189,0.1181,0.0236,0.0394,0.9370,0.0630
World,1910,104,16,3,5,128,120,8,0.8125,0.1250,0.0234,0.0391,0.9375,0.0625
World,1911,102,20,3,5,130,122,8,0.7846,0.1538,0.0231,0.0385,0.9385,0.0615
World,1912,101,23,3,5,132,124,8,0.7652,0.1742,0.0227,0.0379,0.9394,0.0606
World,1913,101,24,2,6,133,125,8,0.7594,0.1805,0.0150,0.0451,0.9398,0.0602
World,1914,103,23,2,5,133,126,7,0.7744,0.1729,0.0150,0.0376,0.9474,0.0526
World,1915,103,25,2,5,135,128,7,0.7630,0.1852,0.0148,0.0370,0.9481,0.0519
World,1916,106,25,3,4,138,131,7,0.7681,0.1812,0.0217,0.0290,0.9493,0.0507
World,1917,104,26,4,4,138,130,8,0.7536,0.1884,0.0290,0.0290,0.9420,0.0580
World,1918,109,26,4,6,145,135,10,0.7517,0.1793,0.0276,0.0414,0.9310,0.0690
World,1919,108,29,3,7,147,137,10,0.7347,0.1973,0.0204,0.0476,0.9320,0.0680
World,1920,106,26,10,8,150,132,18,0.7067,0.1733,0.0667,0.0533,0.8800,0.1200
World,1921,104,23,12,9,148,127,21,0.7027,0.1554,0.0811,0.0608,0.8581,0.1419
World,1922,105,23,13,10,151,128,23,0.6954,0.1523,0.0861,0.0662,0.8477,0.1523
World,1923,104,22,15,10,151,126,25,0.6887,0.1457,0.0993,0.0662,0.8344,0.1656
World,1924,104,22,15,10,151,126,25,0.6887,0.1457,0.0993,0.0662,0.8344,0.1656
World,1925,105,21,14,11,151,126,25,0.6954,0.1391,0.0927,0.0728,0.8344,0.1656
World,1926,105,23,12,11,151,128,23,0.6954,0.1523,0.0795,0.0728,0.8477,0.1523
World,1927,110,19,11,11,151,129,22,0.7285,0.1258,0.0728,0.0728,0.8543,0.1457
World,1928,109,19,12,11,151,128,23,0.7219,0.1258,0.0795,0.0728,0.8477,0.1523
World,1929,111,17,12,11,151,128,23,0.7351,0.1126,0.0795,0.0728,0.8477,0.1523
World,1930,110,19,12,10,151,129,22,0.7285,0.1258,0.0795,0.0662,0.8543,0.1457
World,1931,109,20,12,10,151,129,22,0.7219,0.1325,0.0795,0.0662,0.8543,0.1457
World,1932,106,21,13,10,150,127,23,0.7067,0.1400,0.0867,0.0667,0.8467,0.1533
World,1933,107,23,10,10,150,130,20,0.7133,0.1533,0.0667,0.0667,0.8667,0.1333
World,1934,113,20,8,10,151,133,18,0.7483,0.1325,0.0530,0.0662,0.8808,0.1192
World,1935,116,17,8,10,151,133,18,0.7682,0.1126,0.0530,0.0662,0.8808,0.1192
World,1936,117,16,8,10,151,133,18,0.7748,0.1060,0.0530,0.0662,0.8808,0.1192
World,1937,117,17,7,10,151,134,17,0.7748,0.1126,0.0464,0.0662,0.8874,0.1126
World,1938,115,19,7,10,151,134,17,0.7616,0.1258,0.0464,0.0662,0.8874,0.1126
World,1939,115,17,5,12,149,132,17,0.7718,0.1141,0.0336,0.0805,0.8859,0.1141
World,1940,116,17,6,7,146,133,13,0.7945,0.1164,0.0411,0.0479,0.9110,0.0890
World,1941,117,18,5,7,147,135,12,0.7959,0.1224,0.0340,0.0476,0.9184,0.0816
World,1942,117,17,5,7,146,134,12,0.8014,0.1164,0.0342,0.0479,0.9178,0.0822
World,1943,117,18,4,7,146,135,11,0.8014,0.1233,0.0274,0.0479,0.9247,0.0753
World,1944,119,17,3,8,147,136,11,0.8095,0.1156,0.0204,0.0544,0.9252,0.0748
World,1945,117,20,4,8,149,137,12,0.7852,0.1342,0.0268,0.0537,0.9195,0.0805
World,1946,111,24,3,12,150,135,15,0.7400,0.1600,0.0200,0.0800,0.9000,0.1000
World,1947,101,31,5,15,152,132,20,0.6645,0.2039,0.0329,0.0987,0.8684,0.1316
World,1948,105,28,6,15,154,133,21,0.6818,0.1818,0.0390,0.0974,0.8636,0.1364
World,1949,109,24,8,15,156,133,23,0.6987,0.1538,0.0513,0.0962,0.8526,0.1474
World,1950,104,26,9,16,155,130,25,0.6710,0.1677,0.0581,0.1032,0.8387,0.1613
World,1951,104,27,9,16,156,131,25,0.6667,0.1731,0.0577,0.1026,0.8397,0.1603
World,1952,104,25,10,17,156,129,27,0.6667,0.1603,0.0641,0.1090,0.8269,0.1731
World,1953,103,26,10,17,156,129,27,0.6603,0.1667,0.0641,0.1090,0.8269,0.1731
World,1954,100,29,10,17,156,129,27,0.6410,0.1859,0.0641,0.1090,0.8269,0.1731
World,1955,97,32,10,17,156,129,27,0.6218,0.2051,0.0641,0.1090,0.8269,0.1731
World,1956,94,33,12,17,156,127,29,0.6026,0.2115,0.0769,0.1090,0.8141,0.1859
World,1957,91,36,12,17,156,127,29,0.5833,0.2308,0.0769,0.1090,0.8141,0.1859
World,1958,90,39,10,17,156,129,27,0.5769,0.2500,0.0641,0.1090,0.8269,0.1731
World,1959,91,37,11,17,156,128,28,0.5833,0.2372,0.0705,0.1090,0.8205,0.1795
World,1960,83,43,12,17,155,126,29,0.5355,0.2774,0.0774,0.1097,0.8129,0.1871
World,1961,82,44,13,17,156,126,30,0.5256,0.2821,0.0833,0.1090,0.8077,0.1923
World,1962,79,46,14,17,156,125,31,0.5064,0.2949,0.0897,0.1090,0.8013,0.1987
World,1963,76,47,16,17,156,123,33,0.4872,0.3013,0.1026,0.1090,0.7885,0.2115
World,1964,78,44,17,17,156,122,34,0.5000,0.2821,0.1090,0.1090,0.7821,0.2179
World,1965,82,40,17,17,156,122,34,0.5256,0.2564,0.1090,0.1090,0.7821,0.2179
World,1966,81,41,17,17,156,122,34,0.5192,0.2628,0.1090,0.1090,0.7821,0.2179
World,1967,83,36,19,17,155,119,36,0.5355,0.2323,0.1226,0.1097,0.7677,0.2323
World,1968,79,40,19,17,155,119,36,0.5097,0.2581,0.1226,0.1097,0.7677,0.2323
