Entity,Year,Asses (HYDE & FAO (2017)),Buffalo (HYDE & FAO (2017)),Cattle (HYDE & FAO (2017)),Goats (HYDE & FAO (2017)),Horses (HYDE & FAO (2017)),Mules (HYDE & FAO (2017)),Pigs (HYDE & FAO (2017)),Sheep (HYDE & FAO (2017)),Chickens (HYDE & FAO (2017)),Turkeys (HYDE & FAO (2017)),Poultry (HYDE & FAO (2017))
Africa,1890,3616566.187,583643.8344,29516646.01,34120406.93,2762823.77,165810.6698,2379311.324,50631421.55,,,
Africa,1900,3935912.957,645350.9535,32045078.49,37727867.32,2798449.688,270089.3797,2630869.617,55984547.85,,,
Africa,1910,4549763.662,606703.5959,41543669.04,45975861.41,2831846.692,284172.5735,2920520.499,75011856.54,,,
Africa,1920,5211904.473,525812.6468,55515639.07,47606209.53,3051064.511,414690.727,3000042.418,85418957.15,,,
Africa,1930,6459623.062,717258.9574,70149225.76,54901920.48,3304799.481,567469.3651,3351180.121,110289610.6,,,
Africa,1940,7826182.228,851182.0628,77220183.87,59230659.66,3130295.477,582380.4252,3857889.106,106124759.7,,,
Africa,1950,8971096.453,1126891.41,96176317.52,71221257.65,3091566.958,811738.95,3824798.782,105390843.2,,,
Africa,1961,10983905,1501020,122537096,94254653,3493986,1836948,5667825,135126153,274201,1213,275414
Africa,1962,10848117,1530020,124466332,94491955,3485918,1897192,5814898,133230530,282821,1276,284097
Africa,1963,10545587,1558720,126462951,96875347,3463366,1864120,5960056,134184178,292008,1339,293347
Africa,1964,10641537,1587723,130157876,98441141,3522182,2000111,6192182,137296515,305707,1404,307111
Africa,1965,10806639,1617026,134024159,101041023,3640271,1950399,6172668,143311749,316576,1468,318044
Africa,1966,10700340,1646023,134794695,103917248,3616863,1979456,6224684,150837351,330808,1587,332395
Africa,1967,10776091,1675015,138997455,108262938,3642604,2043572,6329910,153706728,344970,1597,346567
Africa,1968,10963237,1943026,142563636,111341781,3587008,2062338,6712698,157983286,359190,1712,360902
Africa,1969,10978545,1976025,145602271,113333980,3665310,2088510,7113065,161221845,377215,1828,379043
Africa,1970,11218074,2009025,148592035,115410745,3695711,2087487,7208400,159251340,395270,1944,397214
Africa,1971,11638443,2058025,150742783,116125720,3680453,2076983,7379821,160639846,411666,2057,413723
Africa,1972,11653665,2098025,151796561,117104124,3553196,2076290,7742941,156825440,426904,2170,429074
Africa,1973,11417408,2135025,152857269,113876463,3506497,2076954,7820543,158704400,445104,2283,447387
Africa,1974,11639614,2170025,153680650,115459265,3539946,2082102,7907838,158247775,446998,2094,449092
Africa,1975,11754280,2204025,156458619,120004058,3555207,2100981,8144108,163111673,465425,2208,467633
Africa,1976,11924630,2235625,158341559,122842188,3578050,2113779,8567008,163261810,486343,2109,488452
Africa,1977,12161065,2266025,161860216,127919403,3628918,2138128,9001468,170728069,510704,2115,512819
Africa,1978,12345788,2342025,166616766,135448239,3653169,2172573,9427969,174353418,520123,2376,522499
Africa,1979,12387306,2321438,171602013,137641604,3673592,2216834,9683490,176635374,539212,2438,541650
Africa,1980,12346009,2346608,172531828,141108352,3630391,1137577,10172746,184759023,556266,2151,558417
Africa,1981,12532693,2370079,174438509,142184796,3861959,1143347,10738582,186406579,576868,2266,579134
Africa,1982,12826492,2392965,178341863,145242914,3972735,1152636,10449030,187434274,606139,2180,608319
Africa,1983,12918164,2322025,179841800,148998692,4254688,1214861,10564971,188799089,625045,2471,627516
Africa,1984,12419819,2414025,175341822,144783869,4050454,1196400,11057503,185419021,655655,2669,658324
Africa,1985,12196994,2429025,176510621,149193760,4239836,1224378,11968304,189194909,694643,3094,697737
Africa,1986,12710100,2443025,178489196,155119633,4322477,1259798,13162290,190135309,737332,3326,740658
Africa,1987,12948001,2454025,176994949,160991640,4408410,1305868,13752551,194784669,765334,3180,768514
Africa,1988,13477616,2464025,180106199,168458689,4503463,1300240,14142038,197288062,795157,3526,798683
Africa,1989,13919289,2548972,185050723,174981114,4539610,1313969,15352430,205348424,822412,3699,826111
Africa,1990,14374374,2897492,189029404,176785181,5412081,1341167,17153331,207363709,907901,7293,915194
Africa,1991,14734318,2993929,188715488,179301808,5502583,1366383,17606260,206121676,917473,7476,924949
Africa,1992,15244282,3165025,194199710,181844674,5550177,1375641,18124868,207989902,937718,8053,945771
Africa,1993,13499686,3250025,195115343,181018416,3991317,1371470,18447535,202400936,935321,8909,944230
Africa,1994,13720198,2920416,197157187,192748569,4075687,1366670,18950551,211857135,959056,9358,968414
Africa,1995,13960989,3017751,202212846,200343427,4126380,978500,19556871,213627280,1020413,9083,1029496
Africa,1996,13884707,2906675,204733303,207078184,4158810,957550,19741239,220092191,1035765,9523,1045288
Africa,1997,14084247,3095946,211259769,215797789,4196917,954555,20380284,227477387,1088101,9786,1097887
Africa,1998,14280299,3149454,218232023,222420864,4264770,964280,20568913,235110134,1152337,9892,1162229
Africa,1999,14550025,3329725,227285827,229014949,4294823,940235,20521220,243679169,1191544,10522,1202066
Africa,2000,14797142,3379435,226623962,236645597,4269217,899527,21673023,247020789,1196964,11150,1208114
Africa,2001,15285571,3532269,230267007,247107633,4552272,939132,21404567,251911824,1259859,12004,1271863
Africa,2002,15553513,3717025,235558518,253809011,4784885,1036673,22608889,258243059,1309186,11619,1320805
Africa,2003,15647436,3777025,240488810,261118485,4899695,975743,22333063,261453678,1330268,11679,1341947
Africa,2004,15896532,3845025,242510245,272061234,4974570,1011584,23366863,269777755,1341452,11878,1353330
Africa,2005,16470634,3885025,250730584,280528151,5098847,1009214,24501944,276831263,1334882,11964,1346846
Africa,2006,17050959,3937025,255391475,281819138,5250279,1025829,25341198,280421600,1371649,13161,1384810
Africa,2007,17492655,4104835,267612107,307589463,5564004,1063538,26675697,294484767,1462558,16258,1478816
Africa,2008,18106918,4052674,275692091,318765160,5687460,1061668,28183744,297398591,1534201,17457,1551658
Africa,2009,18556852,3838746,280273240,323452334,5950368,1046199,29368917,302369787,1609968,18269,1628237
Africa,2010,19224712,3818261,287292742,332998827,5976137,704793,31258408,309180773,1701796,19642,1721438
Africa,2011,19631301,3983192,292266231,339251393,5913741,1004112,31157793,316068733,1691952,20728,1712680
Africa,2012,20132792,4164953,302269693,353972608,5888466,975998,32738762,323837054,1756428,22366,1778794
Africa,2013,18383211,3915272,306575187,367814286,5939084,977479,33472777,331988371,1758133,22878,1781011
Africa,2014,18946358,3949287,312327289,374380445,6058131,1023087,34332061,340749117,1809059,23658,1832717
Asia,1890,604613.2274,41231739.75,127190471.7,48552340.91,6144752.186,597281.0775,37827980.28,53136544.66,,,
Asia,1900,1568204.476,45591062.55,140637983.9,53685651.51,6794420.584,728259.6663,41827432.6,58754531,,,
Asia,1910,3416830.608,50411285.02,172997545.8,68322891.2,7395866.058,888193.3935,45594807.28,75488469.93,,,
Asia,1920,5262067.031,55741136.86,205584756,73408709.97,7614786.674,1083849.076,38064637.75,80720889.83,,,
Asia,1930,8021466.651,61634499.84,232226071.3,97858311.88,7910648.014,1324149.649,45207889.8,91274924.67,,,
Asia,1940,7979140.536,68150952.51,230775689.4,98777179.59,7342037.021,1621718.119,44999112.69,88259693.09,,,
Asia,1950,9765754.322,75356372.48,248176628.3,103487105.6,9722427.732,1353873.805,52145495.89,101604845.3,,,
Asia,1961,16372019,86019158,319011559,198406213,15015524,2136125,118473813,232288994,1090814,3500,1094314
Asia,1962,15063037,86951863,315793765,213402786,14290192,2020794,116026686,229536258,1139125,3411,1142536
Asia,1963,15183296,87417333,318147178,217722084,14213967,2035612,139695281,233145936,1187345,3546,1190891
Asia,1964,15577427,91010969,324471455,215999976,14537390,2051161,171851756,243763684,1233912,3522,1237434
Asia,1965,16116872,92022025,328908498,212267645,15138184,2084527,194620482,252602916,1278130,3485,1281615
Asia,1966,16591830,96477635,331185320,210663232,15575567,2149112,211415211,259677371,1317672,3763,1321435
Asia,1967,16859053,98710727,335470154,209946718,15650130,2199949,238177588,260766892,1395234,3972,1399206
Asia,1968,17249040,101664355,339472208,214059984,15955052,2425994,236640489,269784084,1451307,4071,1455378
Asia,1969,17397637,103444902,340273599,213220733,16145737,2648211,225788632,266414974,1511908,4334,1516242
Asia,1970,17632794,104474437,341219808,212584141,16531597,2853327,223027973,263917747,1571280,4542,1575822
Asia,1971,18178943,105855906,341551852,216147868,16858201,2976929,257316452,268307222,1611321,5253,1616574
Asia,1972,18283568,106735980,342613753,218056563,16961761,3167784,303853649,260662556,1637639,4870,1642509
Asia,1973,18080004,108187155,341521806,220793043,17155411,3419456,319930015,266639419,1677724,5315,1683039
Asia,1974,18208455,110012747,343124630,228676475,17440186,3656331,313162099,277515778,1730705,6434,1737139
Asia,1975,18056695,109893271,343847300,236126051,17737939,3845716,312110672,283834045,1733048,7019,1740067
Asia,1976,17869998,110616171,344635213,244002086,17894486,4078022,329822314,290309028,1795957,7500,1803457
Asia,1977,17543484,111619684,344175485,245828537,18059798,4319973,339674346,292474198,1864521,8625,1873146
Asia,1978,17450631,113290019,349931432,255042944,17956158,4455233,348800663,300830694,2033744,8935,2042679
Asia,1979,17310952,115578674,354264432,268237683,17623795,4603251,361137152,309286657,2112426,9446,2121872
Asia,1980,17280008,118085115,346902858,274168197,17573502,4782857,381967763,318331081,2241102,9541,2250643
Asia,1981,17643881,120738422,352397399,280462739,17294071,4917129,369751080,329372390,2387665,7305,2394970
Asia,1982,18307863,123988305,358694948,284600608,17200551,5083516,360662314,338883998,2536013,10644,2546657
Asia,1983,18867589,126539656,365762863,290475054,17044521,5212371,371668226,339244126,2731399,13121,2744520
Asia,1984,19227280,129427556,369242495,286616169,16874421,5322204,371149749,328600632,2948419,10720,2959139
Asia,1985,19769775,132394631,373848579,282368132,16947782,5472460,380910357,314255385,3119573,10320,3129893
Asia,1986,20202185,137823551,381126773,287999788,17089181,5654070,407219237,314459695,3417105,12414,3429519
Asia,1987,20399175,137657858,387602779,303580242,16976701,5807233,415487071,321413779,3710130,11783,3721913
Asia,1988,20462173,139411616,391480615,317458358,16554498,5943765,405200763,328762784,3980661,9671,3990332
Asia,1989,20570745,141240563,396957594,337220145,16524935,6069777,422057060,345279457,4221374,7751,4229125
Asia,1990,20373492,143302442,399953661,350168883,16327953,6101636,429833024,350027882,4428610,7420,4436030
Asia,1991,20251961,145206917,401240750,352951292,16209734,6187703,437911143,346114195,4741659,8608,4750267
Asia,1992,20415698,148444979,427258230,360884706,18216568,6292725,450418214,415345914,5256088,14724,5270812
Asia,1993,20089273,149884031,429500265,370453451,17838874,6287127,452534221,415143170,5635590,14648,5650238
Asia,1994,20158111,151900853,434092599,386963790,17801563,6163459,457914359,415919423,6164863,14126,6178989
Asia,1995,20365272,153704215,436743357,410453900,17926394,6212501,456545984,409275268,6417372,13233,6430605
Asia,1996,19655632,155363429,438291244,419613628,18066435,6154437,462025217,399994737,6856361,13583,6869944
Asia,1997,18634284,154910788,437128394,424688031,16594045,5524090,462793322,394698075,7389141,13191,7402332
Asia,1998,18713657,156287297,433467893,438779694,16616771,5525932,466666915,401499270,6239940,15133,6255073
Asia,1999,18938950,157622928,430657236,449362598,16686022,5491174,476654068,408266468,6606402,13972,6620374
Asia,2000,18595967,159393869,431296695,458521280,16696800,5421254,485983354,414248800,7166149,13858,7180007
Asia,2001,18446415,161389076,433116887,467706771,15988808,5252293,488596685,411128529,7591346,13829,7605175
Asia,2002,18964040,163816520,431866358,479062662,15002562,5084935,494840414,409807127,8330234,12669,8342903
Asia,2003,18686813,166463994,434069831,495566808,14641126,4922803,501026399,423459307,8389768,13027,8402795
Asia,2004,18440147,168825225,445199096,517926252,14395838,4686852,502729032,443055984,8861785,13493,8875278
Asia,2005,17954497,171693548,455239914,542884155,14213782,4467190,511869434,470022470,9187354,13658,9201012
Asia,2006,17678807,175224222,471776210,551308731,14081245,4223328,523849103,483120478,9409032,12935,9421967
Asia,2007,17520217,178458301,483429276,561557491,14076625,4061150,531900692,491029488,9916470,12928,9929398
Asia,2008,16863993,180300711,486746941,566086716,13945789,3602092,537886671,488175948,10308301,12278,10320579
Asia,2009,16847359,181996387,490739753,569914152,13869448,3583577,558355645,485925532,10932176,12493,10944669
Asia,2010,16739270,182785226,494593728,564452054,13620634,3422299,585102285,487763421,11108253,12474,11120727
Asia,2011,16738463,184717559,488694000,561983478,13870248,3343504,577654486,501887159,10835629,12950,10848579
Asia,2012,16850685,186489974,490733815,564800668,14138942,3250806,583526972,515503144,11291119,13431,11304550
Asia,2013,16818941,187324226,488040153,566665196,14137981,3147542,591001287,528359326,11996660,14351,12011011
Asia,2014,16490197,188792665,491019874,580703222,14316963,2960413,590547756,536250670,11923472,14575,11938047
Canada,1890,0,0,3783125.189,5878.683276,1471000,4.604466792,8200476.977,1253842.377,,,
Canada,1900,0,0,5386180.794,6500.220912,1766200,11.94280102,8242604.264,1247680.749,,,
Canada,1910,0,0,7631677.56,7187.472078,2478000,30.97655011,7255972.868,1098334.625,,,
Canada,1920,0,0,7307230.434,7947.384492,3404000,80.34519328,10270141.47,1554588.501,,,
Canada,1930,0,0,6888675.716,8787.640436,3191000,208.3947393,11106872.09,1681244.186,,,
Canada,1940,0,0,7510682.085,9716.734419,2780000,540.5222837,9326800.388,1411795.22,,,
Canada,1950,0,0,7477520.362,10744.05905,1496000,1401.975598,5424211.24,821061.3695,,,
Canada,1961,,,10696000,12000,555000,4000,5001000,757000,69962,3500,73462
Canada,1962,,,10933000,12500,496000,4000,5118000,716000,65031,3000,68031
Canada,1963,,,11223000,13000,461000,4000,4993000,650400,67645,3000,70645
Canada,1964,,,11678000,14000,439800,4000,5392000,608500,71514,3100,74614
Canada,1965,,,12128000,13000,418900,4000,5596000,549000,70691,3400,74091
Canada,1966,,,11902000,14000,399400,4000,5088000,486300,75524,4000,79524
Canada,1967,,,11723000,14000,373900,4000,5828000,463700,78887,3900,82787
Canada,1968,,,11677000,15000,359500,4000,6140000,421000,78515,3800,82315
Canada,1969,,,11401000,15000,355600,4000,5789000,385600,86680,4100,90780
Canada,1970,,,11626000,16000,369900,4000,6559000,528000,94995,4600,99595
Canada,1971,,,11985000,17841,361900,4000,7720000,546000,87537,4300,91837
Canada,1972,,,12324000,18000,359500,4000,7413000,589600,91140,4100,95240
Canada,1973,,,12847000,18000,343000,4000,7207000,565000,90832,4300,95132
Canada,1974,,,13481000,19000,345000,4000,6972000,529400,88280,4700,92980
Canada,1975,,,14278000,18000,345000,4000,6030000,497100,82175,3700,85875
Canada,1976,,,14048000,20000,350000,4000,5692000,458300,87277,4000,91277
Canada,1977,,,13362000,20000,350000,4000,6197000,390400,90011,4100,94111
Canada,1978,,,12526000,21000,350000,4000,6799000,388000,91789,3774,95563
Canada,1979,,,11996000,20000,350000,4000,8363000,425700,98688,4630,103318
Canada,1980,,,12126000,22000,370000,4000,10091000,485100,93511,5388,98899
Canada,1981,,,12166000,22500,370000,4000,10190000,529900,95835,4322,100157
Canada,1982,,,12162000,23000,370000,4000,9970000,571600,92415,4523,96938
Canada,1983,,,11861000,24000,380000,4000,9890000,565500,93261,4663,97924
Canada,1984,,,11629400,25000,380000,4000,10346000,550300,92193,4750,96943
Canada,1985,,,11329500,25000,393000,4000,10572600,513500,95385,5200,100585
Canada,1986,,,10955800,25700,390000,4000,9967000,489500,98286,5500,103786
Canada,1987,,,10666600,26000,455000,4000,9997800,484900,107644,5900,113544
Canada,1988,,,10756200,26200,550000,4000,10800900,520500,106714,4600,111314
Canada,1989,,,10984400,26500,415000,4000,10951000,560400,107000,4900,111900
Canada,1990,,,11220400,27300,415000,4000,10392400,595000,111000,4300,115300
Canada,1991,,,11288800,27500,419000,4000,10172000,628300,112000,5200,117200
Canada,1992,,,11869000,27500,350000,4000,10596300,647900,108000,5800,113800
Canada,1993,,,11860000,27650,370000,4000,10743700,632500,115000,5600,120600
Canada,1994,,,12012000,27800,350000,4000,10533800,639300,132000,5700,137700
Canada,1995,,,12708700,28000,380000,4000,11290500,617300,136000,5900,141900
Canada,1996,,,13401700,28500,376000,4000,11588000,643000,142000,5700,147700
Canada,1997,,,13411600,28500,400000,4000,11479500,627800,138000,5400,143400
Canada,1998,,,13359900,29000,380000,4000,11985300,662000,140000,5700,145700
