Entity,Year,Maternal Mortality Index (OWID (2017))
United States,1900,100
United States,1901,94.11764706
United States,1902,87.05882353
United States,1903,82.35294118
United States,1904,92.94117647
United States,1905,94.11764706
United States,1906,83.52941176
United States,1907,84.70588235
United States,1908,78.82352941
United States,1909,82.35294118
United States,1910,81.17647059
United States,1911,82.35294118
United States,1912,76.47058824
United States,1913,80
United States,1914,83.52941176
United States,1915,71.52941176
United States,1916,73.17647059
United States,1917,77.88235294
United States,1918,107.7647059
United States,1919,86.70588235
United States,1920,94
United States,1921,80.23529412
United States,1922,78.11764706
United States,1923,78.23529412
United States,1924,77.17647059
United States,1925,76.11764706
United States,1926,77.17647059
United States,1927,76.11764706
United States,1928,81.41176471
United States,1929,81.76470588
United States,1930,79.17647059
United States,1931,77.76470588
United States,1932,74.47058824
United States,1933,72.82352941
United States,1934,69.76470588
United States,1935,68.47058824
United States,1936,66.82352941
United States,1937,57.52941176
United States,1938,51.17647059
United States,1939,47.52941176
United States,1940,44.23529412
United States,1941,37.29411765
United States,1942,30.47058824
United States,1943,28.82352941
United States,1944,26.82352941
United States,1945,24.35294118
United States,1946,18.47058824
United States,1947,15.88235294
United States,1948,13.76470588
United States,1949,10.58823529
United States,1950,9.764705882
United States,1951,8.823529412
United States,1952,8
United States,1953,7.176470588
United States,1954,6.164705882
United States,1955,5.529411765
United States,1956,4.811764706
United States,1957,4.823529412
United States,1958,4.423529412
United States,1959,4.4
United States,1960,4.364705882
United States,1961,4.341176471
United States,1962,4.141176471
United States,1963,4.211764706
United States,1964,3.917647059
United States,1965,3.717647059
United States,1966,3.423529412
United States,1967,3.294117647
United States,1968,2.882352941
United States,1969,2.611764706
United States,1970,2.447058824
United States,1971,2.317647059
United States,1972,2.070588235
United States,1973,1.905882353
United States,1974,1.670588235
United States,1975,1.552941176
United States,1976,1.458823529
United States,1977,1.341176471
United States,1978,1.235294118
United States,1979,1.235294118
United States,1990,1.411764706
United States,1991,1.411764706
United States,1992,1.411764706
United States,1993,1.411764706
United States,1994,1.411764706
United States,1995,1.411764706
United States,1996,1.294117647
United States,1997,1.294117647
United States,1998,1.294117647
United States,1999,1.411764706
United States,2000,1.411764706
United States,2001,1.529411765
United States,2002,1.529411765
United States,2003,1.529411765
United States,2004,1.529411765
United States,2005,1.529411765
