Entity,Year,Operative hours to process (OHP) 100 lbs of cotton (Chapman (1972))
100-spindle mule,1790,1000
Crompton's mule,1780,2000
Indian hand spinners,1700,50000
Late 20th century machinery,1972,40
Power-assisted mule,1795,300
Robert's automatic mule,1825,135
