Entity,Year,Median,97.5th percentile,83rd percentile,17th percentile,2.5th percentile
Afghanistan,215,-0.000412998,-0.516385473,-0.159571016,0.14139882,0.466368831
Albania,215,-0.012783111,-0.440835266,-0.159985007,0.070284338,0.282678451
Algeria,215,-0.21186027,-1.057504411,-0.55346234,0.007468226,0.283696139
Angola,215,-0.482282052,-1.158540113,-0.775741332,-0.248858335,-0.037738255
Argentina,215,-0.135712527,-0.844056115,-0.424940797,0.021065529,0.268573348
Armenia,215,0.23600087,-0.502335429,-0.055683853,0.718054493,1.41610955
Australia,215,-0.119096134,-0.603901591,-0.312960327,-0.006311216,0.097690491
Austria,215,0.220748311,-0.761429379,-0.136467901,0.799533176,1.634116454
Azerbaijan,215,0.002797592,-0.47155796,-0.134556372,0.153152205,0.489815854
Bahamas,215,-0.42008865,-1.395151192,-0.783480474,-0.084881229,0.351905977
Bangladesh,215,-0.618148152,-1.91782298,-1.179007075,-0.125030143,0.432533502
Belarus,215,0.276998,-1.256382724,-0.328894756,1.073615395,2.259646503
Belgium,215,0.085669373,-0.466983986,-0.091498851,0.431565366,1.00157292
Belize,215,-0.506206846,-1.472272538,-0.932227603,-0.157680647,0.16506149
Benin,215,-0.707634663,-1.809237362,-1.194901019,-0.290668347,0.11878166
Bhutan,215,0.000942563,-0.339034605,-0.110789822,0.108869021,0.32581169
Bolivia,215,-0.196331692,-0.857018862,-0.459190471,-0.029302202,0.111480892
Bosnia and Herzegovina,215,0.125162286,-0.538397322,-0.095610624,0.546490199,1.23693085
Botswana,215,-0.474168635,-1.657020573,-0.981331052,-0.078338192,0.377689104
Brazil,215,-0.451699229,-1.732410444,-0.981957943,-0.029116697,0.486448034
Brunei,215,-0.561599433,-1.588114559,-1.034683994,-0.156186002,0.208493305
Bulgaria,215,0.089098556,-0.44298774,-0.083086582,0.446071964,1.049572869
Burkina Faso,215,-0.893544824,-2.602553471,-1.648876533,-0.23768962,0.528132088
Burundi,215,-0.36216219,-1.098164832,-0.681035313,-0.123715702,0.079928182
Cambodia,215,-0.692178687,-2.570381411,-1.485121451,-0.007356007,0.801827623
Cameroon,215,-0.575727881,-1.3856434,-0.929534543,-0.284725213,-0.035773311
Canada,215,0.28015523,-0.640544106,-0.112472886,0.785828255,1.469341
Cape Verde,215,-0.23649172,-1.414006799,-0.651967625,0.087624642,0.724950018
Central African Republic,215,-0.709585167,-1.71123462,-1.150679977,-0.340518876,-0.021727837
Chad,215,-0.815188199,-2.633680492,-1.642200015,-0.105246793,0.611606894
Chile,215,0.10709363,-0.226653601,-0.025299897,0.349687477,0.716492855
China,215,-0.038198337,-0.484635536,-0.204116231,0.040767474,0.215353519
Colombia,215,-0.341368209,-1.732121477,-0.878177586,0.053718739,0.686933768
Comoros,215,-0.413543057,-1.034610784,-0.684738588,-0.192985743,0.026109308
Congo,215,-0.657846887,-1.66501205,-1.104992751,-0.269111738,0.12011974
Costa Rica,215,-0.393629417,-1.802746428,-0.911285675,0.026594818,0.796838256
Cote d'Ivoire,215,-0.668744637,-1.685056286,-1.116798099,-0.291795681,0.086660157
Croatia,215,0.021488774,-0.482390366,-0.118874397,0.265799073,0.757854011
Cuba,215,-0.434004274,-1.366817603,-0.833526851,-0.118712694,0.266727875
Cyprus,215,-0.238707082,-0.812326883,-0.475524482,-0.065741868,0.095859192
Czech Republic,215,0.199098072,-0.856670483,-0.192704525,0.796260391,1.67742496
Democratic Republic of Congo,215,-0.607516206,-1.482662528,-0.989691187,-0.293433184,-0.008877125
Denmark,215,0.202756636,-0.412319236,-0.043992185,0.613086424,1.242203044
Djibouti,215,-0.741932685,-3.116379971,-1.789316113,0.185893863,1.268510678
Dominican Republic,215,-0.452518197,-1.185039508,-0.773433665,-0.201718625,0.05111695
Ecuador,215,-0.237256398,-1.534226099,-0.664767712,0.067483729,0.768457121
Egypt,215,-0.44477107,-1.458672827,-0.888016604,-0.099095155,0.240751098
El Salvador,215,-0.561965935,-2.848210636,-1.561454902,0.324080115,1.357327799
Eritrea,215,-0.509285891,-1.935925794,-1.13919108,-0.027201389,0.611086891
Estonia,215,0.397697296,-0.952450589,-0.184345152,1.160920707,2.218188234
Ethiopia,215,-0.321555218,-0.964014038,-0.596481282,-0.121628009,0.04403407
Fiji,215,-0.314852141,-0.996983368,-0.616322158,-0.063112786,0.184976567
Finland,215,0.536506264,-0.888878901,-0.119957426,1.368558222,2.460986949
France,215,0.054000372,-0.351088125,-0.070717966,0.314339299,0.764983932
Gabon,215,-0.541517139,-1.178141598,-0.828154656,-0.305842859,-0.111390593
Gambia,215,-0.532681024,-1.668321731,-1.018553999,-0.093031732,0.39825746
Georgia,215,0.045345697,-0.355470216,-0.074395369,0.28773313,0.727951073
Germany,215,0.138807624,-0.597442752,-0.134388673,0.58124415,1.258579049
Greece,215,-0.062590665,-0.770552252,-0.321209229,0.052121521,0.293781544
Guatemala,215,-0.438239248,-1.77694748,-0.998860335,0.01515541,0.588218871
Guinea,215,-0.599152737,-1.433342719,-0.964436066,-0.297457516,-0.002841207
Guyana,215,-0.72790064,-2.891319379,-1.491600487,-0.110273801,1.014314871
