Entity,Year,Life expectancy,Population
Afghanistan,1800,28.21,3280000
Afghanistan,1950,27.638,7752000
Afghanistan,2015,63.377,34414000
Afghanistan,2019,64.833,38042000
Africa,1950,36.45,227794000
Africa,2015,61.607,1182439040
Africa,2019,63.17,1308064000
Albania,1800,35.4,410445
Albania,1950,54.191,1263000
Albania,2015,78.025,2891000
Albania,2019,78.573,2881000
Algeria,1800,28.82,2503218
Algeria,1950,42.087,8872000
Algeria,2015,76.09,39728000
Algeria,2019,76.88,43053000
American Samoa,1950,63.775,19000
American Samoa,2015,73.588,56000
American Samoa,2019,73.745,55000
Andorra,1950,62.151,6000
Andorra,2015,83.073,78000
Andorra,2019,83.732,77000
Angola,1800,26.98,1567028
Angola,1950,35.524,4548000
Angola,2015,59.398,27884000
Angola,2019,61.147,31825000
Anguilla,1950,54.842,5000
Anguilla,2015,81.332,14000
Anguilla,2019,81.877,15000
Antigua and Barbuda,1800,33.54,37000
Antigua and Barbuda,1950,56.1,46000
Antigua and Barbuda,2015,76.483,94000
Antigua and Barbuda,2019,77.016,97000
Argentina,1800,33.2,534000
Argentina,1950,61.441,17038000
Argentina,2015,76.068,43075000
Argentina,2019,76.667,44781000
Armenia,1800,34,413326
Armenia,1950,61.966,1354000
Armenia,2015,74.467,2926000
Armenia,2019,75.087,2958000
Aruba,1950,58.419,38000
Aruba,2015,75.725,104000
Aruba,2019,76.293,106000
Asia,1950,41.115,1404909056
Asia,2015,72.62,4433475072
Asia,2019,73.593,4601371136
Australia,1800,34.05,351014
Australia,1950,68.845,8177000
Australia,2015,82.794,23932000
Australia,2019,83.436,25203000
Austria,1800,34.4,3205587
Austria,1950,66.033,6936000
Austria,2015,81.182,8679000
Austria,2019,81.544,8955000
Azerbaijan,1800,29.17,879960
Azerbaijan,1950,57.409,2928000
Azerbaijan,2015,72.266,9623000
Azerbaijan,2019,73.005,10048000
Bahamas,1800,35.18,27350
Bahamas,1950,62.54,79000
Bahamas,2015,73.088,374000
Bahamas,2019,73.918,389000
Bahrain,1800,30.3,64474
Bahrain,1950,41.162,116000
Bahrain,2015,76.762,1372000
Bahrain,2019,77.292,1641000
Bangladesh,1800,25.5,19227358
Bangladesh,1950,39.054,37895000
Bangladesh,2015,71.514,156256000
Bangladesh,2019,72.591,163046000
Barbados,1800,32.12,81729
Barbados,1950,52.334,211000
Barbados,2015,78.801,285000
Barbados,2019,79.19,287000
Belarus,1800,36.2,2355081
Belarus,1950,57.736,7745000
Belarus,2015,73.652,9439000
Belarus,2019,74.791,9452000
Belgium,1800,40,3138137
Belgium,1950,66.961,8638000
Belgium,2015,80.969,11288000
Belgium,2019,81.628,11539000
Belize,1800,26.5,25526
Belize,1950,54.806,69000
Belize,2015,74.034,361000
Belize,2019,74.623,390000
Benin,1800,31,636559
Benin,1950,32.698,2255000
Benin,2015,60.608,10576000
Benin,2019,61.771,11801000
Bermuda,1950,64.238,37000
Bermuda,2015,81.999,64000
Bermuda,2019,82.593,63000
Bhutan,1800,28.8,89989
Bhutan,1950,31.669,177000
Bhutan,2015,70.419,728000
Bhutan,2019,71.777,763000
Bolivia,1800,33,1100000
Bolivia,1950,39.125,3082000
Bolivia,2015,70.277,10870000
Bolivia,2019,71.513,11513000
Bonaire Sint Eustatius and Saba,1950,59.021,7000
Bonaire Sint Eustatius and Saba,2015,77.033,25000
Bonaire Sint Eustatius and Saba,2019,77.788,26000
Bosnia and Herzegovina,1800,35.1,851806
Bosnia and Herzegovina,1950,51.421,2661000
Bosnia and Herzegovina,2015,76.865,3429000
Bosnia and Herzegovina,2019,77.401,3301000
Botswana,1800,33.6,121000
Botswana,1950,43.646,413000
Botswana,2015,67.338,2121000
Botswana,2019,69.592,2304000
Brazil,1800,32,3639636
Brazil,1950,50.06,53975000
Brazil,2015,74.994,204472000
Brazil,2019,75.881,211050000
British Virgin Islands,1950,56.639,7000
British Virgin Islands,2015,78.411,29000
British Virgin Islands,2019,79.069,30000
Brunei,1800,29.2,2128
Brunei,1950,51.261,48000
Brunei,2015,75.318,415000
Brunei,2019,75.86,433000
Bulgaria,1800,35.8,1992320
Bulgaria,1950,60.389,7251000
Bulgaria,2015,74.584,7200000
Bulgaria,2019,75.046,7000000
Burkina Faso,1800,29.2,1665421
Burkina Faso,1950,29.982,4284000
Burkina Faso,2015,59.919,18111000
Burkina Faso,2019,61.577,20321000
Burundi,1800,31.5,899097
Burundi,1950,38.422,2309000
Burundi,2015,60.123,10160000
Burundi,2019,61.584,11531000
Cambodia,1800,35,2090000
Cambodia,1950,39.869,4433000
Cambodia,2015,68.637,15521000
Cambodia,2019,69.823,16487000
Cameroon,1800,28.75,1860054
Cameroon,1950,37.785,4307000
Cameroon,2015,57.583,23298000
Cameroon,2019,59.292,25876000
Canada,1800,39,645526
Canada,1950,68.494,13733000
Canada,2015,82.026,36027000
Canada,2019,82.434,37411000
Cape Verde,1800,33.8,55716
Cape Verde,1950,47.195,178000
Cape Verde,2015,72.117,525000
Cape Verde,2019,72.981,550000
Cayman Islands,1950,55.941,6000
Cayman Islands,2015,83.324,62000
Cayman Islands,2019,83.924,65000
Central African Republic,1800,30,479444
Central African Republic,1950,31.761,1327000
Central African Republic,2015,50.881,4493000
Central African Republic,2019,53.283,4745000
Chad,1800,30.9,1432000
Chad,1950,35.55,2502000
Chad,2015,53.137,14111000
Chad,2019,54.239,15947000
Channel Islands,1950,68.516,102000
Channel Islands,2015,82.429,165000
Channel Islands,2019,83.086,172000
Chile,1800,32,771447
Chile,1950,53.931,6599000
Chile,2015,79.646,17969000
Chile,2019,80.181,18952000
China,1800,32,321675008
China,1950,42.97,554419008
China,2015,75.928,1406848000
China,2019,76.912,1433784064
Colombia,1800,32,1206000
Colombia,1950,49.987,11982000
Colombia,2015,76.531,47521000
Colombia,2019,77.287,50339000
Comoros,1800,32.1,56346
Comoros,1950,38.098,159000
Comoros,2015,63.471,777000
Comoros,2019,64.321,851000
Congo,1800,32.7,314465
Congo,1950,38.889,827000
Congo,2015,63.097,4856000
Congo,2019,64.57,5381000
Cook Islands,1950,45.076,15000
Cook Islands,2015,75.409,18000
Cook Islands,2019,76.246,18000
Costa Rica,1800,30.21,51987
Costa Rica,1950,55.043,946000
Costa Rica,2015,79.565,4848000
Costa Rica,2019,80.279,5048000
Cote d'Ivoire,1800,31.16,1088530
Cote d'Ivoire,1950,28.869,2630000
Cote d'Ivoire,2015,56.065,23226000
Cote d'Ivoire,2019,57.783,25717000
Croatia,1800,36.1,1227886
Croatia,1950,60.252,3850000
Croatia,2015,77.892,4233000
Croatia,2019,78.488,4130000
Cuba,1800,32.2,345043
Cuba,1950,58.225,5920000
Cuba,2015,78.561,11325000
Cuba,2019,78.802,11333000
Curacao,1950,58.78,100000
Curacao,2015,78.268,160000
Curacao,2019,78.88,163000
Cyprus,1800,38.5,184392
Cyprus,1950,65.836,494000
Cyprus,2015,80.35,1161000
Cyprus,2019,80.982,1199000
Czech Republic,1800,34.95,5516349
Czech Republic,1950,65.307,8903000
Czech Republic,2015,78.692,10601000
Czech Republic,2019,79.376,10689000
Democratic Republic of Congo,1800,31.6,5163819
Democratic Republic of Congo,1950,38.342,12184000
Democratic Republic of Congo,2015,59.254,76245000
Democratic Republic of Congo,2019,60.681,86791000
Denmark,1800,37.41,1062514
Denmark,1950,70.463,4268000
Denmark,2015,80.475,5689000
Denmark,2019,80.898,5772000
Djibouti,1800,29.9,22848
Djibouti,1950,40.375,62000
Djibouti,2015,64.136,914000
Djibouti,2019,67.112,974000
Dominica,1950,54.119,51000
Dominica,2015,74.194,71000
Dominica,2019,75,72000
Dominican Republic,1800,29.9,89000
Dominican Republic,1950,44.418,2365000
Dominican Republic,2015,73.241,10282000
Dominican Republic,2019,74.081,10739000
Ecuador,1800,32.9,500000
Ecuador,1950,47.425,3470000
Ecuador,2015,76.143,16212000
Ecuador,2019,77.01,17374000
Egypt,1800,33,4243515
Egypt,1950,38.457,20452000
Egypt,2015,71.302,92443000
Egypt,2019,71.99,100388000
El Salvador,1800,28.7,248000
El Salvador,1950,43.245,2200000
El Salvador,2015,72.412,6325000
El Salvador,2019,73.317,6454000
Equatorial Guinea,1800,29.8,80377
Equatorial Guinea,1950,33.264,226000
Equatorial Guinea,2015,57.359,1169000
Equatorial Guinea,2019,58.735,1356000
Eritrea,1800,30.2,205010
Eritrea,1950,33.299,822000
Eritrea,2015,64.664,3343000
Eritrea,2019,66.321,3497000
Estonia,1800,36.14,334136
Estonia,1950,59.051,1101000
Estonia,2015,77.783,1315000
Estonia,2019,78.745,1326000
Ethiopia,1800,29.7,2948990
Ethiopia,1950,33.3,18128000
Ethiopia,2015,65.048,100835000
Ethiopia,2019,66.597,112079000
Europe,1950,61.989,549329024
Europe,2015,77.839,743059008
Europe,2019,78.587,747182976
Faeroe Islands,1950,67.297,32000
Faeroe Islands,2015,80.13,48000
Faeroe Islands,2019,80.666,49000
Falkland Islands,1950,68.377,2000
Falkland Islands,2015,80.876,3000
Falkland Islands,2019,81.442,3000
Fiji,1800,26.1,130533
Fiji,1950,53.279,289000
Fiji,2015,67.103,869000
Fiji,2019,67.444,890000
Finland,1800,36.57,977662
Finland,1950,65.452,4008000
Finland,2015,81.196,5481000
Finland,2019,81.908,5532000
France,1800,33.97,29355112
France,1950,66.233,41834000
France,2015,82.224,64453000
France,2019,82.659,65130000
French Guiana,1950,52.251,25000
French Guiana,2015,79.555,261000
French Guiana,2019,79.952,291000
French Polynesia,1950,45.598,60000
French Polynesia,2015,76.787,273000
French Polynesia,2019,77.657,279000
Gabon,1800,30.6,158227
Gabon,1950,35.672,473000
Gabon,2015,64.913,1948000
Gabon,2019,66.467,2173000
Gambia,1800,28.8,103274
Gambia,1950,29.674,305000
Gambia,2015,60.91,2086000
Gambia,2019,62.05,2348000
Georgia,1800,31.87,1072178
Georgia,1950,59.847,3527000
Georgia,2015,72.973,4024000
Georgia,2019,73.767,3997000
Germany,1800,38.37,22886920
Germany,1950,66.896,69966000
Germany,2015,80.77,81787000
Germany,2019,81.326,83517000
Ghana,1800,28,2016034
Ghana,1950,41.121,5036000
Ghana,2015,62.772,27849000
Ghana,2019,64.074,30418000
Gibraltar,1950,68.901,22000
Gibraltar,2015,79.351,34000
Gibraltar,2019,79.927,34000
Greece,1800,36.6,2151155
Greece,1950,65.412,7669000
Greece,2015,81.548,10660000
Greece,2019,82.239,10473000
Greenland,1950,50.827,23000
Greenland,2015,71.407,56000
Greenland,2019,71.704,57000
Grenada,1800,31.4,29409
Grenada,1950,57.502,77000
Grenada,2015,72.445,110000
Grenada,2019,72.397,112000
Guadeloupe,1950,51.655,210000
Guadeloupe,2015,81.22,400000
Guadeloupe,2019,82.138,400000
Guam,1950,56.129,60000
Guam,2015,79.144,162000
Guam,2019,80.074,167000
Guatemala,1800,25.8,458965
