Entity,Year,1st (Incomes across the Distribution Database (2016)),2nd (Incomes across the Distribution Database (2016)),3rd (Incomes across the Distribution Database (2016)),4th (Incomes across the Distribution Database (2016)),5th (Incomes across the Distribution Database (2016)),6th (Incomes across the Distribution Database (2016)),7th (Incomes across the Distribution Database (2016)),8th (Incomes across the Distribution Database (2016)),9th (Incomes across the Distribution Database (2016)),mean (Incomes across the Distribution Database (2016))
Australia,1981,9283.941406,12263.11621,14876.08008,17142.62891,19639.38086,22497.70898,26002.69336,30385.45703,36569.88281,21676.89648
Australia,1985,9208.149414,11807.64355,14405.90723,16860.0625,19574.12891,22517.67383,25710.88281,30073.69141,36579.37109,21693.07422
Australia,1989,9159.294922,12026.43848,14529.87891,17021.76563,19755.94922,22982.94141,26597.46094,31171.04688,38166.80469,22378.35352
Australia,1995,8632.508789,10713.66797,12930.59082,15323.97949,18136.97266,21228.6543,24671.13281,29090.01953,35215.98828,20633.89258
Australia,2001,9438.12207,11723.57031,14440.12109,17083,20386.34375,23869.8125,27562.48633,32278.37891,40431.83203,23259.52734
Australia,2003,9546.350586,12192.15234,14845.20508,17725.93359,20607.71094,24223.33984,28176.45313,33336.60938,40918.05469,23693.30273
Australia,2008,12418.2334,16346.27539,20320.67578,24091.42773,28055.18555,32099.13281,37028.77734,44143.38672,55907.63281,32880.5625
Australia,2010,12532.04883,16190.37207,20199.88672,23990.83008,27873.81641,32540.30078,38117.60156,44997.0625,56772.73828,32914.78906
Austria,1994,12501.23438,16296.16211,19122.38086,21514.36523,24034.77734,27090.32617,31189.60547,35387.70703,43577.53906,27112.91992
Austria,1997,12265.15723,15775.55664,18261.10547,20922.80469,23302.5918,26147.38086,29561.86133,33923.96875,41427.03125,25765.10547
Austria,2000,13435.9873,16776.6582,19427.36523,22176.67773,24770.49609,27464.01953,30818.07227,35071.39063,42665.26172,27002.23633
Austria,2004,14563.06152,18058.5,20970.98633,23487.55664,26337.57617,29082,32751.19922,38216.26563,47072.14063,29476.17969
Belgium,1985,10302.33887,12195.91504,13692.17285,15527.20703,17403.31445,19233.2207,21286.93945,23955.03906,28276.62109,18578.08008
Belgium,1988,10634.6748,12655.78027,14387.4707,16304.69336,18147.39648,20065.72461,22110.35742,24938.28125,29570.91016,19481.50977
Belgium,1992,11227.74707,13472.61035,15310.56445,17321.92773,19246.58594,21434.79297,23986.05859,26539.83789,31301.59961,20520.28906
Belgium,1995,11347.11426,14340.0459,16678.66406,19310.68555,22076.9375,24398.89844,27572.38867,30964.52344,37001.09375,23940.83203
Belgium,1997,11488.22559,14554.04688,16847.85156,19082.25,21626.69922,24419.4707,27447.83203,31091.64453,36846.87109,23350.54883
Belgium,2000,12141.91309,14920.89355,17678.81445,20517.69336,23246.05469,26086.7793,28884.60938,33035.23828,40473.04688,27208.46875
Canada,1981,10505.62988,14417.49707,17780.25391,20521.12109,23415.7168,26469.07227,30263.70703,35068.42578,42780.84766,25515.60352
Canada,1987,11337.20313,15122.31445,18180.43945,21149.40039,24045.57227,27064.73438,30893.39258,35630.25391,44198.37109,26420.67188
