Entity,Year,Two-men married couples,Two-women married couples
United States,2005,214477,177837
United States,2006,217617,168135
United States,2007,190004,150844
United States,2008,62185,80301
United States,2009,66274,85847
United States,2010,68513,83822
United States,2011,69522,98570
United States,2012,80727,101195
United States,2013,117535,134160
United States,2014,163239,171590
United States,2015,201779,223578
United States,2016,235167,251827
United States,2017,262323,293169
United States,2018,284982,307579
