Entity,Year,Total wealth per capita,Produced capital,"Natural capital, renewable (excluding sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, male","Human capital, female",Net foreign assets,Adjusted net national income,Adjusted net saving,GDP,Gross national income,"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Land (crop, pasture)"
Albania,1995,31372.98,9770.88,10055.26,743.32,371.35,17.22,3074.82,5848.55,943.78,834.55,764.55,50.80,19.20,109.23,10676.01,3326.09,7349.92,-72.95,1662.50,242.34,1763.12,1794.83,10999.04,8923.37
Albania,2000,29610.35,10495.80,8302.46,57.13,378.42,28.45,2192.84,5645.61,364.05,364.05,357.37,6.38,0.31,0.00,10757.17,3522.47,7234.70,-309.13,2225.29,527.94,2335.85,2404.52,8666.51,7838.45
Albania,2005,35801.06,13889.29,9034.33,43.46,394.77,65.33,1923.08,6607.69,494.16,470.13,464.85,3.23,2.05,24.03,12905.30,4185.38,8719.92,-522.01,2981.92,748.69,3186.54,3250.26,9528.49,8530.77
Albania,2010,47548.81,17561.26,8995.68,68.56,404.94,127.88,2401.58,5992.72,1332.77,933.69,916.70,12.52,4.46,399.08,21097.73,12456.32,8641.41,-1438.63,3654.96,345.27,4239.18,4196.83,10328.45,8394.30
Albania,2014,53107.24,18807.68,11284.08,180.30,405.63,170.28,3570.19,6957.68,2091.20,1752.93,1750.38,2.03,0.52,338.26,22818.33,13260.87,9557.46,-1894.06,3929.24,34.25,4568.57,4513.99,13375.28,10527.87
Argentina,1995,101364.38,32865.78,9546.24,102.43,3285.25,400.25,2850.09,2908.22,649.88,642.81,520.79,121.69,0.33,7.07,59968.78,34946.65,25022.14,-1666.31,8111.90,909.77,9040.81,8877.22,10196.12,5758.31
Argentina,2000,116973.34,33956.99,9298.57,128.51,2965.87,393.26,3284.28,2526.65,1179.69,1089.01,918.05,170.96,0.01,90.68,75451.72,41254.58,34197.14,-2913.63,8243.49,412.69,9695.69,9438.19,10478.26,5810.93
Argentina,2005,108954.02,36828.58,13493.28,263.37,2660.15,618.89,6086.30,3864.57,3030.21,2688.08,2269.33,418.32,0.43,342.13,56195.26,30198.26,25996.99,-593.31,8295.54,897.10,10098.34,9716.02,16523.49,9950.87
Argentina,2010,126328.79,37701.13,13363.27,295.00,2393.04,694.48,5731.74,4249.01,4870.83,3807.70,3197.63,606.73,3.34,1063.13,69921.65,38891.32,31030.34,471.90,10387.32,1095.17,12176.64,11777.42,18234.10,9980.75
Argentina,2014,126516.06,37869.34,12253.58,320.18,2199.91,581.48,5761.77,3390.24,3931.28,2966.98,2574.49,390.84,1.65,964.30,71429.27,37524.40,33904.87,1032.58,10543.73,938.24,12245.69,12012.44,16184.86,9152.01
Armenia,1995,18937.75,5912.94,5283.47,10.71,75.66,878.04,2574.00,1745.06,60.24,0.00,0.00,0.00,0.00,60.24,7673.81,5286.80,2387.01,7.29,925.32,-259.52,1087.21,1085.83,5343.71,4319.06
Armenia,2000,23081.78,7209.93,6481.97,4.90,79.04,1780.06,1811.12,2806.86,82.29,0.00,0.00,0.00,0.00,82.29,10323.66,7112.38,3211.28,-1016.06,1267.57,-204.83,1462.63,1503.11,6564.26,4617.97
Armenia,2005,33904.23,9522.34,6417.82,10.76,80.40,1494.51,2055.54,2776.61,288.37,0.00,0.00,0.00,0.00,288.37,18736.13,12908.08,5828.06,-1060.44,2382.96,413.18,2654.49,2766.08,6706.19,4832.15
