Entity,Year,2012 report,2010 report
World,1991,1,0.84
World,1996,,0.79
World,2000,0.92,
World,2001,,0.83
World,2005,0.9,
World,2006,,0.85
World,2008,0.87,0.92
World,2009,,1.02
World,2010,,0.93
World,2011,0.87,
