Entity,Year,Fat supply (FAO (2017)),Caloric supply (FAO (2017)),Protein supply (FAO (2017))
Africa,1961,39.59,1993,52.64
Africa,1962,40.94,2025,53.26
Africa,1963,40.89,2028,53.17
Africa,1964,40.28,2037,53.76
Africa,1965,41.54,2042,53.49
Africa,1966,40.4,2009,53
Africa,1967,41.27,2041,53.48
Africa,1968,42.25,2053,53.71
Africa,1969,42.78,2086,54.61
Africa,1970,42.91,2105,54.93
Africa,1971,42.91,2087,54.54
Africa,1972,41.81,2049,53.6
Africa,1973,42.22,2079,53.68
Africa,1974,43.88,2120,54.88
Africa,1975,42.93,2127,55.08
Africa,1976,43.71,2127,55.01
Africa,1977,45.49,2143,55.11
Africa,1978,46.02,2169,55.77
Africa,1979,46.27,2198,56.37
Africa,1980,46.76,2233,57.27
Africa,1981,48.05,2241,57.19
Africa,1982,47.91,2246,57.35
Africa,1983,45.96,2210,56.9
Africa,1984,44.85,2182,55.99
Africa,1985,46.09,2233,57.22
Africa,1986,47.37,2268,57.72
Africa,1987,45.45,2254,57.96
Africa,1988,46.79,2274,58.47
Africa,1989,46.65,2278,58.47
Africa,1990,47.38,2291,58.79
Africa,1991,47.45,2322,58.93
Africa,1992,48.09,2320,58.75
Africa,1993,48.1,2342,59.01
Africa,1994,48.3,2356,59.61
Africa,1995,48.86,2376,60.25
Africa,1996,48.37,2390,60.78
Africa,1997,49.19,2403,61.01
Africa,1998,49.69,2423,61.83
Africa,1999,50.38,2433,62.15
Africa,2000,49.96,2433,62.34
Africa,2001,50.92,2457,62.75
Africa,2002,52.14,2473,63.42
Africa,2003,52.46,2480,64.01
Africa,2004,52.58,2493,64.35
Africa,2005,53.57,2525,65.6
Africa,2006,53.9,2546,66.37
Africa,2007,54.01,2550,66.83
Africa,2008,55.09,2567,67.24
Africa,2009,53.73,2575,67.86
Africa,2010,54.38,2594,68.57
Africa,2011,55.16,2614,69.3
Africa,2012,54.99,2618,69.03
Africa,2013,54.46,2624,69.1
Asia,1961,24.58,1805,47.44
Asia,1962,25.49,1867,48.98
Asia,1963,26.94,1882,49.1
Asia,1964,28.23,1929,49.95
Asia,1965,28.57,1963,50.4
Asia,1966,29.4,1994,50.72
Asia,1967,29.5,1987,50.59
Asia,1968,29.34,1978,50.54
Asia,1969,29.14,1987,50.22
Asia,1970,29.89,2059,51.65
Asia,1971,30.18,2023,51.01
Asia,1972,30.47,2019,50.95
Asia,1973,31.19,2075,52.3
Asia,1974,31.17,2048,51.33
Asia,1975,31.76,2081,52.19
Asia,1976,31.55,2042,51.44
Asia,1977,32.55,2102,52.54
Asia,1978,34.16,2189,54.68
Asia,1979,35.05,2171,54.45
Asia,1980,36.93,2187,54.57
Asia,1981,38.21,2214,55.8
Asia,1982,39.59,2271,56.77
Asia,1983,40.66,2354,59.18
Asia,1984,42.38,2372,59.44
Asia,1985,43.32,2356,59.24
Asia,1986,44.22,2359,59.93
Asia,1987,45.34,2380,60.39
Asia,1988,46.88,2405,61.21
Asia,1989,48.43,2436,61.86
Asia,1990,49.18,2414,61.17
Asia,1991,49.55,2402,61.16
Asia,1992,50.85,2433,62.75
Asia,1993,51.89,2445,64
Asia,1994,54.2,2482,65.53
Asia,1995,55.89,2527,66.69
Asia,1996,56.69,2538,67.24
Asia,1997,57.35,2552,67.71
Asia,1998,58.16,2566,68.04
Asia,1999,59.22,2582,68.77
Asia,2000,60.41,2591,69.67
Asia,2001,59.94,2578,69.29
Asia,2002,60.79,2571,69.14
Asia,2003,61.92,2577,69.51
Asia,2004,62.95,2587,69.84
Asia,2005,64.5,2600,70.24
Asia,2006,66.32,2624,71.02
Asia,2007,68.15,2667,72.75
Asia,2008,68.27,2693,73.64
Asia,2009,70.39,2702,74.12
Asia,2010,71.21,2736,75.79
Asia,2011,71.87,2758,76.39
Asia,2012,72.63,2766,76.88
Asia,2013,72.66,2779,77.57
Europe,1961,89.11,3041,90.39
Europe,1962,92.72,3091,91.78
Europe,1963,94.06,3113,92.63
Europe,1964,93.58,3120,92.09
Europe,1965,96.19,3144,92.42
Europe,1966,97.14,3159,92.95
Europe,1967,99.56,3177,94
Europe,1968,102.56,3212,94.74
Europe,1969,102.38,3214,95.16
Europe,1970,104.94,3255,96.38
Europe,1971,105.71,3252,96.41
Europe,1972,106.8,3237,96.81
Europe,1973,107.7,3279,97.53
Europe,1974,109.42,3286,98.94
Europe,1975,108.95,3266,99.35
Europe,1976,111.92,3314,99.45
Europe,1977,111.12,3291,99.27
Europe,1978,113.66,3322,100.66
Europe,1979,115.37,3336,101.4
Europe,1980,115.56,3338,101.33
Europe,1981,115.04,3309,100.56
Europe,1982,114.98,3316,100.18
Europe,1983,117.22,3325,100.44
Europe,1984,118.15,3335,101.76
Europe,1985,120.88,3347,102.99
Europe,1986,121.11,3351,103.42
Europe,1987,122.74,3379,104.13
Europe,1988,124.19,3393,104.45
Europe,1989,125.17,3376,104.06
Europe,1990,124.86,3367,104.17
Europe,1991,118.88,3237,101.35
Europe,1992,120.52,3239,97.55
Europe,1993,118.37,3203,96.53
Europe,1994,117.07,3163,96.05
Europe,1995,117.1,3161,95.95
Europe,1996,117.87,3167,95.77
Europe,1997,118.38,3174,96.04
Europe,1998,120.17,3211,97.94
Europe,1999,119.7,3218,97.35
Europe,2000,120.04,3226,96.93
Europe,2001,120.92,3264,98.37
Europe,2002,122.29,3298,99.48
Europe,2003,121.84,3286,99.11
