Entity,Year,Literate world population (OWID based on OECD & UNESCO (2019)),Illiterate world population (OWID based on OECD & UNESCO (2019))
World,1800,12.04668918,87.95331082
World,1820,12.04668918,87.95331082
World,1870,18.74055449,81.25944551
World,1880,19.6284556,80.3715444
World,1890,20.5163567,79.4836433
World,1900,21.40425781,78.59574219
World,1910,26.44560193,73.55439807
World,1920,31.62316322,68.37683678
World,1930,32.52762946,67.47237054
World,1940,41.87922436,58.12077564
World,1950,56,44
World,1960,60.7,39.3
World,1970,65.8,34.2
World,1980,70,30
World,1990,75.7,24.3
World,2000,81.9,18.1
World,2012,85.36389,14.63611
World,2013,85.49051,14.50949
World,2014,85.80934,14.19066
World,2015,86.01721,13.98279
World,2016,86.24776,13.75224
