Entity,Year,Fertility Rate (SSP2 GET scenario; WC-IIASA),Fertility Rate (SSP2 CER scenario; WC-IIASA),Fertility Rate (SSP2 FT scenario; WC-IIASA)
Africa,1973,6.6700001,6.6700001,6.6700001
Africa,1978,6.5700002,6.5700002,6.5700002
Africa,1983,6.3800001,6.3800001,6.3800001
Africa,1988,6.0700002,6.0700002,6.0700002
Africa,1993,5.6199999,5.6199999,5.6199999
Africa,1998,5.23,5.23,5.23
Africa,2003,4.9299998,4.9299998,4.9299998
Africa,2008,4.6300001,4.6300001,4.6300001
Africa,2013,4.29,4.3400002,4.1999998
Africa,2018,3.98,4.1300001,3.75
Africa,2023,3.6900001,3.9200001,3.3699999
Africa,2028,3.4200001,3.7,3.04
Africa,2033,3.1800001,3.5,2.79
Africa,2038,2.96,3.29,2.5699999
Africa,2043,2.77,3.1099999,2.4100001
Africa,2048,2.6099999,2.9400001,2.27
Africa,2053,2.4300001,2.77,2.1500001
Africa,2058,2.29,2.6199999,2.0599999
Africa,2063,2.1800001,2.48,1.97
Africa,2068,2.0699999,2.3800001,1.88
Africa,2073,2,2.27,1.83
Africa,2078,1.92,2.21,1.78
Africa,2083,1.88,2.1500001,1.74
Africa,2088,1.8200001,2.1199999,1.72
Africa,2093,1.78,2.0699999,1.6799999
Africa,2098,1.76,2.04,1.66
Asia,1973,5,5,5
Asia,1978,4.0500002,4.0500002,4.0500002
Asia,1983,3.6900001,3.6900001,3.6900001
Asia,1988,3.4400001,3.4400001,3.4400001
Asia,1993,2.97,2.97,2.97
Asia,1998,2.6500001,2.6500001,2.6500001
Asia,2003,2.4100001,2.4100001,2.4100001
Asia,2008,2.28,2.28,2.28
Asia,2013,2.1500001,2.1900001,2.0799999
Asia,2018,2.0699999,2.1600001,1.95
Asia,2023,2,2.1199999,1.86
Asia,2028,1.9400001,2.0799999,1.8
Asia,2033,1.9,2.05,1.74
Asia,2038,1.85,2.02,1.7
Asia,2043,1.8200001,2,1.67
Asia,2048,1.77,1.97,1.64
Asia,2053,1.75,1.95,1.62
Asia,2058,1.71,1.9299999,1.6
Asia,2063,1.6799999,1.92,1.58
Asia,2068,1.6799999,1.92,1.58
Asia,2073,1.66,1.92,1.58
Asia,2078,1.66,1.92,1.5700001
Asia,2083,1.64,1.9,1.5700001
Asia,2088,1.62,1.91,1.5700001
Asia,2093,1.6,1.9,1.5599999
Asia,2098,1.6,1.89,1.55
Europe,1973,2.1700001,2.1700001,2.1700001
Europe,1978,1.98,1.98,1.98
Europe,1983,1.88,1.88,1.88
Europe,1988,1.8200001,1.8200001,1.8200001
Europe,1993,1.5700001,1.5700001,1.5700001
Europe,1998,1.42,1.42,1.42
Europe,2003,1.4299999,1.4299999,1.4299999
Europe,2008,1.53,1.53,1.53
Europe,2013,1.55,1.5599999,1.53
Europe,2018,1.5599999,1.59,1.52
Europe,2023,1.6,1.62,1.55
Europe,2028,1.64,1.6799999,1.58
Europe,2033,1.6799999,1.73,1.61
Europe,2038,1.6900001,1.75,1.62
Europe,2043,1.7,1.76,1.63
Europe,2048,1.71,1.77,1.64
Europe,2053,1.71,1.79,1.66
Europe,2058,1.73,1.8,1.6799999
Europe,2063,1.74,1.8099999,1.6799999
Europe,2068,1.74,1.8200001,1.6799999
Europe,2073,1.74,1.8200001,1.6799999
Europe,2078,1.73,1.8200001,1.6900001
Europe,2083,1.74,1.8200001,1.7
Europe,2088,1.75,1.84,1.7
Europe,2093,1.75,1.84,1.7
Europe,2098,1.74,1.86,1.71
Latin America and the Caribbean,1973,5.0100002,5.0100002,5.0100002
Latin America and the Caribbean,1978,4.46,4.46,4.46
Latin America and the Caribbean,1983,3.9300001,3.9300001,3.9300001
Latin America and the Caribbean,1988,3.4200001,3.4200001,3.4200001
Latin America and the Caribbean,1993,3.02,3.02,3.02
Latin America and the Caribbean,1998,2.73,2.73,2.73
Latin America and the Caribbean,2003,2.52,2.52,2.52
Latin America and the Caribbean,2008,2.3,2.3,2.3
Latin America and the Caribbean,2013,2.1500001,2.1900001,2.1199999
Latin America and the Caribbean,2018,2.0699999,2.1500001,1.97
Latin America and the Caribbean,2023,2,2.0999999,1.86
Latin America and the Caribbean,2028,1.9299999,2.04,1.8
Latin America and the Caribbean,2033,1.88,2,1.74
Latin America and the Caribbean,2038,1.84,1.96,1.71
Latin America and the Caribbean,2043,1.8,1.92,1.6799999
Latin America and the Caribbean,2048,1.75,1.89,1.66
Latin America and the Caribbean,2053,1.72,1.86,1.64
Latin America and the Caribbean,2058,1.7,1.84,1.62
Latin America and the Caribbean,2063,1.6799999,1.8200001,1.6
Latin America and the Caribbean,2068,1.66,1.8200001,1.59
Latin America and the Caribbean,2073,1.64,1.8099999,1.58
Latin America and the Caribbean,2078,1.62,1.8,1.5700001
Latin America and the Caribbean,2083,1.62,1.8,1.5700001
Latin America and the Caribbean,2088,1.61,1.8,1.5700001
Latin America and the Caribbean,2093,1.62,1.8,1.58
Latin America and the Caribbean,2098,1.62,1.8200001,1.58
Northern America,1973,2.05,2.05,2.05
Northern America,1978,1.8,1.8,1.8
Northern America,1983,1.79,1.79,1.79
Northern America,1988,1.87,1.87,1.87
Northern America,1993,1.96,1.96,1.96
Northern America,1998,1.92,1.92,1.92
Northern America,2003,1.99,1.99,1.99
Northern America,2008,2.03,2.03,2.03
Northern America,2013,1.86,1.86,1.84
Northern America,2018,1.87,1.89,1.84
Northern America,2023,1.9,1.92,1.84
Northern America,2028,1.92,1.9400001,1.83
Northern America,2033,1.92,1.96,1.84
Northern America,2038,1.92,1.97,1.84
Northern America,2043,1.9,1.97,1.84
Northern America,2048,1.9,1.97,1.83
Northern America,2053,1.89,1.97,1.83
Northern America,2058,1.88,1.97,1.83
Northern America,2063,1.88,1.97,1.8200001
Northern America,2068,1.87,1.96,1.8200001
Northern America,2073,1.86,1.96,1.8200001
Northern America,2078,1.86,1.96,1.8200001
Northern America,2083,1.86,1.96,1.8200001
Northern America,2088,1.85,1.96,1.8200001
Northern America,2093,1.84,1.96,1.8200001
Northern America,2098,1.84,1.95,1.8200001
Oceania,1973,3.3,3.3,3.3
Oceania,1978,2.74,2.74,2.74
Oceania,1983,2.5799999,2.5799999,2.5799999
Oceania,1988,2.49,2.49,2.49
Oceania,1993,2.49,2.49,2.49
Oceania,1998,2.45,2.45,2.45
Oceania,2003,2.4100001,2.4100001,2.4100001
Oceania,2008,2.49,2.49,2.49
Oceania,2013,2.3199999,2.3199999,2.29
Oceania,2018,2.23,2.26,2.2
Oceania,2023,2.1600001,2.21,2.0999999
Oceania,2028,2.0799999,2.1300001,2
Oceania,2033,2,2.0599999,1.92
Oceania,2038,1.9400001,2,1.86
Oceania,2043,1.89,1.97,1.8200001
Oceania,2048,1.86,1.9400001,1.77
Oceania,2053,1.84,1.9299999,1.75
Oceania,2058,1.8200001,1.9,1.74
Oceania,2063,1.8,1.9,1.73
Oceania,2068,1.78,1.88,1.72
Oceania,2073,1.76,1.88,1.71
Oceania,2078,1.76,1.88,1.71
Oceania,2083,1.76,1.88,1.71
Oceania,2088,1.75,1.88,1.7
Oceania,2093,1.75,1.88,1.7
Oceania,2098,1.75,1.87,1.7
World,1973,4.4499998,4.4499998,4.4499998
World,1978,3.8399999,3.8399999,3.8399999
World,1983,3.5899999,3.5899999,3.5899999
World,1988,3.3900001,3.3900001,3.3900001
World,1993,3.04,3.04,3.04
World,1998,2.79,2.79,2.79
World,2003,2.6199999,2.6199999,2.6199999
World,2008,2.52,2.52,2.52
World,2013,2.4000001,2.4400001,2.3499999
World,2018,2.3499999,2.4400001,2.22
World,2023,2.28,2.4000001,2.1099999
World,2028,2.21,2.3699999,2.04
World,2033,2.1700001,2.3399999,1.97
World,2038,2.1099999,2.3,1.92
World,2043,2.0599999,2.26,1.86
World,2048,2,2.21,1.8200001
World,2053,1.9400001,2.1700001,1.78
World,2058,1.89,2.1199999,1.75
World,2063,1.85,2.0799999,1.72
World,2068,1.8200001,2.0599999,1.7
World,2073,1.79,2.02,1.6799999
World,2078,1.76,2,1.67
World,2083,1.74,1.99,1.66
World,2088,1.71,1.97,1.64
World,2093,1.7,1.95,1.62
World,2098,1.6799999,1.9400001,1.62
