Entity,Year,Correlates of War,Conflict Catalogue – Total,Conflict Catalogue – Military only,PRIO–UCDP
"death rate (per 100,000)",1400,,.85519463,0,
"death rate (per 100,000)",1401,,.8545807,0,
"death rate (per 100,000)",1402,,1.3246835,0,
"death rate (per 100,000)",1403,,.54717255,0,
"death rate (per 100,000)",1404,,.086327225,0,
"death rate (per 100,000)",1405,,.28560558,0,
"death rate (per 100,000)",1406,,1.4004397,0,
"death rate (per 100,000)",1407,,3.9506245,0,
"death rate (per 100,000)",1408,,1.5220418,0,
"death rate (per 100,000)",1409,,2.0427468,0,
"death rate (per 100,000)",1410,,1.9549598,0,
"death rate (per 100,000)",1411,,1.7836183,0,
"death rate (per 100,000)",1412,,1.5871717,0,
"death rate (per 100,000)",1413,,1.7377894,0,
"death rate (per 100,000)",1414,,1.8627161,0,
"death rate (per 100,000)",1415,,2.5105445,0,
"death rate (per 100,000)",1416,,2.4281852,0,
"death rate (per 100,000)",1417,,2.3914182,0,
"death rate (per 100,000)",1418,,2.3761246,0,
"death rate (per 100,000)",1419,,3.6551802,0,
"death rate (per 100,000)",1420,,2.7388353,0,
"death rate (per 100,000)",1421,,2.7355888,0,
"death rate (per 100,000)",1422,,2.7322869,0,
"death rate (per 100,000)",1423,,2.5784266,0,
"death rate (per 100,000)",1424,,2.5752041,0,
"death rate (per 100,000)",1425,,1.1282303,0,
"death rate (per 100,000)",1426,,1.4066439,0,
"death rate (per 100,000)",1427,,1.4047976,0,
"death rate (per 100,000)",1428,,2.2652402,0,
"death rate (per 100,000)",1429,,1.8639547,0,
"death rate (per 100,000)",1430,,1.8613936,0,
"death rate (per 100,000)",1431,,1.0000323,0,
"death rate (per 100,000)",1432,,.99861807,0,
"death rate (per 100,000)",1433,,1.1951796,0,
"death rate (per 100,000)",1434,,1.9842651,0,
"death rate (per 100,000)",1435,,1.6377175,0,
"death rate (per 100,000)",1436,,.64967418,0,
"death rate (per 100,000)",1437,,.6314702,0,
"death rate (per 100,000)",1438,,.63443416,0,
"death rate (per 100,000)",1439,,.65797824,0,
"death rate (per 100,000)",1440,,.75098264,0,
"death rate (per 100,000)",1441,,.7497912,0,
"death rate (per 100,000)",1442,,2.3422434,0,
"death rate (per 100,000)",1443,,2.3140712,0,
"death rate (per 100,000)",1444,,2.5535827,0,
"death rate (per 100,000)",1445,,2.0716336,0,
"death rate (per 100,000)",1446,,1.5783149,0,
"death rate (per 100,000)",1447,,1.5562744,0,
"death rate (per 100,000)",1448,,1.5536114,0,
"death rate (per 100,000)",1449,,8.4921827,0,
"death rate (per 100,000)",1450,,8.4773607,0,
