Entity,Year,"CO2 concentrations (NOAA, 2018)"
World,1959,315.97
World,1960,316.91
World,1961,317.64
World,1962,318.45
World,1963,318.99
World,1964,319.62
World,1965,320.04
World,1966,321.38
World,1967,322.16
World,1968,323.04
World,1969,324.62
World,1970,325.68
World,1971,326.32
World,1972,327.45
World,1973,329.68
World,1974,330.18
World,1975,331.11
World,1976,332.04
World,1977,333.83
World,1978,335.4
World,1979,336.84
World,1980,338.75
World,1981,340.11
World,1982,341.45
World,1983,343.05
World,1984,344.65
World,1985,346.12
World,1986,347.42
World,1987,349.19
World,1988,351.57
World,1989,353.12
World,1990,354.39
World,1991,355.61
World,1992,356.45
World,1993,357.1
World,1994,358.83
World,1995,360.82
World,1996,362.61
World,1997,363.73
World,1998,366.7
World,1999,368.38
World,2000,369.55
World,2001,371.14
World,2002,373.28
World,2003,375.8
World,2004,377.52
World,2005,379.8
World,2006,381.9
World,2007,383.79
World,2008,385.6
World,2009,387.43
World,2010,389.9
World,2011,391.65
World,2012,393.85
World,2013,396.52
World,2014,398.65
World,2015,400.83
World,2016,404.24
World,2017,406.55
