Entity,Year,Mean product lifetime (years),Primary plastic production (million tonnes),Primary plastic waste generation (million tonnes)
Additives,2015,,25,17
All industrial sectors,2015,,407,302
Building and Construction,2015,35,65,13
Consumer & Institutional Products,2015,3,42,37
Electrical/Electronic,2015,8,18,13
HDPE,2015,,52,40
Industrial Machinery,2015,20,3,1
"LD, LDPE",2015,,64,57
Other polymer type,2015,,16,11
Other sector,2015,5,59,42
Packaging,2015,0.5,146,141
PET,2015,,33,32
PP,2015,,68,55
PP&A fibers,2015,,59,42
PS,2015,,25,17
PUT,2015,,27,16
PVC,2015,,38,15
Textiles,2015,5,47,38
Transportation,2015,13,27,17
