Entity,Year,Gini index (SEDLAC)
Argentina,1974,.33260202
Argentina,1980,.38000806
Argentina,1986,.41178111
Argentina,1987,.43496194
Argentina,1988,.44120889
Argentina,1991,.44428202
Argentina,1992,.43416825
Argentina,1993,.42799667
Argentina,1994,.43752305
Argentina,1995,.4678178
Argentina,1996,.47272785
Argentina,1997,.46872105
Argentina,1998,.48445621
Argentina,1999,.47561652
Argentina,2000,.48942144
Argentina,2001,.51313927
Argentina,2002,.51779179
Argentina,2003,.48330972
Argentina,2004,.45807555
Argentina,2005,.45310573
Argentina,2006,.44235414
Argentina,2007,.4395017
Argentina,2008,.42073921
Argentina,2009,.41472306
Argentina,2010,.40344752
Argentina,2011,.39556479
Argentina,2012,.38462878
Argentina,2013,.38118761
Argentina,2014,.3841401
Argentina,2015,.37555172
Argentina,2016,.39463399
Argentina,2017,.38626491
Bolivia,1992,.47213221
Bolivia,1993,.51576586
Bolivia,1997,.56327953
Bolivia,1999,.56418199
Bolivia,2000,.5985646
Bolivia,2001,.55426034
Bolivia,2002,.57565898
Bolivia,2005,.56558946
Bolivia,2006,.54595131
Bolivia,2007,.52237247
Bolivia,2008,.48713897
Bolivia,2009,.47057762
Bolivia,2011,.43865007
Bolivia,2012,.44593634
Bolivia,2013,.4556241
Bolivia,2014,.45638834
Bolivia,2015,.44545837
Bolivia,2016,.42296023
Bolivia,2017,.41813929
Brazil,1981,.5526628300000001
Brazil,1982,.55884383
Brazil,1983,.56511299
Brazil,1984,.55883613
Brazil,1985,.53084866
Brazil,1986,.56176871
Brazil,1987,.57317193
Brazil,1988,.59340781
Brazil,1989,.61212059
Brazil,1990,.58861536
Brazil,1993,.58492095
Brazil,1995,.57842319
Brazil,1996,.58283257
Brazil,1997,.58161734
Brazil,1998,.5787884
Brazil,1999,.57236478
Brazil,2001,.56543838
Brazil,2002,.56255721
Brazil,2003,.55659808
Brazil,2004,.54527684
Brazil,2005,.54334933
Brazil,2006,.53713346
Brazil,2007,.53040091
Brazil,2008,.52109107
Brazil,2009,.51778081
Brazil,2011,.51097591
Brazil,2012,.50697274
Brazil,2013,.50966114
Brazil,2014,.49685929
Brazil,2015,.4953849
Brazil,2016,.51419517
Chile,1987,.54894312
Chile,1990,.55937807
Chile,1992,.53239771
Chile,1994,.5508956900000001
Chile,1996,.53593035
Chile,1998,.54193767
Chile,2000,.51705373
Chile,2003,.49990167
Chile,2006,.45290172
Chile,2009,.46988272
Chile,2011,.44688136
Chile,2013,.44716338
Chile,2015,.43388865
Colombia,2001,.55113062
Colombia,2002,.53459564
Colombia,2003,.51476572
Colombia,2004,.53407921
Colombia,2005,.52103731
Colombia,2008,.53324413
Colombia,2009,.52201718
Colombia,2010,.52464852
Colombia,2011,.51306586
Colombia,2012,.50530843
Colombia,2013,.50522731
Colombia,2014,.5041092700000001
Colombia,2015,.48795079
Colombia,2016,.48502888
Costa Rica,1989,.43675332
Costa Rica,1990,.43544999
Costa Rica,1991,.44674308
Costa Rica,1992,.43897319
Costa Rica,1993,.4423002
Costa Rica,1994,.4479459
Costa Rica,1995,.44012366
Costa Rica,1996,.44789697
Costa Rica,1997,.43615441
Costa Rica,1998,.43725902
Costa Rica,1999,.45740165
Costa Rica,2000,.45608923
Costa Rica,2001,.49612324
Costa Rica,2002,.50237275
Costa Rica,2003,.47448353
Costa Rica,2004,.46487221
Costa Rica,2005,.45490283
Costa Rica,2006,.47606953
Costa Rica,2007,.47531605
Costa Rica,2008,.46853517
Costa Rica,2009,.48787469
Costa Rica,2010,.46352025
Costa Rica,2011,.46780586
Costa Rica,2012,.46735085
Costa Rica,2013,.4755107
Costa Rica,2014,.46863485
Costa Rica,2015,.46621688
Costa Rica,2016,.46877051
Costa Rica,2017,.46606367
Dominican Republic,1996,.45862798
Dominican Republic,1997,.47051843
Dominican Republic,2000,.50360429
Dominican Republic,2001,.48624098
Dominican Republic,2002,.48239247
Dominican Republic,2003,.50167035
Dominican Republic,2004,.5007272900000001
Dominican Republic,2005,.47863358
Dominican Republic,2006,.50223978
Dominican Republic,2007,.46624419
Dominican Republic,2008,.45411868
Dominican Republic,2009,.46437505
Dominican Republic,2010,.45138746
Dominican Republic,2011,.45344701
Dominican Republic,2012,.43465003
Dominican Republic,2013,.44834449
Dominican Republic,2014,.42188592
Dominican Republic,2015,.42815433
Dominican Republic,2016,.43460218
Ecuador,1995,.55891139
Ecuador,1998,.55740754
Ecuador,1999,.56733783
Ecuador,2000,.5466864
Ecuador,2003,.51244505
Ecuador,2004,.51988423
Ecuador,2005,.50944563
Ecuador,2006,.49903782
Ecuador,2007,.51050734
Ecuador,2008,.47526512
Ecuador,2009,.45989773
Ecuador,2010,.46394457
Ecuador,2011,.43627046
Ecuador,2012,.43829174
Ecuador,2013,.44546314
Ecuador,2014,.42583877
Ecuador,2015,.4353211
Ecuador,2016,.42812152
El Salvador,2000,.49254175
El Salvador,2001,.49385167
El Salvador,2002,.49766747
El Salvador,2004,.45739872
El Salvador,2005,.46391589
El Salvador,2006,.43570865
El Salvador,2007,.43061156
El Salvador,2008,.44829849
El Salvador,2009,.43770091
El Salvador,2010,.41382307
El Salvador,2011,.40042347
El Salvador,2012,.39605307
El Salvador,2013,.4138841
El Salvador,2014,.39537475
El Salvador,2015,.38359633
El Salvador,2016,.37957119
Guatemala,2000,.51628112
Guatemala,2002,.54236489
Guatemala,2003,.51689407
Guatemala,2004,.48089283
Guatemala,2006,.51853563
Guatemala,2011,.49896697
Guatemala,2014,.45752781
Honduras,1991,.5181381900000001
Honduras,1992,.5259060800000001
Honduras,1993,.52067876
Honduras,1994,.53891017
Honduras,1995,.54247131
Honduras,1996,.54990209
Honduras,1997,.495364
Honduras,1998,.50049877
Honduras,1999,.48077293
Honduras,2001,.5318002200000001
Honduras,2002,.53743566
Honduras,2003,.56157332
Honduras,2004,.56615942
Honduras,2005,.5773912
Honduras,2006,.55648661
Honduras,2007,.53880681
Honduras,2008,.53616822
Honduras,2009,.49337037
Honduras,2010,.51205174
Honduras,2011,.54686148
Honduras,2012,.54309668
Honduras,2013,.50398645
Honduras,2014,.48340111
Honduras,2015,.47593638
Honduras,2016,.48111002
Mexico,1989,.48634231
Mexico,1992,.50319677
Mexico,1994,.50428908
Mexico,1996,.51369854
Mexico,1998,.49445189
Mexico,2000,.50459705
Mexico,2002,.48000489
Mexico,2004,.47845336
Mexico,2005,.48091063
Mexico,2006,.46539448
Mexico,2008,.4768016
Mexico,2010,.44882933
Mexico,2012,.46331329
Mexico,2014,.46375218
Mexico,2016,.46088826
Nicaragua,1993,.55378388
Nicaragua,1998,.52417103
Nicaragua,2001,.50339829
Nicaragua,2005,.46407107
Nicaragua,2009,.41718387
Nicaragua,2014,.44247905
Panama,1989,.57319111
Panama,1991,.56390091
Panama,1995,.55851419
Panama,1997,.56178526
Panama,1998,.5531047
Panama,1999,.54232447
Panama,2000,.54635689
Panama,2001,.54738049
Panama,2002,.5398599
Panama,2003,.53745956
Panama,2004,.52781744
Panama,2005,.51705153
Panama,2006,.52560902
Panama,2007,.50537503
Panama,2008,.50736258
Panama,2009,.49254593
Panama,2010,.49134794
Panama,2011,.49414229
Panama,2012,.49738159
Panama,2013,.49293896
Panama,2014,.4812824
Panama,2015,.48754367
Panama,2016,.48372021
Paraguay,1990,.3890067
Paraguay,1995,.56348661
Paraguay,1997,.52934404
Paraguay,1999,.52317722
Paraguay,2001,.52384551
Paraguay,2002,.55567458
Paraguay,2003,.53394349
Paraguay,2004,.50257191
Paraguay,2005,.49232875
Paraguay,2006,.5110278700000001
Paraguay,2007,.50053721
Paraguay,2008,.48608733
Paraguay,2009,.47538733
Paraguay,2010,.49832953
Paraguay,2011,.51014636
Paraguay,2012,.46062873
Paraguay,2013,.4635716
Paraguay,2014,.49708509
Paraguay,2015,.46283894
Paraguay,2016,.46087562
Paraguay,2017,.47084162
Peru,1997,.51187898
Peru,1998,.52737882
Peru,1999,.52656492
Peru,2000,.47046411
Peru,2001,.49445664
Peru,2002,.51560959
Peru,2003,.51020572
Peru,2004,.48026415
Peru,2005,.48502278
Peru,2006,.48198969
Peru,2007,.4818123
Peru,2008,.4565373
Peru,2009,.45165601
Peru,2010,.43787548
Peru,2011,.42834535
Peru,2012,.42782959
Peru,2013,.42099513
Peru,2014,.4132215
Peru,2015,.41502203
Peru,2016,.41924994
Uruguay,1989,.40426993
Uruguay,1992,.39263905
Uruguay,1995,.38561101
Uruguay,1996,.38392398
Uruguay,1997,.39040002
Uruguay,1998,.3997152
Uruguay,2000,.4024572
Uruguay,2001,.42723905
Uruguay,2002,.43110026
Uruguay,2003,.42512322
Uruguay,2004,.43541041
Uruguay,2005,.42406096
Uruguay,2006,.43621376
Uruguay,2007,.43992983
Uruguay,2008,.42952952
Uruguay,2009,.4336777
Uruguay,2010,.42134382
Uruguay,2011,.39835924
Uruguay,2012,.37350379
Uruguay,2013,.38132101
Uruguay,2014,.37744866
Uruguay,2015,.37814466
Uruguay,2016,.37390662
Venezuela,1989,.40918107
Venezuela,1992,.3948014
Venezuela,1995,.44378367
Venezuela,1997,.46024958
Venezuela,1998,.45385194
Venezuela,1999,.45226588
Venezuela,2000,.42408563
Venezuela,2001,.44688217
Venezuela,2002,.4597117
Venezuela,2003,.44826046
Venezuela,2004,.44109288
Venezuela,2005,.46249678
Venezuela,2006,.41616481
