Entity,Year,Government spending (%GDP) (World Bank),"Government spending, employee compensation (World Bank)",Government spending on interests (World Bank)
Afghanistan,2006,20.32939847,36.76415373,0.236453875
Afghanistan,2007,23.99685137,28.22778208,0.090687955
Afghanistan,2008,50.31493557,18.36057511,0.039463302
Afghanistan,2009,44.07351127,23.45353833,0.04007083
Afghanistan,2010,50.60729156,23.2801148,0.023454823
Afghanistan,2011,59.06966102,21.96833959,0.018183633
Afghanistan,2012,41.03231204,28.80936728,0.027150738
Albania,1995,25.55207048,14.28944573,9.197764118
Albania,1996,20.34532704,13.50618456,12.1608992
Albania,1997,24.48360314,,22.15528567
Albania,1998,28.24537392,10.65615139,31.05323914
Albania,2002,24.34470935,30.57131212,16.3343532
Albania,2003,22.36161425,29.35187786,19.21491169
Albania,2004,22.38826872,29.67390043,16.90427386
Algeria,1994,25.23995965,40.30186955,10.91448092
Algeria,1995,24.17889039,38.96614413,12.92361392
Algeria,1996,22.37338515,38.74096515,15.47123806
Algeria,1997,23.79523132,37.05920143,16.53392386
Algeria,1998,23.45362925,40.45958831,16.68933728
Algeria,1999,23.9236298,36.93259928,16.32022925
Algeria,2000,20.76374462,33.82344869,18.95028341
Algeria,2001,22.7956995,33.62391034,15.3071814
Algeria,2002,24.27050677,31.53867177,12.49886126
Algeria,2003,21.78210315,28.09261004,9.961925274
Algeria,2004,20.9025306,29.4490637,11.16219217
Algeria,2005,17.09739047,29.80736359,7.829827783
Algeria,2006,19.19007163,27.8301164,5.972527843
Algeria,2007,21.01308533,31.5667089,3.953534521
Algeria,2008,23.23975829,31.06723865,2.490132591
Algeria,2009,25.65092026,33.65508036,1.404309434
Algeria,2010,24.47053632,37.93961287,1.02917121
Algeria,2011,29.53107297,40.23443938,0.875308445
Angola,1999,19.652446,20.67907982,0.515795688
Angola,2000,21.8507895,23.83477589,0.87142965
Angola,2001,29.01577564,32.85597942,3.665663118
Angola,2002,25.8357191,37.75947588,3.500003481
Angola,2003,32.51881138,36.59413619,2.014453331
Angola,2004,19.36056851,52.57658129,5.587783182
Angola,2005,27.27024372,35.85512776,2.692573997
Angola,2006,23.85689398,38.0708208,1.330980027
Angola,2007,22.48268015,34.34213963,2.250384156
Angola,2008,23.5451389,35.97539523,9.109946678
Angola,2009,23.75546587,46.23029886,7.365945892
Angola,2010,26.06239051,35.7177369,5.863644968
Angola,2011,28.63714226,31.00657437,2.908387467
Angola,2012,26.03417464,35.60975497,3.586106756
Antigua and Barbuda,2000,22.56702563,45.39363484,23.70184255
Antigua and Barbuda,2001,23.10012704,46.66390385,15.60298384
Antigua and Barbuda,2002,25.26733533,43.25114155,17.31506849
Antigua and Barbuda,2003,21.9313117,50.30156815,15.58102131
Antigua and Barbuda,2004,22.79884378,45.40687161,19.72875226
Antigua and Barbuda,2005,20.91789102,44.87839517,15.85300905
Antigua and Barbuda,2006,22.3205568,39.20479462,14.34000877
Antigua and Barbuda,2007,21.53412422,41.22198506,13.94076841
Antigua and Barbuda,2008,21.0646711,39.20135717,13.38901214
Antigua and Barbuda,2009,23.99834465,37.18817961,12.22975566
Antigua and Barbuda,2010,22.05511535,40.31351671,10.7364685
Antigua and Barbuda,2011,23.42679884,36.92458374,10.81572688
Antigua and Barbuda,2012,20.64422653,40.7743857,11.91362621
Armenia,2003,16.41467909,5.150764735,4.273929366
Armenia,2004,16.95599885,17.05900565,3.040073379
Armenia,2005,18.14644052,20.45192273,2.44056684
Armenia,2006,17.1482193,21.29732203,1.981308332
Armenia,2007,17.04242538,21.365911,1.855133745
Armenia,2008,21.13968517,21.01112701,1.465410253
Armenia,2009,23.86191799,24.79931372,2.171868742
Armenia,2010,22.99736235,23.59531135,3.824796306
Armenia,2011,22.56801632,23.55235152,4.167476865
Armenia,2012,21.37365185,22.28797168,4.459571912
Australia,1972,18.09858046,,7.619639528
Australia,1973,18.50369148,,7.305936073
Australia,1974,18.18242189,,6.473703433
Australia,1975,21.32277439,,5.844712712
Australia,1976,23.70414913,,4.906139016
Australia,1977,23.67502579,,6.231297307
Australia,1978,24.55921078,,6.448855911
Australia,1979,23.75691074,,7.034747389
Australia,1980,23.41659532,,7.080630802
Australia,1981,23.60976829,,7.15937265
Australia,1982,23.33994279,,7.042941191
Australia,1983,25.62838263,,6.973287643
Australia,1984,26.51678862,,7.626219771
Australia,1985,26.49082178,,9.090763001
Australia,1986,26.19690051,,10.37310915
Australia,1987,25.7495634,,10.82296976
Australia,1988,24.23683204,,9.745600856
Australia,1989,22.2133706,,9.140870757
Australia,1990,21.84906183,2.141829673,8.340789906
Australia,1991,23.19443607,2.171201696,6.435653855
Australia,1992,24.45693938,2.171411998,5.557113163
Australia,1993,24.98355737,2.228653342,4.880137758
Australia,1994,25.09220664,2.329951146,5.662601209
Australia,1999,24.56375969,12.13481671,7.7516327
Australia,2000,24.0996295,10.7220237,6.568362086
Australia,2001,26.36095635,9.771224779,6.00259275
Australia,2002,26.47560089,9.666405968,5.275137368
Australia,2003,25.86197422,10.32537835,4.992708203
Australia,2004,25.69987937,10.39934948,4.128117094
Australia,2005,25.64123701,10.17919237,3.9303028
Australia,2006,24.94371119,10.27521682,3.924090314
Australia,2007,24.49891122,10.46399363,3.608338436
