Entity,Year,Candles (Fouquet & Pearson (2007)),Whale Oil (Fouquet & Pearson (2007)),Gas (Fouquet & Pearson (2007)),Kerosene (Fouquet & Pearson (2007)),Electricity (Fouquet & Pearson (2007))
United Kingdom,1700,99,1,,,
United Kingdom,1750,95,5,,,
United Kingdom,1800,90,10,,,
United Kingdom,1850,21,1,78,,
United Kingdom,1900,1,,82,15,2
United Kingdom,1950,,,1,,99
United Kingdom,2000,,,,,100
United Kingdom,2010,,,,,100
United Kingdom,2017,,,,,100
