Entity,Year,Minutes spent sleeping (MTUS (2013)),Minutes spent eating and drinking (MTUS (2013)),Minutes spent on self care (MTUS (2013)),Minutes spent on paid work (MTUS (2013)),Minutes spent on education (MTUS (2013)),Minutes spent on food preparation (MTUS (2013)),Minutes spent cleaning (MTUS (2013)),Minutes spent on maintenance (MTUS (2013)),Minutes spent shopping (MTUS (2013)),Minutes spent gardening (MTUS (2013)),Minutes spent on pet care (MTUS (2013)),Minutes spent on elderly care (MTUS (2013)),"Minutes spent on physical, routine child care (MTUS (2013))",Minutes spent on interactive child care (MTUS (2013)),Minutes spent on religious activities (MTUS (2013)),Minutes spent on voluntary work (MTUS (2013)),Minutes spent commuting (MTUS (2013)),Minutes spent on travel (MTUS (2013)),Minutes spent on sports or exercise (MTUS (2013)),Minutes spent watching TV (MTUS (2013)),Minutes spent reading (MTUS (2013)),Minutes spent on computer (MTUS (2013)),Minutes spent on out-of-home leisure (MTUS (2013)),Minutes spent on leisure (MTUS (2013))
Australia,1974,272.05722,47.860775,23.67454,244.49484,96.780014,42.449345,52.966629,63.966125,28.468176,46.100574,10.34372,16.661745,32.281742,18.459351,32.691715,56.32785,27.558325,32.72649,40.080173,78.054459,30.115314,,80.196739,65.683899
Austria,1992,187.97493,55.654049,21.87742,155.11946,95.564957,41.686085,59.99588,52.675575,35.918278,44.947273,22.797068,57.667007,40.176243,44.676392,38.416145,53.26548,13.581457,24.825594,60.418015,85.65654,35.843781,56.833275,85.54805,68.880981
Canada,1971,269.59753,45.953796,36.831627,261.97772,106.07338,51.823608,52.626019,33.019413,31.520838,18.059896,,,40.675716,,61.908634,76.598671,25.079775,33.160809,43.222347,76.779861,34.28553,,69.643669,71.161194
Canada,1972,272.1149,46.655529,34.714241,255.74231,122.02151,47.397236,49.969498,32.841,34.672684,16.981911,,,41.74292,,44.23349,69.44075,26.707106,35.56525,43.432816,88.086563,40.851742,,58.639137,78.18924
Canada,1981,264.51062,32.903999,29.00651,239.71478,135.28429,37.248104,50.822502,39.453217,30.719198,39.463287,,,48.19331,,48.296272,78.951004,21.82864,38.023567,47.995441,84.426308,39.853809,,55.058811,78.246559
Canada,1986,236.1591,36.578556,23.397091,217.80618,150.07883,36.60598,52.852867,54.888226,51.104305,22.748726,,,49.122314,,48.978065,88.927643,27.682285,31.956854,52.593876,87.146179,38.889576,,56.576614,75.906799
Canada,1992,237.53036,33.248207,22.003611,241.34981,149.82065,33.028362,48.407326,53.441875,40.551525,64.454102,,,53.402313,,40.823853,61.74379,27.001289,34.295807,55.468605,81.017586,37.540615,,67.965065,56.90522
Canada,1998,244.60152,29.734735,23.018795,248.00453,138.5136,31.525089,46.798565,48.211155,39.940224,57.196243,,,62.192398,,44.23362,61.854385,29.547581,36.516243,56.904579,78.659019,35.798164,,68.022232,58.727173
Canada,1999,246.46924,31.383478,24.055435,242.35794,125.24033,32.540977,57.231411,50.552006,43.263386,55.436714,,,62.816654,,52.64933,55.082783,28.416573,35.849396,51.695168,85.916809,37.331238,,62.992493,58.718719
Denmark,1964,248.28603,46.932404,18.162792,243.5107,124.31158,,125.876,,49.6194,,,,,,,120.81436,,33.57737,61.537189,100.15581,38.185921,,100.75211,128.27838
