Entity,Year,Decomposition rates of marine debris (years)
Aluminimum can,2018,200
Cigarette butt,2018,5
Disposable diaper,2018,450
Fishing line,2018,600
Foamed buoy,2018,50
Glass bottle,2018,NA
Photodegradable beverage holder,2018,0.5
Plastic bag,2018,20
Plastic beverage holder (six-rings),2018,400
Plastic bottle,2018,450
Syrofoam cup,2018,50
Tin can,2018,50
Waxed milk carton,2018,0.25
