Entity,Year,Total number of households in TA (Temporary Accomodation),Total number of households in TA (Temporary Accommodation) with children,Total number of children in TA (Temporary Accommodation)
England,1998,52510,,
England,1999,71860,,
England,2000,77800,,
England,2001,77510,,
England,2002,85010,61740,
England,2003,94440,67260,
England,2004,101300,72510,122530
England,2005,101020,74180,127990
England,2006,93090,69500,129340
England,2007,82750,62830,117090
England,2008,72130,55850,104640
England,2009,56920,43400,82780
England,2010,49680,37620,71460
England,2011,49100,36680,69850
England,2012,52960,40090,75460
England,2013,57410,42210,78770
England,2014,60900,47460,91090
England,2015,68560,53480,103440
England,2016,74750,59380,117510
England,2017,79830,61980,122830
